ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1970,1970-09-20,1,22.018,PIT,,HOU,L 7-19,*,4,16,25.00,70,0,1,19.3,0,0,4.38,1.56,3,20,6.67,0,0,0,,0,0,0,0,0,,0
2,1970,1970-09-27,2,22.025,PIT,@,DEN,L 13-16,*,13,26,50.00,211,0,1,61.5,0,0,8.12,6.38,3,9,3.00,0,0,0,,0,0,0,0,0,,0
3,1970,1970-10-03,3,22.031,PIT,@,CLE,L 7-15,*,13,29,44.83,207,0,3,29.6,0,0,7.14,2.48,4,44,11.00,1,0,0,,0,1,6,0,0,,0
4,1970,1970-10-11,4,22.039,PIT,,BUF,W 23-10,*,3,12,25.00,24,0,0,39.6,0,0,2.00,2.00,2,18,9.00,0,0,0,,0,0,0,0,0,,0
5,1970,1970-10-18,5,22.046,PIT,@,HOU,W 7-3,*,8,17,47.06,208,1,3,72.3,0,0,12.24,5.47,3,1,0.33,0,0,0,,0,0,0,0,0,,0
6,1970,1970-10-25,6,22.053,PIT,@,OAK,L 14-31,*,12,27,44.44,138,1,4,33.2,0,0,5.11,-0.81,2,19,9.50,0,0,0,,0,0,0,0,0,,0
7,1970,1970-11-02,7,22.061,PIT,,CIN,W 21-10,*,4,12,33.33,40,0,0,43.7,0,0,3.33,3.33,3,15,5.00,0,0,0,,0,0,0,0,0,,0
8,1970,1970-11-15,9,22.074,PIT,,KAN,L 14-31,,8,19,42.11,74,1,3,31.4,0,0,3.89,-2.16,3,30,10.00,0,0,0,,0,0,0,0,0,,0
9,1970,1970-11-22,10,22.081,PIT,@,CIN,L 7-34,*,8,19,42.11,101,0,3,19.7,0,0,5.32,-1.79,0,0,,0,0,0,,0,0,0,0,0,,0
10,1970,1970-11-29,11,22.088,PIT,,CLE,W 28-9,,4,9,44.44,197,2,0,130.8,0,0,21.89,26.33,5,49,9.80,0,0,0,,0,0,0,0,0,,0
11,1970,1970-12-06,12,22.095,PIT,,GNB,L 12-20,,3,20,15.00,110,1,4,27.1,0,0,5.50,-2.50,3,14,4.67,0,0,0,,0,0,0,0,0,,0
12,1970,1970-12-13,13,22.102,PIT,@,ATL,L 16-27,,3,12,25.00,30,0,2,0.0,0,0,2.50,-5.00,1,14,14.00,0,0,0,,0,0,0,0,0,,0
13,1970,1970-12-20,14,22.109,PIT,@,PHI,L 20-30,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,3,52,17.33,1
14,1971,1971-09-19,1,23.017,PIT,@,CHI,L 15-17,*,10,24,41.67,129,0,4,19.6,0,0,5.38,-2.13,2,4,2.00,0,0,0,,0,0,0,0,0,,0
15,1971,1971-09-26,2,23.024,PIT,,CIN,W 21-10,*,18,30,60.00,249,2,1,95.0,0,0,8.30,8.13,5,6,1.20,0,0,0,,0,0,0,0,0,,0
16,1971,1971-10-03,3,23.031,PIT,,SDG,W 21-17,*,15,24,62.50,175,0,0,84.5,0,0,7.29,7.29,6,38,6.33,1,0,0,,0,1,6,0,0,,0
17,1971,1971-10-10,4,23.038,PIT,@,CLE,L 17-27,*,12,27,44.44,126,2,1,67.8,0,0,4.67,4.48,3,15,5.00,0,0,0,,0,0,0,0,0,,0
18,1971,1971-10-18,5,23.046,PIT,@,KAN,L 16-38,*,20,39,51.28,269,0,2,52.2,0,0,6.90,4.59,9,37,4.11,0,0,0,,0,0,0,0,0,,0
19,1971,1971-10-24,6,23.052,PIT,,HOU,W 23-16,*,21,32,65.63,279,0,3,54.0,0,0,8.72,4.50,8,26,3.25,1,0,0,,0,1,6,0,0,,0
20,1971,1971-10-31,7,23.059,PIT,@,BAL,L 21-34,*,20,35,57.14,187,1,1,69.6,0,0,5.34,4.63,3,12,4.00,2,0,0,,0,2,12,0,0,,0
21,1971,1971-11-07,8,23.066,PIT,,CLE,W 26-9,*,4,11,36.36,70,0,1,21.0,0,0,6.36,2.27,4,37,9.25,1,0,0,,0,1,6,0,0,,0
22,1971,1971-11-14,9,23.073,PIT,@,MIA,L 21-24,*,25,36,69.44,253,3,2,93.9,0,0,7.03,6.19,2,5,2.50,0,0,0,,0,0,0,0,0,,0
23,1971,1971-11-21,10,23.080,PIT,,NYG,W 17-13,*,12,20,60.00,75,1,0,84.4,0,0,3.75,4.75,1,11,11.00,0,0,0,,0,0,0,0,0,,0
24,1971,1971-11-28,11,23.087,PIT,,DEN,L 10-22,*,6,17,35.29,68,0,0,48.2,0,0,4.00,4.00,3,16,5.33,0,0,0,,0,0,0,0,0,,0
25,1971,1971-12-05,12,23.094,PIT,@,HOU,L 3-29,*,14,31,45.16,111,0,3,15.1,0,0,3.58,-0.77,2,8,4.00,0,0,0,,0,0,0,0,0,,0
26,1971,1971-12-12,13,23.101,PIT,@,CIN,W 21-13,,6,13,46.15,105,2,0,113.8,0,0,8.08,11.15,2,2,1.00,0,0,0,,0,0,0,0,0,,0
27,1971,1971-12-19,14,23.108,PIT,,RAM,L 14-23,*,20,34,58.82,163,2,4,51.1,0,0,4.79,0.68,3,30,10.00,0,0,0,,0,0,0,0,0,,0
28,1972,1972-09-17,1,24.015,PIT,,OAK,W 34-28,*,7,17,41.18,124,1,3,46.8,0,0,7.29,0.53,7,49,7.00,2,0,0,,0,2,12,0,0,,0
29,1972,1972-09-24,2,24.022,PIT,@,CIN,L 10-15,*,18,34,52.94,170,0,0,67.0,0,0,5.00,5.00,3,27,9.00,1,0,0,,0,1,6,0,0,,0
30,1972,1972-10-01,3,24.029,PIT,@,STL,W 25-19,*,25,40,62.50,229,1,1,75.9,0,0,5.73,5.10,7,35,5.00,1,0,0,,0,1,6,0,0,,0
31,1972,1972-10-08,4,24.036,PIT,@,DAL,L 13-17,*,12,39,30.77,166,0,1,34.8,0,0,4.26,3.10,4,32,8.00,0,0,0,,0,0,0,0,0,,0
32,1972,1972-10-15,5,24.043,PIT,,HOU,W 24-7,*,9,19,47.37,70,1,0,74.5,0,0,3.68,4.74,7,34,4.86,1,0,0,,0,1,6,0,0,,0
33,1972,1972-10-22,6,24.050,PIT,,NWE,W 33-3,*,7,11,63.64,173,1,0,137.5,0,0,15.73,17.55,2,15,7.50,0,0,0,,0,0,0,0,0,,0
34,1972,1972-10-29,7,24.057,PIT,@,BUF,W 38-21,*,9,17,52.94,93,1,1,64.1,0,0,5.47,4.00,2,6,3.00,1,0,0,,0,1,6,0,0,,0
35,1972,1972-11-05,8,24.064,PIT,,CIN,W 40-17,*,10,20,50.00,190,3,0,122.9,0,0,9.50,12.50,1,8,8.00,0,0,0,,0,0,0,0,0,,0
36,1972,1972-11-12,9,24.071,PIT,,KAN,W 16-7,*,8,20,40.00,92,0,3,15.0,0,0,4.60,-2.15,5,34,6.80,0,0,0,,0,0,0,0,0,,0
37,1972,1972-11-19,10,24.078,PIT,@,CLE,L 24-26,*,10,21,47.62,136,1,1,64.8,0,0,6.48,5.29,3,17,5.67,0,0,0,,0,0,0,0,0,,0
38,1972,1972-11-26,11,24.085,PIT,,MIN,W 23-10,*,7,19,36.84,93,1,1,48.8,0,0,4.89,3.58,6,28,4.67,1,0,0,,0,1,6,0,0,,0
39,1972,1972-12-03,12,24.092,PIT,,CLE,W 30-0,*,9,17,52.94,162,1,0,105.5,0,0,9.53,10.71,5,27,5.40,0,0,0,,0,0,0,0,0,,0
40,1972,1972-12-10,13,24.099,PIT,@,HOU,W 9-3,*,4,11,36.36,37,0,0,46.4,0,0,3.36,3.36,3,19,6.33,0,0,0,,0,0,0,0,0,,0
41,1972,1972-12-17,14,24.106,PIT,@,SDG,W 24-2,*,12,23,52.17,152,1,1,69.5,0,0,6.61,5.52,3,15,5.00,0,0,0,,0,0,0,0,0,,0
42,1973,1973-09-16,1,25.014,PIT,,DET,W 24-10,*,15,23,65.22,154,2,1,95.2,0,0,6.70,6.48,8,25,3.13,1,0,0,,0,1,6,0,0,,0
43,1973,1973-09-23,2,25.021,PIT,,CLE,W 33-6,*,5,14,35.71,140,1,1,67.6,0,0,10.00,8.21,2,16,8.00,0,0,0,,0,0,0,0,0,,0
44,1973,1973-09-30,3,25.028,PIT,@,HOU,W 36-7,*,9,17,52.94,159,1,2,65.2,0,0,9.35,5.24,5,26,5.20,1,0,0,,0,1,6,0,0,,0
45,1973,1973-10-07,4,25.035,PIT,,SDG,W 38-21,*,7,16,43.75,99,1,1,59.1,0,0,6.19,4.63,4,28,7.00,1,0,0,,0,1,6,0,0,,0
46,1973,1973-10-14,5,25.042,PIT,@,CIN,L 7-19,*,9,14,64.29,106,0,1,57.4,0,0,7.57,4.36,2,3,1.50,0,0,0,,0,0,0,0,0,,0
