ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2013,2013-09-15,2,21.141,SDG,@,PHI,W 33-30,,3,2,34,17.00,0,66.7%,11.33,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
2,2013,2013-09-22,3,21.148,SDG,@,TEN,L 17-20,*,3,1,-4,-4.00,0,33.3%,-1.33,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
3,2013,2013-09-29,4,21.155,SDG,,DAL,W 30-21,*,6,5,80,16.00,0,83.3%,13.33,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
4,2013,2013-10-06,5,21.162,SDG,@,OAK,L 17-27,*,9,6,115,19.17,1,66.7%,12.78,0,0,,0,0,0,,0,1,21,21.00,0,1,6,0.0,1,0,0,0,0
5,2013,2013-10-14,6,21.170,SDG,,IND,W 19-9,*,12,9,107,11.89,1,75.0%,8.92,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0
6,2013,2013-10-20,7,21.176,SDG,@,JAX,W 24-6,*,6,3,67,22.33,0,50.0%,11.17,0,0,,0,0,0,,0,1,11,11.00,0,0,0,0.0,0,0,0,0,0
7,2013,2013-11-03,8,21.190,SDG,@,WAS,L 24-30,*,11,8,128,16.00,1,72.7%,11.64,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,1,0,0,0,0
8,2013,2013-11-10,9,21.197,SDG,,DEN,L 20-28,*,5,4,41,10.25,0,80.0%,8.20,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
9,2013,2013-11-17,10,21.204,SDG,@,MIA,L 16-20,*,6,3,45,15.00,0,50.0%,7.50,0,0,,0,0,0,,0,2,34,17.00,0,0,0,0.0,0,0,0,0,0
10,2013,2013-11-24,11,21.211,SDG,@,KAN,W 41-38,*,11,9,124,13.78,0,81.8%,11.27,0,0,,0,0,0,,0,1,5,5.00,0,0,0,0.0,0,0,0,0,0
11,2013,2013-12-01,12,21.218,SDG,,CIN,L 10-17,*,10,8,106,13.25,0,80.0%,10.60,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0.0,0,0,0,0,0
12,2013,2013-12-08,13,21.225,SDG,,NYG,W 37-14,*,3,3,59,19.67,2,100.0%,19.67,0,0,,0,0,0,,0,2,2,1.00,0,2,12,0.0,0,0,0,0,0
13,2013,2013-12-12,14,21.229,SDG,@,DEN,W 27-20,*,5,2,29,14.50,2,40.0%,5.80,0,0,,0,0,0,,0,2,11,5.50,0,2,12,0.0,0,0,0,0,0
14,2013,2013-12-22,15,21.239,SDG,,OAK,W 26-13,*,7,3,26,8.67,1,42.9%,3.71,0,0,,0,0,0,,0,3,35,11.67,0,1,6,0.0,1,0,0,0,0
15,2013,2013-12-29,16,21.246,SDG,,KAN,W 27-24,*,8,5,89,17.80,0,62.5%,11.13,0,0,,0,0,0,,0,2,6,3.00,0,0,0,0.0,0,0,0,0,0
16,2014,2014-09-08,1,22.134,SDG,@,ARI,L 17-18,*,9,5,37,7.40,0,55.6%,4.11,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
17,2014,2014-09-14,2,22.140,SDG,,SEA,W 30-21,*,6,5,55,11.00,0,83.3%,9.17,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
18,2014,2014-09-21,3,22.147,SDG,@,BUF,W 22-10,*,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
19,2014,2014-09-28,4,22.154,SDG,,JAX,W 33-14,*,11,10,135,13.50,0,90.9%,12.27,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
20,2014,2014-10-05,5,22.161,SDG,,NYJ,W 31-0,*,7,3,25,8.33,0,42.9%,3.57,0,0,,0,0,0,,0,1,10,10.00,0,0,0,0.0,0,0,0,0,0
21,2014,2014-10-12,6,22.168,SDG,@,OAK,W 31-28,*,6,3,27,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,1,29,29.00,0,0,0,0.0,0,0,0,0,0
22,2014,2014-10-19,7,22.175,SDG,,KAN,L 20-23,*,10,6,58,9.67,0,60.0%,5.80,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
23,2014,2014-10-23,8,22.179,SDG,@,DEN,L 21-35,*,13,9,73,8.11,1,69.2%,5.62,0,0,,0,0,0,,0,1,6,6.00,0,1,6,0.0,1,0,0,0,0
24,2014,2014-11-02,9,22.189,SDG,@,MIA,L 0-37,*,9,4,47,11.75,0,44.4%,5.22,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
