ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2013,2013-10-06,5,24.122,STL,,JAX,W 34-20,,,,,,,0.0%,,,,,,,,,,,,,,,
2,2013,2013-10-13,6,24.129,STL,@,HOU,W 38-13,,,,,,,0.0%,,,,,,,,,,,,,,,
3,2013,2013-10-20,7,24.136,STL,@,CAR,L 15-30,,,,,,,0.0%,,,,,,,,,,,,,,,
4,2013,2013-10-28,8,24.144,STL,,SEA,L 9-14,,,,,,,0.0%,,,,,,,,,,,,,,,
5,2013,2013-11-03,9,24.150,STL,,TEN,L 21-28,,,,,,,0.0%,,,,,,,,,,,,,,,
6,2013,2013-11-10,10,24.157,STL,@,IND,W 38-8,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
7,2013,2013-11-24,11,24.171,STL,,CHI,W 42-21,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
8,2013,2013-12-01,12,24.178,STL,@,SFO,L 13-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
9,2013,2013-12-08,13,24.185,STL,@,ARI,L 10-30,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,2,0,0,0,0
10,2013,2013-12-15,14,24.192,STL,,NOR,W 27-16,,,,,,,0.0%,,,,,,,,,,,,,,,
11,2013,2013-12-22,15,24.199,STL,,TAM,W 23-13,,,,,,,0.0%,,,,,,,,,,,,,,,
12,2013,2013-12-29,16,24.206,STL,@,SEA,L 9-27,,,,,,,0.0%,,,,,,,,,,,,,,,
13,2014,2014-09-07,1,25.093,STL,,MIN,L 6-34,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0,0,0,0
14,2014,2014-09-14,2,25.100,STL,@,TAM,W 19-17,,,,,,,0.0%,,,,,,,,,,,,,,,
15,2014,2014-09-21,3,25.107,STL,,DAL,L 31-34,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
