ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1981,1981-09-27,4,22.122,ATL,@,CLE,L 17-28,0,0,,0,0,0,1,0,0
2,1981,1981-10-11,6,22.136,ATL,,RAM,L 35-37,0,0,,0,0,0,1,8,0
3,1981,1981-11-01,9,22.157,ATL,@,NOR,W 41-10,0,0,,0,0,0,1,41,0
4,1981,1981-11-15,11,22.171,ATL,,PIT,L 20-34,0,0,,0,0,0,1,6,0
5,1981,1981-11-29,13,22.185,ATL,@,HOU,W 31-27,0,0,,0,0,0,1,31,0
6,1982,1982-12-12,6,23.198,ATL,,NOR,W 35-0,0,0,,0,0,0,1,0,0
7,1982,1983-01-02,9,23.219,ATL,@,NOR,L 6-35,0,0,,0,0,0,1,0,0
8,1983,1983-09-04,1,24.099,ATL,@,CHI,W 20-17,0,0,,0,0,0,1,0,0
9,1983,1983-09-11,2,24.106,ATL,,NYG,L 13-16,0,0,,0,,,,,
10,1983,1983-09-18,3,24.113,ATL,@,DET,W 30-14,0,0,,0,,,,,
11,1983,1983-09-25,4,24.120,ATL,@,SFO,L 20-24,0,0,,0,0,0,1,12,0
12,1983,1983-10-02,5,24.127,ATL,,PHI,L 24-28,0,0,,0,,,,,
13,1983,1983-10-09,6,24.134,ATL,,NOR,L 17-19,0,0,,0,,,,,
14,1983,1983-10-16,7,24.141,ATL,@,RAM,L 21-27,0,0,,0,,,,,
15,1983,1983-10-23,8,24.148,ATL,@,NYJ,W 27-21,0,0,,0,0,0,1,0,0
16,1983,1983-10-30,9,24.155,ATL,,NWE,W 24-13,0,0,,0,,,,,
17,1983,1983-11-06,10,24.162,ATL,@,NOR,L 10-27,0,0,,0,,,,,
18,1983,1983-11-14,11,24.170,ATL,,RAM,L 13-36,0,0,,0,,,,,
19,1983,1983-11-20,12,24.176,ATL,,SFO,W 28-24,0,0,,0,,,,,
20,1983,1983-11-27,13,24.183,ATL,,GNB,W 47-41,0,0,,0,,,,,
21,1983,1983-12-04,14,24.190,ATL,@,WAS,L 21-37,1,17,17.00,0,0,0,0,0,0
22,1983,1983-12-10,15,24.196,ATL,@,MIA,L 24-31,0,0,,0,,,,,
23,1983,1983-12-18,16,24.204,ATL,,BUF,W 31-14,0,0,,0,0,0,1,0,0
24,1984,1984-09-02,1,25.097,ATL,@,NOR,W 36-28,0,0,,0,0,0,2,25,0
25,1985,1985-09-15,2,26.110,ATL,@,SFO,L 16-35,0,0,,0,0,0,1,0,0
26,1985,1985-10-20,7,26.145,ATL,,NOR,W 31-24,0,0,,0,0,0,1,-3,0
27,1985,1985-10-27,8,26.152,ATL,@,DAL,L 10-24,0,0,,0,0,0,1,-1,0
28,1985,1985-11-10,10,26.166,ATL,@,PHI,L 17-23,0,0,,0,0,0,1,0,0
29,1985,1985-12-01,13,26.187,ATL,,RAI,L 24-34,0,0,,0,0,0,1,0,0
30,1986,1986-09-21,3,27.116,ATL,@,DAL,W 37-35,0,0,,0,1,6,1,33,1
31,1987,1987-09-20,2,28.115,ATL,,WAS,W 21-20,0,0,,0,0,0,1,7,0
32,1987,1987-10-25,6,28.150,ATL,@,HOU,L 33-37,0,0,,0,0,0,1,31,0
33,1987,1987-11-15,9,28.171,ATL,,CIN,L 10-16,0,0,,0,0,0,1,10,0
34,1987,1987-11-22,10,28.178,ATL,@,MIN,L 13-24,0,0,,0,0,0,1,0,0
35,1988,1988-10-23,8,29.148,ATL,,NYG,L 16-23,0,0,,0,0,0,1,22,0
36,1990,1990-09-16,2,31.111,ATL,@,DET,L 14-21,0,0,,0,0,0,1,0,0
37,1990,1990-11-25,11,31.181,ATL,@,NOR,L 7-10,0,0,,0,0,0,1,0,0
38,1990,1990-12-09,13,31.195,ATL,,PHO,L 13-24,0,0,,0,0,0,1,0,0
