ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,2016,2016-09-11,1,22.117,TAM,@,ATL,W 31-24,,4,4,100.0,1,1,100.0,0,7
2,2016,2016-09-18,2,22.124,TAM,@,ARI,L 7-40,,1,1,100.0,,1,0.0,0,1
3,2016,2016-09-25,3,22.131,TAM,,LAR,L 32-37,,2,3,66.7,,1,0.0,0,2
4,2016,2016-10-02,4,22.138,TAM,,DEN,L 7-27,,1,1,100.0,,,,0,1
5,2016,2016-10-10,5,22.146,TAM,@,CAR,W 17-14,,,,,3,5,60.0,0,9
6,2016,2016-10-23,6,22.159,TAM,@,SFO,W 34-17,,4,4,100.0,2,3,66.7,0,10
7,2016,2016-10-30,7,22.166,TAM,,OAK,L 24-30,,1,2,50.0,1,1,100.0,0,4
8,2016,2016-11-03,8,22.170,TAM,,ATL,L 28-43,,2,2,100.0,,,,0,2
9,2016,2016-11-13,9,22.180,TAM,,CHI,W 36-10,,4,4,100.0,2,2,100.0,0,10
10,2016,2016-11-20,10,22.187,TAM,@,KAN,W 19-17,,1,1,100.0,4,4,100.0,0,13
11,2016,2016-11-27,11,22.194,TAM,,SEA,W 14-5,,2,2,100.0,,1,0.0,0,2
12,2016,2016-12-04,12,22.201,TAM,@,SDG,W 28-21,,2,2,100.0,2,3,66.7,0,8
13,2016,2016-12-11,13,22.208,TAM,,NOR,W 16-11,,1,1,100.0,3,3,100.0,0,10
14,2016,2016-12-18,14,22.215,TAM,@,DAL,L 20-26,,2,2,100.0,2,2,100.0,0,8
15,2016,2016-12-24,15,22.221,TAM,@,NOR,L 24-31,,3,3,100.0,1,1,100.0,0,6
16,2016,2017-01-01,16,22.229,TAM,,CAR,W 17-16,,2,2,100.0,1,3,33.3,0,5
