ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1975,1975-09-21,1,22.091,PHI,,NYG,L 14-23,,,,
2,1975,1975-09-28,2,22.098,PHI,@,CHI,L 13-15,,,,
3,1975,1975-10-05,3,22.105,PHI,,WAS,W 26-10,,,,
4,1975,1975-10-12,4,22.112,PHI,@,MIA,L 16-24,,,,
5,1975,1975-10-19,5,22.119,PHI,@,STL,L 20-31,,,,
6,1975,1975-10-26,6,22.126,PHI,,DAL,L 17-20,,,,
7,1975,1975-11-03,7,22.134,PHI,,RAM,L 3-42,,,,
8,1975,1975-11-09,8,22.140,PHI,,STL,L 23-24,,,,
9,1975,1975-11-16,9,22.147,PHI,@,NYG,W 13-10,,,,
10,1975,1975-11-23,10,22.154,PHI,@,DAL,L 17-27,,,,
11,1975,1975-11-30,11,22.161,PHI,,SFO,W 27-17,,,,
12,1975,1975-12-07,12,22.168,PHI,,CIN,L 0-31,,,,
13,1975,1975-12-14,13,22.175,PHI,@,DEN,L 10-25,,,,
14,1975,1975-12-21,14,22.182,PHI,@,WAS,W 26-3,,,,
15,1976,1976-09-12,1,23.082,PHI,@,DAL,L 7-27,,,,
16,1976,1976-10-17,6,23.117,PHI,@,GNB,L 13-28,,,,
17,1976,1976-10-24,7,23.124,PHI,,MIN,L 12-31,1,0,0.00,0
18,1976,1976-10-31,8,23.131,PHI,@,NYG,W 10-0,,,,
19,1976,1976-11-07,9,23.138,PHI,,STL,L 14-17,,,,
20,1976,1976-11-14,10,23.145,PHI,@,CLE,L 3-24,,,,
21,1976,1976-11-21,11,23.152,PHI,,OAK,L 7-26,,,,
22,1976,1976-11-28,12,23.159,PHI,@,WAS,L 0-24,,,,
23,1976,1976-12-05,13,23.166,PHI,,DAL,L 7-26,,,,
24,1976,1976-12-12,14,23.173,PHI,,SEA,W 27-10,,,,
25,1977,1977-10-09,4,24.109,NYJ,@,BUF,W 24-19,,,,
26,1977,1977-10-16,5,24.116,NYJ,@,MIA,L 17-21,,,,
27,1977,1977-10-30,7,24.130,NYJ,@,NWE,L 13-24,,,,
28,1977,1977-11-13,9,24.144,NYJ,,SEA,L 0-17,,,,
29,1977,1977-11-20,10,24.151,NYJ,@,BAL,L 12-33,,,,
30,1977,1977-12-04,12,24.165,NYJ,@,NOR,W 16-13,,,,
31,1977,1977-12-11,13,24.172,NYJ,,BUF,L 10-14,,,,
32,1977,1977-12-18,14,24.179,NYJ,@,PHI,L 0-27,,,,
