ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,2002,2002-11-03,8,22.300,TEN,@,IND,W 23-15,,,,,,,,,,
2,2002,2002-11-10,9,22.307,TEN,,HOU,W 17-10,,,,,,,,,,
3,2002,2002-11-17,10,22.314,TEN,,PIT,W 31-23,,,,,,,,,,
4,2002,2002-11-24,11,22.321,TEN,@,BAL,L 12-13,,,,,,,,,,
5,2002,2002-12-01,12,22.328,TEN,@,NYG,W 32-29,,,,,,,,,,
6,2002,2002-12-08,13,22.335,TEN,,IND,W 27-17,,,,,,,,,,
7,2002,2002-12-16,14,22.343,TEN,,NWE,W 24-7,,,,,,,,,,
8,2002,2002-12-22,15,22.349,TEN,@,JAX,W 28-10,,,,,,,,,,
9,2002,2002-12-29,16,22.356,TEN,@,HOU,W 13-3,,,,,,,,,,
10,2003,2003-09-07,1,23.243,TEN,,OAK,W 25-20,,,,,,,,,,
11,2003,2003-09-14,2,23.250,TEN,@,IND,L 7-33,*,,,,,,,,,
12,2003,2003-09-21,3,23.257,TEN,,NOR,W 27-12,,,,,,,,,,
13,2003,2003-09-28,4,23.264,TEN,@,PIT,W 30-13,,,,,,,,,,
14,2003,2003-10-05,5,23.271,TEN,@,NWE,L 30-38,,,,,,,,,,
15,2003,2003-10-12,6,23.278,TEN,,HOU,W 38-17,,,,,,,,,,
16,2003,2003-10-19,7,23.285,TEN,@,CAR,W 37-17,,,,,,,,,,
17,2003,2003-10-26,8,23.292,TEN,@,JAX,W 30-17,,,,,,,,,,
18,2003,2003-11-09,9,23.306,TEN,,MIA,W 31-7,,,,,,,,,,
19,2003,2003-11-16,10,23.313,TEN,,JAX,W 10-3,,,,,,,,,,
20,2003,2003-11-23,11,23.320,TEN,@,ATL,W 38-31,,,,,,,,,,
21,2003,2003-12-01,12,23.328,TEN,@,NYJ,L 17-24,,,,,,,,,,
22,2003,2003-12-07,13,23.334,TEN,,IND,L 27-29,,,,,,,,,,
23,2003,2003-12-14,14,23.341,TEN,,BUF,W 28-26,*,,,,,,,,,
24,2003,2003-12-21,15,23.348,TEN,@,HOU,W 27-24,*,,,,,,,,,
25,2003,2003-12-28,16,23.355,TEN,,TAM,W 33-13,*,,,,,,,,,
26,2004,2004-09-19,2,24.256,TEN,,IND,L 17-31,,,,,,,,,,
27,2004,2004-09-26,3,24.263,TEN,,JAX,L 12-15,*,,,,,,,,,
28,2004,2004-10-03,4,24.270,TEN,@,SDG,L 17-38,*,,,,,,,,,
29,2004,2004-10-11,5,24.278,TEN,@,GNB,W 48-27,*,,,,,,,,,
30,2004,2004-10-17,6,24.284,TEN,,HOU,L 10-20,*,,,,,,,,,
31,2004,2004-10-24,7,24.291,TEN,@,MIN,L 3-20,*,,,,,,,,,
32,2004,2004-10-31,8,24.298,TEN,,CIN,W 27-20,*,,,,,,,,,
33,2004,2004-11-14,9,24.312,TEN,,CHI,L 17-19,*,,,,,,,,,
34,2004,2004-11-21,10,24.319,TEN,@,JAX,W 18-15,*,,,,,,,,,
35,2004,2004-11-28,11,24.326,TEN,@,HOU,L 21-31,*,,,,,,,,,
36,2004,2004-12-05,12,24.333,TEN,@,IND,L 24-51,*,,,,,,,,,
