ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1965,1965-10-17,5,23.017,DET,,GNB,L 21-31,0,0,,0,0,0,,0,2,12,6.00,0,0,0,0,0,0
2,1965,1965-10-24,6,23.024,DET,@,CHI,L 10-38,3,2,0.67,0,1,4,4.00,0,0,0,,0,0,0,0,0,0
3,1965,1965-12-12,13,23.073,DET,,MIN,L 7-29,9,19,2.11,0,0,0,,0,0,0,,0,0,0,0,0,0
4,1965,1965-12-19,14,23.080,DET,@,PHI,W 35-28,15,52,3.47,1,4,41,10.25,1,0,0,,0,2,12,0,0,0
5,1966,1966-09-11,1,23.346,DET,,CHI,W 14-3,21,84,4.00,1,1,9,9.00,0,0,0,,0,1,6,0,0,0
6,1966,1966-09-18,2,23.353,DET,@,PIT,L 3-17,4,16,4.00,0,2,15,7.50,0,0,0,,0,0,0,0,0,0
7,1966,1966-09-25,3,23.360,DET,,ATL,W 28-10,12,36,3.00,1,2,2,1.00,1,0,0,,0,2,12,0,0,0
8,1966,1966-10-02,4,24.002,DET,@,GNB,L 14-23,14,61,4.36,1,4,44,11.00,0,0,0,,0,1,6,0,0,0
9,1966,1966-10-09,5,24.009,DET,,RAM,L 7-14,14,50,3.57,1,4,30,7.50,0,0,0,,0,1,6,0,0,0
10,1966,1966-10-16,6,24.016,DET,@,BAL,L 14-45,8,11,1.38,0,7,30,4.29,0,0,0,,0,0,0,0,0,0
11,1966,1966-10-23,7,24.023,DET,@,SFO,L 24-27,14,51,3.64,0,9,62,6.89,0,0,0,,0,0,0,0,0,0
12,1966,1966-10-30,8,24.030,DET,,GNB,L 7-31,9,52,5.78,1,3,4,1.33,0,0,0,,0,1,6,0,0,0
13,1966,1966-11-06,9,24.037,DET,@,CHI,T 10-10,4,6,1.50,0,1,20,20.00,0,0,0,,0,0,0,0,0,0
14,1966,1966-11-13,10,24.044,DET,@,MIN,W 32-31,10,18,1.80,0,5,35,7.00,0,0,0,,0,0,0,0,0,0
15,1966,1966-11-20,11,24.051,DET,,BAL,W 20-14,13,49,3.77,0,5,24,4.80,0,0,0,,0,0,0,0,0,0
16,1966,1966-11-24,12,24.055,DET,,SFO,L 14-41,9,13,1.44,1,3,6,2.00,0,0,0,,0,1,6,0,0,0
17,1966,1966-12-04,13,24.065,DET,@,RAM,L 3-23,9,29,3.22,0,5,28,5.60,0,0,0,,0,0,0,0,0,0
18,1966,1966-12-11,14,24.072,DET,,MIN,L 16-28,10,36,3.60,0,3,7,2.33,0,0,0,,0,0,0,0,0,0
19,1967,1967-09-17,1,24.352,DET,@,GNB,T 17-17,3,4,1.33,0,0,0,,0,0,0,,0,0,0,0,0,0
20,1967,1967-09-24,2,24.359,DET,,CLE,W 31-14,9,36,4.00,1,1,9,9.00,0,0,0,,0,1,6,0,0,0
21,1967,1967-10-01,3,25.001,DET,@,STL,L 28-38,0,0,,0,1,-3,-3.00,0,0,0,,0,0,0,0,0,0
22,1967,1967-10-15,5,25.015,DET,@,CHI,L 3-14,2,5,2.50,0,2,37,18.50,0,0,0,,0,0,0,0,0,0
23,1967,1967-10-22,6,25.022,DET,,ATL,W 24-3,2,15,7.50,0,2,32,16.00,1,0,0,,0,1,6,0,0,0
24,1967,1967-10-29,7,25.029,DET,@,SFO,W 45-3,12,49,4.08,1,8,33,4.13,1,0,0,,0,2,12,0,0,0
25,1967,1967-11-05,8,25.036,DET,,CHI,L 13-27,8,37,4.63,0,1,0,0.00,0,0,0,,0,0,0,0,0,0
26,1967,1967-11-12,9,25.043,DET,@,MIN,T 10-10,13,55,4.23,0,2,21,10.50,0,0,0,,0,0,0,0,0,0
27,1967,1967-11-19,10,25.050,DET,@,BAL,L 7-41,7,26,3.71,0,2,15,7.50,0,0,0,,0,0,0,0,0,0
28,1967,1967-11-23,11,25.054,DET,,RAM,L 7-31,9,36,4.00,1,2,1,0.50,0,0,0,,0,1,6,0,0,0
29,1967,1967-12-03,12,25.064,DET,,PIT,L 14-24,1,3,3.00,1,0,0,,0,0,0,,0,1,6,0,0,0
30,1967,1967-12-10,13,25.071,DET,@,NYG,W 30-7,2,6,3.00,0,0,0,,0,0,0,,0,0,0,0,0,0
31,1967,1967-12-17,14,25.078,DET,,MIN,W 14-3,2,16,8.00,0,0,0,,0,0,0,,0,0,0,0,0,0
32,1968,1968-09-15,1,25.351,DET,@,DAL,L 13-59,0,0,,0,0,0,,0,1,8,8.00,0,0,0,0,0,0
33,1968,1968-10-06,4,26.006,DET,@,MIN,L 10-24,1,2,2.00,0,0,0,,0,0,0,,0,0,0,0,0,0
34,1968,1968-10-13,5,26.013,DET,@,CHI,W 28-10,16,49,3.06,1,1,2,2.00,0,0,0,,0,1,6,0,0,0
35,1968,1968-10-20,6,26.020,DET,,GNB,T 14-14,0,0,,0,0,0,,0,1,11,11.00,0,0,0,0,0,0
36,1968,1968-11-03,8,26.034,DET,@,RAM,L 7-10,3,6,2.00,0,0,0,,0,0,0,,0,0,0,0,0,0
37,1968,1968-11-17,10,26.048,DET,,MIN,L 6-13,1,3,3.00,0,0,0,,0,0,0,,0,0,0,0,0,0
38,1968,1968-11-24,11,26.055,DET,,NOR,T 20-20,1,3,3.00,0,1,5,5.00,0,0,0,,0,0,0,0,0,0
39,1968,1968-11-28,12,26.059,DET,,PHI,L 0-12,14,53,3.79,0,2,-1,-0.50,0,1,15,15.00,0,0,0,0,0,0
40,1969,1969-12-21,14,27.082,DET,@,CHI,W 20-3,0,0,,0,0,0,,0,1,14,14.00,0,0,0,0,0,0
41,1970,1970-10-11,4,28.011,BAL,@,HOU,W 24-20,,,,,,,,,,,,,,,,,
42,1970,1970-10-18,5,28.018,BAL,@,NYJ,W 29-22,6,22,3.67,0,0,0,,0,0,0,,0,0,0,0,0,0
43,1970,1970-10-25,6,28.025,BAL,,BOS,W 27-3,9,43,4.78,0,3,14,4.67,0,0,0,,0,0,0,0,0,0
44,1970,1970-11-01,7,28.032,BAL,,MIA,W 35-0,7,35,5.00,0,2,24,12.00,0,0,0,,0,0,0,0,0,0
45,1970,1970-11-09,8,28.040,BAL,@,GNB,W 13-10,4,11,2.75,0,0,0,,0,0,0,,0,0,0,0,0,0
46,1970,1970-11-15,9,28.046,BAL,,BUF,T 17-17,2,6,3.00,0,0,0,,0,0,0,,0,0,0,0,0,0
47,1970,1970-11-22,10,28.053,BAL,@,MIA,L 17-34,10,46,4.60,0,8,47,5.88,0,2,19,9.50,0,0,0,0,0,0
48,1970,1970-11-29,11,28.060,BAL,,CHI,W 21-20,2,8,4.00,0,1,6,6.00,0,0,0,,0,0,0,0,0,0
49,1970,1970-12-06,12,28.067,BAL,,PHI,W 29-10,16,45,2.81,0,0,0,,0,1,12,12.00,0,0,0,0,0,0
50,1970,1970-12-13,13,28.074,BAL,@,BUF,W 20-14,9,20,2.22,1,2,2,1.00,0,1,17,17.00,0,1,6,0,0,0
51,1970,1970-12-19,14,28.080,BAL,,NYJ,W 35-20,8,12,1.50,0,0,0,,0,3,45,15.00,0,0,0,0,0,0
52,1971,1971-09-19,1,28.354,BAL,,NYJ,W 22-0,,,,,,,,,,,,,,,,,
53,1971,1971-09-26,2,28.361,BAL,,CLE,L 13-14,,,,,,,,,,,,,,,,,
54,1971,1971-10-03,3,29.003,BAL,@,NWE,W 23-3,,,,,,,,,,,,,,,,,
55,1971,1971-10-10,4,29.010,BAL,@,BUF,W 43-0,,,,,,,,,,,,,,,,,
56,1971,1971-10-17,5,29.017,BAL,@,NYG,W 31-7,,,,,,,,,,,,,,,,,
57,1971,1971-10-25,6,29.025,BAL,@,MIN,L 3-10,,,,,,,,,,,,,,,,,
58,1971,1971-10-31,7,29.031,BAL,,PIT,W 34-21,1,1,1.00,0,0,0,,0,1,1,1.00,0,0,0,0,0,0
59,1971,1971-11-08,8,29.039,BAL,,RAM,W 24-17,,,,,,,,,,,,,,,,,
60,1971,1971-11-14,9,29.045,BAL,@,NYJ,W 14-13,,,,,,,,,,,,,,,,,
61,1971,1971-11-21,10,29.052,BAL,@,MIA,L 14-17,,,,,,,,,,,,,,,,,
62,1971,1971-11-28,11,29.059,BAL,@,OAK,W 37-14,0,0,,0,0,0,,0,0,0,,0,0,0,1,29,0
63,1971,1971-12-05,12,29.066,BAL,,BUF,W 24-0,,,,,,,,,,,,,,,,,
64,1971,1971-12-11,13,29.072,BAL,,MIA,W 14-3,,,,,,,,,,,,,,,,,
65,1971,1971-12-19,14,29.080,BAL,,NWE,L 17-21,,,,,,,,,,,,,,,,,
66,1972,1972-09-17,1,29.353,BAL,,STL,L 3-10,,,,,,,,,,,,,,,,,
67,1972,1972-09-24,2,29.360,BAL,,NYJ,L 34-44,,,,,,,,,,,,,,,,,
68,1972,1972-10-01,3,30.001,BAL,@,BUF,W 17-0,1,0,0.00,0,0,0,,0,0,0,,0,0,0,0,0,0
69,1972,1972-11-19,10,30.050,BAL,@,CIN,W 20-19,,,,,,,,,,,,,,,,,
70,1972,1972-11-26,11,30.057,BAL,,NWE,W 31-0,2,11,5.50,0,0,0,,0,0,0,,0,0,0,0,0,0
71,1972,1972-12-03,12,30.064,BAL,,BUF,W 35-7,,,,,,,,,,,,,,,,,
