ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2007,2007-09-09,1,21.174,NYG,@,DAL,L 35-45,,0,0,,0,0,0,0,,0,0.0%,,7,193,27.57,0,0,0,,0,,0,0,0.0,,
2,2007,2007-09-16,2,21.181,NYG,,GNB,L 13-35,,0,0,,0,1,1,11,11.00,0,100.0%,11.00,2,41,20.50,0,0,0,,0,,0,0,0.0,,
3,2007,2007-09-23,3,21.188,NYG,@,WAS,W 24-17,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,,
4,2007,2007-09-30,4,21.195,NYG,,PHI,W 16-3,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,,
5,2007,2007-10-28,8,21.223,NYG,@,MIA,W 13-10,,0,0,,0,0,0,0,,0,0.0%,,1,35,35.00,0,0,0,,0,,0,0,0.0,,
6,2007,2007-11-11,9,21.237,NYG,,DAL,L 20-31,,0,0,,0,0,0,0,,0,0.0%,,4,49,12.25,0,0,0,,0,,0,0,0.0,,
7,2007,2007-11-18,10,21.244,NYG,@,DET,W 16-10,,0,0,,0,1,0,0,,0,0.0%,0.00,2,97,48.50,0,0,0,,0,,0,0,0.0,,
8,2007,2007-11-25,11,21.251,NYG,,MIN,L 17-41,,4,29,7.25,0,1,0,0,,0,0.0%,0.00,8,176,22.00,0,0,0,,0,,0,0,0.0,,
9,2007,2007-12-02,12,21.258,NYG,@,CHI,W 21-16,,1,2,2.00,0,1,0,0,,0,0.0%,0.00,3,55,18.33,0,0,0,,0,,0,0,0.0,,
10,2007,2007-12-09,13,21.265,NYG,@,PHI,W 16-13,,0,0,,0,0,0,0,,0,0.0%,,3,74,24.67,0,0,0,,0,,0,0,0.0,,
