ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,2016,2016-09-12,1,23.264,PIT,@,WAS,W 38-16,*,7,6,59,9.83,1,85.7%,8.43,0,0,,0,0,0,,0,1,6
2,2016,2016-09-18,2,23.270,PIT,,CIN,W 24-16,*,3,1,9,9.00,0,33.3%,3.00,0,0,,0,3,27,9.00,0,0,0
3,2016,2016-09-25,3,23.277,PIT,@,PHI,L 3-34,,5,2,32,16.00,0,40.0%,6.40,0,0,,0,1,3,3.00,0,0,0
4,2016,2016-10-16,6,23.298,PIT,@,MIA,L 15-30,*,5,4,35,8.75,0,80.0%,7.00,0,0,,0,0,0,,0,0,0
5,2016,2016-11-06,8,23.319,PIT,@,BAL,L 14-21,,10,6,103,17.17,0,60.0%,10.30,0,0,,0,0,0,,0,0,0
6,2016,2016-11-13,9,23.326,PIT,,DAL,L 30-35,*,5,4,42,10.50,1,80.0%,8.40,0,0,,0,0,0,,0,1,6
7,2016,2016-11-20,10,23.333,PIT,@,CLE,W 24-9,,6,4,20,5.00,0,66.7%,3.33,0,0,,0,0,0,,0,0,0
8,2016,2016-11-24,11,23.337,PIT,@,IND,W 28-7,*,2,2,36,18.00,0,100.0%,18.00,0,0,,0,0,0,,0,0,0
9,2016,2016-12-04,12,23.347,PIT,,NYG,W 24-14,,3,1,18,18.00,0,33.3%,6.00,0,0,,0,0,0,,0,0,0
10,2016,2016-12-11,13,23.354,PIT,@,BUF,W 27-20,*,3,3,20,6.67,0,100.0%,6.67,0,0,,0,0,0,,0,0,0
11,2016,2016-12-18,14,23.361,PIT,@,CIN,W 24-20,*,6,5,75,15.00,1,83.3%,12.50,0,0,,0,0,0,,0,1,6
12,2016,2016-12-25,15,24.002,PIT,,BAL,W 31-27,*,5,4,84,21.00,0,80.0%,16.80,1,6,6.00,0,0,0,,0,0,0
13,2016,2017-01-01,16,24.009,PIT,,CLE,W 27-24,,6,6,61,10.17,0,100.0%,10.17,0,0,,0,3,15,5.00,0,0,0
14,2017,2017-09-10,1,24.261,PIT,@,CLE,W 21-18,*,4,2,11,5.50,0,50.0%,2.75,0,0,,0,3,32,10.67,0,0,0
15,2017,2017-09-17,2,24.268,PIT,,MIN,W 26-9,,7,4,43,10.75,0,57.1%,6.14,0,0,,0,2,-1,-0.50,0,0,0
16,2017,2017-09-24,3,24.275,PIT,@,CHI,L 17-23,,0,0,0,,0,0.0%,,0,0,,0,3,15,5.00,0,0,0
17,2017,2017-10-15,6,24.296,PIT,@,KAN,W 19-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
18,2017,2017-10-22,7,24.303,PIT,,CIN,W 29-14,,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0
19,2017,2017-10-29,8,24.310,PIT,@,DET,W 20-15,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0
20,2017,2017-11-12,9,24.324,PIT,@,IND,W 20-17,,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,0,0
21,2017,2017-11-16,10,24.328,PIT,,TEN,W 40-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
22,2017,2017-11-26,11,24.338,PIT,,GNB,W 31-28,,7,3,21,7.00,0,42.9%,3.00,0,0,,0,0,0,,0,0,0
23,2017,2017-12-04,12,24.346,PIT,@,CIN,W 23-20,,2,1,4,4.00,0,50.0%,2.00,0,0,,0,2,7,3.50,0,0,0
24,2017,2017-12-10,13,24.352,PIT,,BAL,W 39-38,,5,3,33,11.00,0,60.0%,6.60,0,0,,0,1,-2,-2.00,0,0,0
25,2017,2017-12-17,14,24.359,PIT,,NWE,L 24-27,*,2,1,18,18.00,1,50.0%,9.00,0,0,,0,1,2,2.00,0,1,6
26,2017,2017-12-25,15,25.002,PIT,@,HOU,W 34-6,,4,1,6,6.00,0,25.0%,1.50,0,0,,0,5,82,16.40,0,0,0
27,2017,2017-12-31,16,25.008,PIT,,CLE,W 28-24,*,1,1,1,1.00,0,100.0%,1.00,0,0,,0,2,11,5.50,0,0,0
