ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,def_int,def_int_yds,def_int_td
1,1969,1969-10-26,6,23.292,ATL,@,GNB,L 10-28,0,0,,0,1,2,0
2,1969,1969-12-14,13,23.341,ATL,@,PHI,W 27-3,1,9,9.00,0,0,0,0
3,1971,1971-09-19,1,25.255,ATL,,SFO,W 20-17,,,,,,,
4,1971,1971-09-26,2,25.262,ATL,@,RAM,T 20-20,,,,,,,
5,1971,1971-10-03,3,25.269,ATL,@,DET,L 38-41,,,,,,,
6,1971,1971-10-10,4,25.276,ATL,,STL,L 9-26,,,,,,,
7,1971,1971-10-17,5,25.283,ATL,,RAM,L 16-24,,,,,,,
8,1971,1971-10-24,6,25.290,ATL,,NOR,W 28-6,,,,,,,
9,1971,1971-10-31,7,25.297,ATL,@,CLE,W 31-14,,,,,,,
10,1971,1971-11-07,8,25.304,ATL,@,CIN,W 9-6,1,3,3.00,0,0,0,0
11,1971,1971-11-14,9,25.311,ATL,,NYG,L 17-21,,,,,,,
12,1971,1971-11-22,10,25.319,ATL,,GNB,W 28-21,,,,,,,
13,1971,1971-11-28,11,25.325,ATL,@,MIN,L 7-24,0,0,,0,1,11,0
14,1971,1971-12-05,12,25.332,ATL,,OAK,W 24-13,0,0,,0,1,7,0
15,1971,1971-12-12,13,25.339,ATL,@,SFO,L 3-24,0,0,,0,1,4,0
16,1971,1971-12-19,14,25.346,ATL,@,NOR,W 24-20,,,,,,,
17,1972,1972-09-17,1,26.254,ATL,@,CHI,W 37-21,,,,,,,
18,1972,1972-09-24,2,26.261,ATL,@,NWE,L 20-21,,,,,,,
19,1972,1972-10-01,3,26.268,ATL,,RAM,W 31-3,,,,,,,
20,1972,1972-10-08,4,26.275,ATL,,DET,L 23-26,,,,,,,
21,1972,1972-10-15,5,26.282,ATL,@,NOR,W 21-14,,,,,,,
22,1972,1972-10-22,6,26.289,ATL,@,GNB,W 10-9,,,,,,,
23,1972,1972-10-29,7,26.296,ATL,,SFO,L 14-49,,,,,,,
24,1972,1972-11-05,8,26.303,ATL,@,RAM,L 7-20,,,,,,,
25,1972,1972-11-12,9,26.310,ATL,,NOR,W 36-20,,,,,,,
26,1972,1972-11-20,10,26.318,ATL,@,WAS,L 13-24,,,,,,,
27,1972,1972-11-26,11,26.324,ATL,,DEN,W 23-20,,,,,,,
