ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,2012,2012-09-09,1,22.229,BUF,@,NYJ,L 28-48,,,,,,,,,
2,2012,2012-09-16,2,22.236,BUF,,KAN,W 35-17,,,,,,,,,
3,2012,2012-09-23,3,22.243,BUF,@,CLE,W 24-14,,,,,,,,,
4,2012,2012-09-30,4,22.250,BUF,,NWE,L 28-52,,,,,,,,,
5,2012,2012-10-07,5,22.257,BUF,@,SFO,L 3-45,,,,,,,,,
6,2012,2012-10-14,6,22.264,BUF,@,ARI,W 19-16,,,,,,,,,
7,2013,2013-09-15,2,23.234,WAS,@,GNB,L 20-38,,2,2,100.0,,1,0.0,0,2
8,2013,2013-09-22,3,23.241,WAS,,DET,L 20-27,,2,2,100.0,2,2,100.0,0,8
9,2013,2013-09-29,4,23.248,WAS,@,OAK,W 24-14,,3,3,100.0,1,1,100.0,0,6
