ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1995,1995-09-03,1,24.206,PIT,,DET,W 23-20,,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0
2,1995,1995-09-18,3,24.221,PIT,@,MIA,L 10-23,,17,28,60.71,202,1,1,79.8,1,8,7.21,6.32,0,0,,0
3,1995,1995-09-24,4,24.227,PIT,,MIN,L 24-44,,15,27,55.56,195,1,3,51.2,1,0,7.22,2.96,1,2,2.00,0
4,1996,1996-09-01,1,25.205,PIT,@,JAX,L 9-24,*,9,17,52.94,83,0,0,66.5,2,7,4.88,4.88,1,-4,-4.00,0
5,1996,1996-11-03,9,25.268,PIT,,STL,W 42-6,,4,8,50.00,40,0,0,64.6,0,0,5.00,5.00,1,0,0.00,0
6,1999,1999-10-24,7,28.257,CHI,@,TAM,L 3-6,,10,22,45.45,117,0,1,43.2,0,0,5.32,3.27,0,0,,0
7,1999,1999-11-07,9,28.271,CHI,@,GNB,W 14-13,,16,29,55.17,142,1,3,40.4,1,6,4.90,0.93,0,0,,0
8,1999,1999-11-14,10,28.278,CHI,,MIN,L 24-27,*,34,48,70.83,422,3,1,109.9,3,15,8.79,9.10,0,0,,0
9,1999,1999-11-21,11,28.285,CHI,@,SDG,W 23-20,*,25,38,65.79,357,1,0,104.8,1,2,9.39,9.92,2,9,4.50,0
10,1999,1999-11-25,12,28.289,CHI,@,DET,L 17-21,*,25,37,67.57,204,2,1,88.1,2,20,5.51,5.38,1,0,0.00,0
11,2000,2000-10-08,6,29.242,CHI,,NOR,L 10-31,,,,,,,,,0,,,,,,,
12,2000,2000-10-22,8,29.256,CHI,@,PHI,L 9-13,,14,34,41.18,128,0,1,39.8,1,4,3.76,2.44,2,2,1.00,0
13,2000,2000-11-05,9,29.270,CHI,,IND,W 27-24,*,24,35,68.57,214,1,0,94.2,0,0,6.11,6.69,4,1,0.25,0
14,2000,2000-11-12,10,29.277,CHI,@,BUF,L 3-20,*,9,13,69.23,40,0,0,72.6,1,3,3.08,3.08,1,2,2.00,0
15,2001,2001-09-23,2,30.226,CHI,,MIN,W 17-10,,18,29,62.07,204,2,1,91.7,0,0,7.03,6.86,2,-2,-1.00,0
16,2001,2001-10-07,3,30.240,CHI,@,ATL,W 31-3,*,17,26,65.38,196,1,2,68.8,1,9,7.54,4.85,0,0,,0
17,2001,2001-10-14,4,30.247,CHI,,ARI,W 20-13,*,15,21,71.43,116,0,2,45.0,0,0,5.52,1.24,2,3,1.50,0
18,2001,2001-10-21,5,30.254,CHI,@,CIN,W 24-0,*,23,30,76.67,232,2,0,120.4,0,0,7.73,9.07,3,-2,-0.67,0
19,2001,2001-10-28,6,30.261,CHI,,SFO,W 37-31,*,5,16,31.25,63,0,1,18.5,0,0,3.94,1.13,1,-10,-10.00,0
20,2001,2001-11-11,8,30.275,CHI,,GNB,L 12-20,*,28,47,59.57,201,0,0,69.5,1,4,4.28,4.28,0,0,,0
21,2001,2001-11-18,9,30.282,CHI,@,TAM,W 27-24,*,14,25,56.00,228,3,1,109.7,3,22,9.12,9.72,4,-2,-0.50,0
22,2001,2001-11-25,10,30.289,CHI,@,MIN,W 13-6,*,10,21,47.62,97,0,0,61.0,1,4,4.62,4.62,1,0,0.00,0
23,2001,2001-12-02,11,30.296,CHI,,DET,W 13-10,*,17,34,50.00,124,0,1,46.7,0,0,3.65,2.32,3,1,0.33,0
24,2001,2001-12-09,12,30.303,CHI,@,GNB,L 7-17,*,18,33,54.55,139,0,1,52.5,0,0,4.21,2.85,2,-3,-1.50,0
25,2001,2001-12-16,13,30.310,CHI,,TAM,W 27-3,*,14,29,48.28,190,2,1,78.2,3,18,6.55,6.38,3,1,0.33,0
26,2001,2001-12-23,14,30.317,CHI,@,WAS,W 20-15,*,13,26,50.00,98,0,0,59.5,0,0,3.77,3.77,3,0,0.00,0
27,2001,2001-12-30,15,30.324,CHI,@,DET,W 24-0,*,17,30,56.67,252,2,0,106.5,1,9,8.40,9.73,4,-4,-1.00,0
28,2001,2002-01-06,16,30.331,CHI,,JAX,W 33-13,*,19,28,67.86,159,1,0,94.2,1,6,5.68,6.39,1,-1,-1.00,0
29,2002,2002-09-08,1,31.211,CHI,,MIN,W 27-23,*,20,33,60.61,297,2,1,97.7,1,9,9.00,8.85,3,4,1.33,0
30,2002,2002-09-15,2,31.218,CHI,@,ATL,W 14-13,*,12,24,50.00,143,1,1,65.1,1,7,5.96,4.92,2,-1,-0.50,0
31,2002,2002-09-22,3,31.225,CHI,,NOR,L 23-29,*,26,40,65.00,236,2,1,87.1,1,8,5.90,5.78,2,7,3.50,0
32,2002,2002-09-29,4,31.232,CHI,@,BUF,L 27-33,*,19,31,61.29,188,2,0,99.9,0,0,6.06,7.35,1,-1,-1.00,0
33,2002,2002-10-07,5,31.240,CHI,,GNB,L 21-34,*,27,49,55.10,353,3,3,72.9,3,18,7.20,5.67,0,0,,0
34,2002,2002-11-03,8,31.267,CHI,,PHI,L 13-19,*,19,36,52.78,205,0,0,69.8,3,19,5.69,5.69,1,0,0.00,0
35,2002,2002-11-10,9,31.274,CHI,,NWE,L 30-33,,8,18,44.44,72,1,1,51.2,1,3,4.00,2.61,0,0,,0
36,2002,2002-11-24,11,31.288,CHI,,DET,W 20-17,,21,35,60.00,250,1,0,91.4,2,12,7.14,7.71,1,0,0.00,0
37,2002,2002-12-01,12,31.295,CHI,@,GNB,L 20-30,*,25,36,69.44,191,1,1,79.7,3,18,5.31,4.61,2,2,1.00,0
38,2002,2002-12-09,13,31.303,CHI,@,MIA,L 9-27,*,3,12,25.00,9,0,1,4.9,1,7,0.75,-3.00,1,0,0.00,0
