ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2017,2017-12-03,12,27.102,NOR,,CAR,W 31-21,,0,0,,0,0,0,,0
2,2017,2017-12-07,13,27.106,NOR,@,ATL,L 17-20,,0,0,,0,0,0,,0
3,2017,2017-12-17,14,27.116,NOR,,NYJ,W 31-19,,0,0,,0,0,0,,0
4,2017,2017-12-24,15,27.123,NOR,,ATL,W 23-13,,0,0,,0,0,0,,0
5,2017,2017-12-31,16,27.130,NOR,@,TAM,L 24-31,,0,0,,0,0,0,,0
6,2018,2018-09-09,1,28.017,NOR,,TAM,L 40-48,,0,0,,0,0,0,,0
7,2018,2018-09-16,2,28.024,NOR,,CLE,W 21-18,,0,0,,0,1,47,47.00,0
8,2018,2018-09-23,3,28.031,NOR,@,ATL,W 43-37,,3,39,13.00,0,3,64,21.33,0
