ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2003,2003-11-02,8,23.152,PHI,@,ATL,W 23-16,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,2,25,12.50,0
2,2003,2003-11-10,9,23.160,PHI,@,GNB,W 17-14,,0,0,,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,4,30,7.50,0
3,2004,2004-09-12,1,24.101,PHI,,NYG,W 31-17,,3,7,2.33,0,0,0,0,,0,0.0%,,0,0,,0,3,50,16.67,0
4,2004,2004-09-20,2,24.109,PHI,,MIN,W 27-16,,0,0,,0,0,0,0,,0,0.0%,,1,14,14.00,0,1,2,2.00,0
5,2004,2004-09-26,3,24.115,PHI,@,DET,W 30-13,,1,17,17.00,0,0,0,0,,0,0.0%,,1,22,22.00,0,4,8,2.00,0
6,2004,2004-10-03,4,24.122,PHI,@,CHI,W 19-9,,0,0,,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,5,19,3.80,0
7,2004,2004-10-17,5,24.136,PHI,,CAR,W 30-8,,0,0,,0,1,1,24,24.00,0,100.0%,24.00,0,0,,0,0,0,,0
8,2004,2004-10-24,6,24.143,PHI,@,CLE,W 34-31,,0,0,,0,3,2,18,9.00,0,66.7%,6.00,0,0,,0,1,1,1.00,0
9,2004,2004-10-31,7,24.150,PHI,,BAL,W 15-10,,5,22,4.40,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,3,16,5.33,0
10,2004,2004-11-07,8,24.157,PHI,@,PIT,L 3-27,,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
11,2004,2004-11-15,9,24.165,PHI,@,DAL,W 49-21,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,1,6,6.00,0
