ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1984,1984-10-28,9,23.091,PIT,,ATL,W 35-10,,,,
2,1984,1984-11-04,10,23.098,PIT,,HOU,W 35-7,,,,
3,1984,1984-11-11,11,23.105,PIT,@,CIN,L 20-22,,,,
4,1984,1984-11-19,12,23.113,PIT,@,NOR,L 24-27,,,,
5,1984,1984-11-25,13,23.119,PIT,,SDG,W 52-24,,,,
6,1984,1984-12-02,14,23.126,PIT,@,HOU,L 20-23,,,,
7,1984,1984-12-09,15,23.133,PIT,,CLE,W 23-20,,,,
8,1984,1984-12-16,16,23.140,PIT,@,RAI,W 13-7,,,,
9,1985,1985-09-08,1,24.041,PIT,,IND,W 45-3,,,,
10,1985,1985-09-16,2,24.049,PIT,@,CLE,L 7-17,,,,
11,1985,1985-09-22,3,24.055,PIT,,HOU,W 20-0,,,,
12,1985,1985-09-30,4,24.063,PIT,,CIN,L 24-37,,,,
13,1985,1985-10-06,5,24.069,PIT,@,MIA,L 20-24,,,,
14,1985,1985-10-13,6,24.076,PIT,@,DAL,L 13-27,,,,
15,1985,1985-10-20,7,24.083,PIT,,STL,W 23-10,,,,
16,1985,1985-10-27,8,24.090,PIT,@,CIN,L 21-26,,,,
17,1985,1985-11-03,9,24.097,PIT,,CLE,W 10-9,,,,
18,1985,1985-11-10,10,24.104,PIT,@,KAN,W 36-28,,,,
19,1985,1985-11-17,11,24.111,PIT,@,HOU,W 30-7,,,,
20,1985,1985-11-24,12,24.118,PIT,,WAS,L 23-30,,,,
21,1985,1985-12-01,13,24.125,PIT,,DEN,L 23-31,,,,
22,1985,1985-12-08,14,24.132,PIT,@,SDG,L 44-54,,,,
23,1985,1985-12-15,15,24.139,PIT,,BUF,W 30-24,,,,
24,1985,1985-12-21,16,24.145,PIT,@,NYG,L 10-28,,,,
25,1986,1986-09-07,1,25.040,PIT,@,SEA,L 0-30,0,0,,0
26,1986,1986-10-13,6,25.076,PIT,@,CIN,L 22-24,0,0,,0
27,1986,1986-10-19,7,25.082,PIT,,NWE,L 0-34,0,0,,0
28,1986,1986-10-26,8,25.089,PIT,,CIN,W 30-9,0,0,,0
29,1986,1986-11-02,9,25.096,PIT,,GNB,W 27-3,0,0,,0
30,1986,1986-11-09,10,25.103,PIT,@,BUF,L 12-16,0,0,,0
31,1986,1986-11-16,11,25.110,PIT,,HOU,W 21-10,0,0,,0
32,1986,1986-11-23,12,25.117,PIT,@,CLE,L 31-37,0,0,,0
33,1986,1986-11-30,13,25.124,PIT,@,CHI,L 10-13,0,0,,0
34,1986,1986-12-07,14,25.131,PIT,,DET,W 27-17,0,0,,0
35,1986,1986-12-21,16,25.145,PIT,,KAN,L 19-24,1,3,3.00,0
