ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring
1,2015,2015-09-14,1,24.038,SFO,,MIN,W 20-3,,0,0,0,,0,0.0%,,,0,0
2,2015,2015-09-20,2,24.044,SFO,@,PIT,L 18-43,,3,1,11,11.00,0,33.3%,3.67,,0,0
3,2015,2015-09-27,3,24.051,SFO,@,ARI,L 7-47,,1,1,0,0.00,0,100.0%,0.00,,0,0
4,2015,2015-10-04,4,24.058,SFO,,GNB,L 3-17,,0,0,0,,0,0.0%,,,0,0
5,2015,2015-10-11,5,24.065,SFO,@,NYG,L 27-30,*,1,1,6,6.00,0,100.0%,6.00,,0,0
6,2015,2015-10-18,6,24.072,SFO,,BAL,W 25-20,,0,0,0,,0,0.0%,,,0,0
7,2015,2015-11-08,9,24.093,SFO,,ATL,W 17-16,,0,0,0,,0,0.0%,,,0,0
8,2015,2015-11-22,10,24.107,SFO,@,SEA,L 13-29,,0,0,0,,0,0.0%,,,0,0
9,2015,2015-11-29,11,24.114,SFO,,ARI,L 13-19,,3,3,67,22.33,0,100.0%,22.33,,0,0
10,2015,2015-12-06,12,24.121,SFO,@,CHI,W 26-20,*,3,1,5,5.00,0,33.3%,1.67,,0,0
11,2015,2015-12-13,13,24.128,SFO,@,CLE,L 10-24,*,3,3,49,16.33,0,100.0%,16.33,,0,0
12,2015,2015-12-20,14,24.135,SFO,,CIN,L 14-24,,8,4,43,10.75,0,50.0%,5.38,,0,0
13,2015,2015-12-27,15,24.142,SFO,@,DET,L 17-32,*,1,0,0,,0,0.0%,0.00,,0,0
14,2015,2016-01-03,16,24.149,SFO,,STL,W 19-16,*,2,1,5,5.00,0,50.0%,2.50,,0,0
15,2016,2016-09-12,1,25.036,SFO,,LAR,W 28-0,,0,0,0,,0,0.0%,,,0,0
16,2016,2016-09-18,2,25.042,SFO,@,CAR,L 27-46,,2,1,6,6.00,0,50.0%,3.00,,0,0
17,2016,2016-09-25,3,25.049,SFO,@,SEA,L 18-37,,1,0,0,,0,0.0%,0.00,,0,0
18,2016,2016-10-02,4,25.056,SFO,,DAL,L 17-24,,0,0,0,,0,0.0%,,,0,0
19,2016,2016-10-06,5,25.060,SFO,,ARI,L 21-33,,2,1,4,4.00,0,50.0%,2.00,,0,0
20,2016,2016-10-23,7,25.077,SFO,,TAM,L 17-34,,0,0,0,,0,0.0%,,,0,0
21,2016,2016-11-06,8,25.091,SFO,,NOR,L 23-41,,0,0,0,,0,0.0%,,,0,0
22,2016,2016-11-13,9,25.098,SFO,@,ARI,L 20-23,,0,0,0,,0,0.0%,,,0,0
23,2016,2016-11-20,10,25.105,SFO,,NWE,L 17-30,,0,0,0,,0,0.0%,,,0,0
24,2016,2016-11-27,11,25.112,SFO,@,MIA,L 24-31,,1,0,0,,0,0.0%,0.00,,0,0
25,2016,2016-12-04,12,25.119,SFO,@,CHI,L 6-26,,0,0,0,,0,0.0%,,,0,0
26,2016,2016-12-11,13,25.126,SFO,,NYJ,L 17-23,,2,1,30,30.00,0,50.0%,15.00,,0,0
27,2016,2016-12-18,14,25.133,SFO,@,ATL,L 13-41,,1,1,45,45.00,0,100.0%,45.00,,0,0
28,2017,2017-09-11,1,26.035,MIN,,NOR,W 29-19,,0,0,0,,0,0.0%,,,0,0
29,2017,2017-09-17,2,26.041,MIN,@,PIT,L 9-26,,1,0,0,,0,0.0%,0.00,,0,0
30,2017,2017-09-24,3,26.048,MIN,,TAM,W 34-17,,0,0,0,,0,0.0%,,,0,0
31,2017,2017-10-01,4,26.055,MIN,,DET,L 7-14,*,1,1,12,12.00,0,100.0%,12.00,,0,0
32,2017,2017-10-09,5,26.063,MIN,@,CHI,W 20-17,,0,0,0,,0,0.0%,,,0,0
33,2017,2017-10-15,6,26.069,MIN,,GNB,W 23-10,,0,0,0,,0,0.0%,,,0,0
34,2017,2017-10-22,7,26.076,MIN,,BAL,W 24-16,*,0,0,0,,0,0.0%,,,0,0
35,2017,2017-10-29,8,26.083,MIN,@,CLE,W 33-16,,0,0,0,,0,0.0%,,,0,0
36,2017,2017-11-12,9,26.097,MIN,@,WAS,W 38-30,,0,0,0,,0,0.0%,,,0,0
37,2017,2017-11-19,10,26.104,MIN,,LAR,W 24-7,,0,0,0,,0,0.0%,,,0,0
38,2017,2017-11-23,11,26.108,MIN,@,DET,W 30-23,,0,0,0,,0,0.0%,,,0,0
39,2017,2017-12-03,12,26.118,MIN,@,ATL,W 14-9,,0,0,0,,0,0.0%,,,0,0
40,2017,2017-12-10,13,26.125,MIN,@,CAR,L 24-31,*,2,2,7,3.50,0,100.0%,3.50,1,0,2
