ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,1950,1950-09-17,1,31.135,GNB,,DET,L 7-45,8,28,3.50,1,3,17,5.67,0,0,0,,0,0,,,,,,
2,1950,1950-09-24,2,31.142,GNB,,WAS,W 35-21,15,58,3.87,1,2,16,8.00,0,0,0,,0,0,,,,,,
3,1950,1950-10-01,3,31.149,GNB,,CHI,W 31-21,4,0,0.00,0,1,-9,-9.00,0,0,0,,0,0,,,,,,
4,1950,1950-10-08,4,31.156,GNB,,NYY,L 31-44,12,43,3.58,1,0,0,,0,0,0,,0,0,,,,,,
5,1950,1950-10-15,5,31.163,GNB,@,CHI,L 14-28,8,18,2.25,0,1,15,15.00,0,0,0,,0,0,,,,,,
6,1950,1950-10-19,6,31.167,GNB,@,NYY,L 17-35,5,6,1.20,0,1,3,3.00,0,0,0,,0,0,,,,,,
7,1950,1950-11-05,7,31.184,GNB,@,BAL,L 21-41,7,16,2.29,0,0,0,,0,0,0,,0,0,,,,,,
8,1950,1950-11-12,8,31.191,GNB,,RAM,L 14-45,2,-1,-0.50,0,0,0,,0,0,0,,0,0,,,,,,
9,1950,1950-11-19,9,31.198,GNB,@,DET,L 21-24,11,20,1.82,0,1,7,7.00,0,0,0,,0,0,,,,,,
10,1950,1950-11-26,10,31.205,GNB,,SFO,W 25-21,8,18,2.25,1,0,0,,0,0,0,,0,0,,,,,,
11,1950,1950-12-03,11,31.212,GNB,@,RAM,L 14-51,5,11,2.20,0,1,5,5.00,0,0,0,,0,0,,,,,,
12,1950,1950-12-10,12,31.219,GNB,@,SFO,L 14-30,8,30,3.75,0,0,0,,0,0,0,,0,0,,,,,,
13,1951,1951-09-30,1,32.148,GNB,,CHI,L 20-31,0,0,,0,6,58,9.67,0,0,0,,0,0,,,,,,
14,1951,1951-10-07,2,32.155,GNB,,PIT,W 35-33,14,40,2.86,0,0,0,,0,0,0,,0,0,,,,,,
15,1951,1951-10-14,3,32.162,GNB,,PHI,W 37-24,2,5,2.50,0,0,0,,0,0,0,,0,0,,,,,,
16,1951,1951-10-21,4,32.169,GNB,,RAM,L 0-28,4,6,1.50,0,1,11,11.00,0,0,0,,0,0,,,,,,
17,1951,1951-10-28,5,32.176,GNB,@,NYY,W 29-27,2,2,1.00,0,1,15,15.00,1,0,0,,0,0,,,,,,
18,1951,1951-11-04,6,32.183,GNB,,DET,L 17-24,8,11,1.38,0,6,58,9.67,0,0,0,,0,0,,,,,,
19,1951,1951-11-11,7,32.190,GNB,@,PIT,L 7-28,5,16,3.20,0,2,18,9.00,0,0,0,,0,0,,,,,,
20,1951,1951-11-18,8,32.197,GNB,@,CHI,L 13-24,1,2,2.00,0,1,10,10.00,1,0,0,,0,0,,,,,,
21,1951,1951-11-22,9,32.201,GNB,@,DET,L 35-52,1,4,4.00,0,1,4,4.00,0,0,0,,0,0,,,,,,
22,1951,1951-12-02,10,32.211,GNB,,NYY,L 28-31,9,30,3.33,1,2,6,3.00,0,0,0,,0,0,,,,,,
23,1951,1951-12-09,11,32.218,GNB,@,SFO,L 19-31,2,-6,-3.00,0,1,0,0.00,0,0,0,,0,0,,,,,,
24,1951,1951-12-16,12,32.225,GNB,@,RAM,L 14-42,6,21,3.50,0,1,46,46.00,0,0,0,,0,0,,,,,,
25,1952,1952-09-28,1,33.146,GNB,,CHI,L 14-24,4,3,0.75,0,1,5,5.00,0,0,0,,0,0,,,,,,
26,1952,1952-10-05,2,33.153,GNB,,WAS,W 35-20,6,40,6.67,1,0,0,,0,0,0,,0,0,,,,,,
27,1952,1952-10-12,3,33.160,GNB,,RAM,L 28-30,7,15,2.14,0,1,19,19.00,0,0,0,,0,0,,,,,,
28,1952,1952-10-18,4,33.166,GNB,@,DTX,W 24-14,7,15,2.14,0,3,9,3.00,0,0,0,,0,0,,,,,,
29,1952,1952-10-26,5,33.174,GNB,,DET,L 17-52,1,1,1.00,0,0,8,,0,0,0,,0,0,,,,,,
30,1952,1952-11-02,6,33.181,GNB,,PHI,W 12-10,10,15,1.50,0,1,5,5.00,0,0,0,,0,0,,,,,,
31,1952,1952-11-09,7,33.188,GNB,@,CHI,W 41-28,11,61,5.55,0,0,0,,0,0,0,,0,0,,,,,,
32,1952,1952-11-16,8,33.195,GNB,@,NYG,W 17-3,7,14,2.00,0,0,0,,0,0,0,,0,0,,,,,,
33,1952,1952-11-23,9,33.202,GNB,,DTX,W 42-14,7,31,4.43,1,1,21,21.00,1,0,0,,0,0,,,,,,
34,1952,1952-11-27,10,33.206,GNB,@,DET,L 24-48,2,-4,-2.00,0,0,0,,0,0,0,,0,0,,,,,,
35,1952,1952-12-07,11,33.216,GNB,@,RAM,L 27-45,2,4,2.00,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00
36,1952,1952-12-14,12,33.223,GNB,@,SFO,L 14-24,1,-4,-4.00,0,2,19,9.50,0,0,0,,0,0,,,,,,
