ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1974,1974-09-22,2,22.214,SDG,@,CIN,W 20-17,,,,,,,,,,,,,,
2,1974,1974-10-06,4,22.228,SDG,,PHI,L 7-13,,,,,,,,,,,,,,
3,1974,1974-10-13,5,22.235,SDG,,OAK,L 10-14,2,43,21.50,0,0,0,,0,2,7,3.50,0,0,0
4,1974,1974-10-20,6,22.242,SDG,@,DEN,L 7-27,0,0,,0,0,0,,0,1,16,16.00,0,0,0
5,1974,1974-10-27,7,22.249,SDG,,KAN,L 14-24,2,58,29.00,0,0,0,,0,0,0,,0,0,0
6,1974,1974-11-03,8,22.256,SDG,,CLE,W 36-35,4,142,35.50,1,1,-9,-9.00,0,0,0,,0,1,6
7,1974,1974-11-10,9,22.263,SDG,@,KAN,W 14-7,2,26,13.00,0,0,0,,0,0,0,,0,0,0
8,1974,1974-11-17,10,22.270,SDG,@,OAK,L 10-17,,,,,,,,,,,,,,
9,1974,1974-11-24,11,22.277,SDG,@,GNB,L 0-34,0,0,,0,1,2,2.00,0,0,0,,0,0,0
10,1974,1974-12-01,12,22.284,SDG,@,NYJ,L 14-27,,,,,,,,,,,,,,
11,1974,1974-12-08,13,22.291,SDG,,CHI,W 28-21,3,86,28.67,1,0,0,,0,1,11,11.00,0,1,6
12,1974,1974-12-15,14,22.298,SDG,,DEN,W 17-0,5,77,15.40,0,0,0,,0,0,0,,0,0,0
