ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1984,1984-10-14,7,24.066,NOR,,RAM,L 10-28,,,,,,,,,,
2,1984,1984-10-21,8,24.073,NOR,@,DAL,L 27-30,,,,,,,,,,
3,1984,1984-10-28,9,24.080,NOR,@,CLE,W 16-14,,,,,,,,,,
4,1984,1984-11-04,10,24.087,NOR,,GNB,L 13-23,,,,,,,,,,
5,1984,1984-11-11,11,24.094,NOR,@,ATL,W 17-13,,,,,,,,,,
6,1984,1984-11-19,12,24.102,NOR,,PIT,W 27-24,,,,,,,,,,
7,1984,1984-11-25,13,24.108,NOR,,SFO,L 3-35,,,,,,,,,,
8,1984,1984-12-02,14,24.115,NOR,@,RAM,L 21-34,,,,,,,,,,
9,1984,1984-12-09,15,24.122,NOR,,CIN,L 21-24,,,,,,,,,,
10,1984,1984-12-15,16,24.128,NOR,@,NYG,W 10-3,,,,,,,,,,
11,1985,1985-09-08,1,25.030,NOR,,KAN,L 27-47,0,0,,0,,,,,,
12,1985,1985-09-15,2,25.037,NOR,@,DEN,L 23-34,0,0,,0,,,,,,
13,1985,1985-09-22,3,25.044,NOR,,TAM,W 20-13,0,0,,0,,,,,,
14,1985,1985-09-29,4,25.051,NOR,@,SFO,W 20-17,0,0,,0,,,,,,
15,1985,1985-10-06,5,25.058,NOR,,PHI,W 23-21,0,0,,0,,,,,,
16,1985,1985-10-13,6,25.065,NOR,@,RAI,L 13-23,0,0,,0,,,,,,
17,1985,1985-10-20,7,25.072,NOR,@,ATL,L 24-31,0,0,,0,,,,,,
18,1985,1985-10-27,8,25.079,NOR,,NYG,L 13-21,0,0,,0,,,,,,
19,1985,1985-11-03,9,25.086,NOR,@,RAM,L 10-28,0,0,,0,,,,,,
20,1985,1985-11-10,10,25.093,NOR,,SEA,L 3-27,0,0,,0,,,,,,
21,1985,1985-11-17,11,25.100,NOR,@,GNB,L 14-38,0,0,,0,,,,,,
22,1985,1985-11-24,12,25.107,NOR,@,MIN,W 30-23,0,0,,0,,,,,,
23,1985,1985-12-01,13,25.114,NOR,,RAM,W 29-3,0,0,,0,0,0,1.0,0,0,0
24,1985,1985-12-08,14,25.121,NOR,@,STL,L 16-28,1,8,8.00,0,0,0,1.0,0,0,0
25,1985,1985-12-15,15,25.128,NOR,,SFO,L 19-31,0,0,,0,,,,,,
26,1985,1985-12-22,16,25.135,NOR,,ATL,L 10-16,0,0,,0,,,,,,
27,1986,1986-09-07,1,26.029,NOR,,ATL,L 10-31,,,,,,,,,,
28,1986,1986-09-14,2,26.036,NOR,,GNB,W 24-10,0,0,,0,1,6,0.0,1,17,1
29,1986,1986-09-21,3,26.043,NOR,@,SFO,L 17-26,,,,,,,,,,
30,1986,1986-09-28,4,26.050,NOR,@,NYG,L 17-20,,,,,,,,,,
31,1986,1986-10-05,5,26.057,NOR,,WAS,L 6-14,,,,,,,,,,
32,1986,1986-10-12,6,26.064,NOR,@,IND,W 17-14,,,,,,,,,,
33,1986,1986-10-19,7,26.071,NOR,,TAM,W 38-7,,,,,,,,,,
34,1986,1986-10-26,8,26.078,NOR,@,NYJ,L 23-28,0,0,,0,0,0,1.0,0,0,0
35,1986,1986-11-02,9,26.085,NOR,,SFO,W 23-10,,,,,,,,,,
36,1986,1986-11-09,10,26.092,NOR,,RAM,W 6-0,,,,,,,,,,
37,1986,1986-11-16,11,26.099,NOR,@,STL,W 16-7,,,,,,,,,,
38,1986,1986-11-23,12,26.106,NOR,@,RAM,L 13-26,,,,,,,,,,
39,1986,1986-11-30,13,26.113,NOR,,NWE,L 20-21,,,,,,,,,,
40,1986,1986-12-07,14,26.120,NOR,,MIA,L 27-31,,,,,,,,,,
41,1986,1986-12-14,15,26.127,NOR,@,ATL,W 14-9,,,,,,,,,,
42,1986,1986-12-21,16,26.134,NOR,@,MIN,L 17-33,0,0,,0,0,0,1.0,0,0,0
43,1987,1987-09-13,1,27.035,NOR,,CLE,W 28-21,,,,,,,,,,
44,1987,1987-09-20,2,27.042,NOR,@,PHI,L 17-27,,,,,,,,,,
45,1987,1987-10-25,6,27.077,NOR,,SFO,L 22-24,,,,,,,,,,
46,1987,1987-11-01,7,27.084,NOR,@,ATL,W 38-0,,,,,,,,,,
47,1987,1987-11-08,8,27.091,NOR,@,RAM,W 31-14,,,,,,,,,,
48,1987,1987-11-15,9,27.098,NOR,@,SFO,W 26-24,,,,,,,,,,
49,1987,1987-11-22,10,27.105,NOR,,NYG,W 23-14,,,,,,,,,,
50,1987,1987-11-29,11,27.112,NOR,@,PIT,W 20-16,,,,,,,,,,
51,1987,1987-12-06,12,27.119,NOR,,TAM,W 44-34,,,,,,,,,,
52,1987,1987-12-13,13,27.126,NOR,,HOU,W 24-10,,,,,,,,,,
53,1987,1987-12-20,14,27.133,NOR,@,CIN,W 41-24,,,,,,,,,,
54,1987,1987-12-27,15,27.140,NOR,,GNB,W 33-24,,,,,,,,,,
55,1988,1988-11-27,13,28.110,NOR,,NYG,L 12-13,,,,,,,,,,
56,1988,1988-12-04,14,28.117,NOR,@,MIN,L 3-45,,,,,,,,,,
57,1988,1988-12-11,15,28.124,NOR,@,SFO,L 17-30,,,,,,,,,,
58,1988,1988-12-18,16,28.131,NOR,,ATL,W 10-9,,,,,,,,,,
59,1989,1989-09-10,1,29.032,NOR,,DAL,W 28-0,,,,,,,,,,
60,1989,1989-09-17,2,29.039,NOR,@,GNB,L 34-35,,,,,,,,,,
61,1989,1989-09-24,3,29.046,NOR,@,TAM,L 10-20,,,,,,,,,,
