ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1974,1974-09-29,3,22.113,DET,@,GNB,L 19-21,,,,
2,1974,1974-10-06,4,22.120,DET,@,RAM,L 13-16,1,12,12.00,0
3,1974,1974-10-14,5,22.128,DET,,SFO,W 17-13,,,,
4,1974,1974-10-20,6,22.134,DET,@,MIN,W 20-16,,,,
5,1974,1974-10-27,7,22.141,DET,,GNB,W 19-17,,,,
6,1974,1974-11-03,8,22.148,DET,,NOR,W 19-14,,,,
7,1974,1974-11-10,9,22.155,DET,@,OAK,L 13-35,,,,
8,1974,1974-11-17,10,22.162,DET,,NYG,W 20-19,,,,
9,1974,1974-11-24,11,22.169,DET,,CHI,W 34-17,,,,
10,1974,1974-11-28,12,22.173,DET,,DEN,L 27-31,,,,
11,1974,1974-12-08,13,22.183,DET,@,CIN,W 23-19,,,,
12,1974,1974-12-15,14,22.190,DET,@,PHI,L 17-28,,,,
13,1975,1975-12-15,13,23.190,NYJ,@,SDG,L 16-24,,,,
