ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2006,2006-09-10,1,22.125,DET,,SEA,L 6-9,,2,-1,-0.50,0,0,0,0,,0,0.0%,,0,0,,0
2,2006,2006-09-17,2,22.132,DET,@,CHI,L 7-34,,0,0,,0,,0,0,,0,0.0%,,0,0,,0
3,2006,2006-09-24,3,22.139,DET,,GNB,L 24-31,,0,5,,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0
4,2006,2006-10-08,5,22.153,DET,@,MIN,L 17-26,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0
5,2006,2006-10-15,6,22.160,DET,,BUF,W 20-17,,2,5,2.50,0,0,0,0,,0,0.0%,,0,0,,0
6,2006,2006-10-22,7,22.167,DET,@,NYJ,L 24-31,,3,10,3.33,0,1,1,18,18.00,0,100.0%,18.00,0,0,,0
7,2006,2006-11-05,8,22.181,DET,,ATL,W 30-14,,0,0,,0,,0,0,,0,0.0%,,0,0,,0
8,2007,2007-09-09,1,23.124,DET,@,OAK,W 36-21,,0,0,,0,1,1,5,5.00,0,100.0%,5.00,1,33,33.00,0
9,2007,2007-09-16,2,23.131,DET,,MIN,W 20-17,,5,22,4.40,0,3,3,19,6.33,0,100.0%,6.33,3,49,16.33,0
10,2007,2007-09-23,3,23.138,DET,@,PHI,L 21-56,,2,13,6.50,0,1,1,11,11.00,0,100.0%,11.00,5,121,24.20,0
11,2007,2007-09-30,4,23.145,DET,,CHI,W 37-27,,0,0,,0,0,0,0,,0,0.0%,,1,18,18.00,0
