ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2005,2005-09-11,1,23.300,KAN,,NYJ,W 27-7,,,,,,,0.0%,
2,2005,2005-09-18,2,23.307,KAN,@,OAK,W 23-17,,,,,,,0.0%,
3,2005,2005-09-26,3,23.315,KAN,@,DEN,L 10-30,,0,,,,,0.0%,
4,2005,2005-10-02,4,23.321,KAN,,PHI,L 31-37,,,,,,,0.0%,
5,2005,2005-10-16,5,23.335,KAN,,WAS,W 28-21,,0,,,,,0.0%,
6,2005,2005-10-21,6,23.340,KAN,@,MIA,W 30-20,,0,,,,,0.0%,
7,2005,2005-10-30,7,23.349,KAN,@,SDG,L 20-28,,0,,,,,0.0%,
8,2005,2005-11-06,8,23.356,KAN,,OAK,W 27-23,,0,,,,,0.0%,
9,2005,2005-11-13,9,23.363,KAN,@,BUF,L 3-14,,0,,,,,0.0%,
10,2005,2005-11-20,10,24.005,KAN,@,HOU,W 45-17,,0,,,,,0.0%,
11,2005,2005-11-27,11,24.012,KAN,,NWE,W 26-16,,0,,,,,0.0%,
12,2005,2005-12-04,12,24.019,KAN,,DEN,W 31-27,,0,,,,,0.0%,
13,2005,2005-12-11,13,24.026,KAN,@,DAL,L 28-31,,0,,,,,0.0%,
14,2005,2005-12-17,14,24.032,KAN,@,NYG,L 17-27,,,,,,,0.0%,
15,2005,2005-12-24,15,24.039,KAN,,SDG,W 20-7,,0,,,,,0.0%,
16,2005,2006-01-01,16,24.047,KAN,,CIN,W 37-3,,0,,,,,0.0%,
17,2006,2006-09-10,1,24.299,KAN,,CIN,L 10-23,,,,,,,0.0%,
18,2006,2006-10-01,3,24.320,KAN,,SFO,W 41-0,,,,,,,0.0%,
19,2006,2006-10-08,4,24.327,KAN,@,ARI,W 23-20,,,,,,,0.0%,
20,2006,2006-10-15,5,24.334,KAN,@,PIT,L 7-45,,0,,,,,0.0%,
21,2006,2006-10-22,6,24.341,KAN,,SDG,W 30-27,,0,,,,,0.0%,
22,2006,2006-10-29,7,24.348,KAN,,SEA,W 35-28,,0,,,,,0.0%,
23,2006,2006-11-05,8,24.355,KAN,@,STL,W 31-17,,0,,,,,0.0%,
24,2006,2006-11-12,9,24.362,KAN,@,MIA,L 10-13,,0,,,,,0.0%,
25,2006,2006-11-19,10,25.004,KAN,,OAK,W 17-13,,,,,,,0.0%,
26,2006,2006-11-23,11,25.008,KAN,,DEN,W 19-10,,0,,,,,0.0%,
27,2006,2006-12-03,12,25.018,KAN,@,CLE,L 28-31,,0,,,,,0.0%,
28,2006,2006-12-10,13,25.025,KAN,,BAL,L 10-20,,0,,,,,0.0%,
29,2006,2006-12-17,14,25.032,KAN,@,SDG,L 9-20,,,,,,,0.0%,
30,2006,2006-12-23,15,25.038,KAN,@,OAK,W 20-9,,0,,,,,0.0%,
31,2006,2006-12-31,16,25.046,KAN,,JAX,W 35-30,,,,,,,0.0%,
32,2007,2007-09-30,4,25.319,KAN,@,SDG,W 30-16,,0,,,,,0.0%,
33,2007,2007-10-07,5,25.326,KAN,,JAX,L 7-17,,,,,,,0.0%,
34,2007,2007-10-14,6,25.333,KAN,,CIN,W 27-20,,,,,,,0.0%,
35,2007,2007-10-21,7,25.340,KAN,@,OAK,W 12-10,,0,,,,,0.0%,
36,2007,2007-11-04,8,25.354,KAN,,GNB,L 22-33,,,,,,,0.0%,
37,2007,2007-11-11,9,25.361,KAN,,DEN,L 11-27,,,,,,,0.0%,
38,2007,2007-11-18,10,26.003,KAN,@,IND,L 10-13,,,,,,,0.0%,
39,2007,2007-11-25,11,26.010,KAN,,OAK,L 17-20,,,,,,,0.0%,
40,2007,2007-12-02,12,26.017,KAN,,SDG,L 10-24,,0,,,,,0.0%,
41,2007,2007-12-09,13,26.024,KAN,@,DEN,L 7-41,,2,1,9,9.00,0,50.0%,4.50
42,2007,2007-12-16,14,26.031,KAN,,TEN,L 17-26,,,,,,,0.0%,
43,2007,2007-12-23,15,26.038,KAN,@,DET,L 20-25,*,,,,,,0.0%,
44,2007,2007-12-30,16,26.045,KAN,@,NYJ,L 10-13,,1,1,5,5.00,0,100.0%,5.00
45,2008,2008-09-07,1,26.297,MIA,,NYJ,L 14-20,,0,0,0,,0,0.0%,
