ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1961,1961-09-10,1,23.187,DTX,,SDG,L 10-26,1,19,19.00,0,0,0,,0,0,0
2,1961,1961-11-12,9,23.250,DTX,,BUF,L 20-30,1,8,8.00,0,0,0,,0,0,0
3,1961,1961-11-19,10,23.257,DTX,@,SDG,L 14-24,3,28,9.33,0,0,0,,0,0,0
4,1961,1961-11-26,11,23.264,DTX,,OAK,W 43-11,1,20,20.00,0,0,0,,0,0,0
5,1961,1961-12-03,12,23.271,DTX,@,NYT,L 7-28,1,14,14.00,0,0,0,,0,0,0
6,1962,1962-09-08,1,24.185,BOS,@,DTX,L 28-42,5,84,16.80,1,0,0,,0,1,6
7,1962,1962-09-16,2,24.193,BOS,,HOU,W 34-21,3,49,16.33,0,0,0,,0,0,0
8,1962,1962-09-21,3,24.198,BOS,,DEN,W 41-16,4,121,30.25,0,0,0,,0,0,0
9,1962,1962-10-06,4,24.213,BOS,@,NYT,W 43-14,1,7,7.00,0,0,0,,0,0,0
10,1962,1962-10-12,5,24.219,BOS,,DTX,L 7-27,2,30,15.00,0,0,0,,0,0,0
11,1962,1962-10-26,7,24.233,BOS,,OAK,W 26-16,5,87,17.40,0,0,0,,0,0,0
12,1962,1962-11-11,9,24.249,BOS,@,DEN,W 33-29,2,31,15.50,0,0,0,,0,0,0
13,1962,1962-11-18,10,24.256,BOS,@,HOU,L 17-21,5,72,14.40,0,0,0,,0,0,0
14,1962,1962-11-23,11,24.261,BOS,,BUF,W 21-10,1,5,5.00,0,0,0,,0,0,0
15,1962,1962-11-30,12,24.268,BOS,,NYT,W 24-17,2,56,28.00,0,0,0,,0,0,0
16,1962,1962-12-09,13,24.277,BOS,@,SDG,W 20-14,2,57,28.50,0,0,0,,0,0,0
17,1962,1962-12-16,14,24.284,BOS,@,OAK,L 0-20,2,9,4.50,0,0,0,,0,0,0
18,1963,1963-09-08,1,25.185,BOS,,NYJ,W 38-14,6,90,15.00,0,0,0,,0,0,0
19,1963,1963-09-14,2,25.191,BOS,@,SDG,L 13-17,2,19,9.50,0,0,0,,0,0,0
20,1963,1963-09-22,3,25.199,BOS,@,OAK,W 20-14,1,10,10.00,0,0,0,,0,0,0
21,1963,1963-09-29,4,25.206,BOS,@,DEN,L 10-14,1,2,2.00,0,0,0,,0,0,0
22,1963,1963-10-11,6,25.218,BOS,,OAK,W 20-14,1,26,26.00,0,0,0,,0,0,0
23,1963,1963-10-18,7,25.225,BOS,,DEN,W 40-21,2,45,22.50,1,0,0,,0,1,6
24,1963,1963-10-26,8,25.233,BOS,@,BUF,L 21-28,5,30,6.00,1,0,0,,0,1,6
25,1963,1963-11-10,10,25.248,BOS,,SDG,L 6-7,1,26,26.00,0,0,0,,0,0,0
26,1963,1963-11-17,11,25.255,BOS,,KAN,T 24-24,10,149,14.90,1,0,0,,0,1,6
27,1963,1963-12-01,12,25.269,BOS,,BUF,W 17-7,2,20,10.00,0,0,0,,0,0,0
28,1963,1963-12-14,14,25.282,BOS,@,KAN,L 3-35,1,1,1.00,0,0,0,,0,0,0
29,1964,1964-09-13,1,26.190,BOS,@,OAK,W 17-14,2,34,17.00,1,0,0,,0,1,6
30,1964,1964-09-20,2,26.197,BOS,@,SDG,W 33-28,2,31,15.50,0,1,5,5.00,0,0,0
31,1964,1964-09-27,3,26.204,BOS,,NYJ,W 26-10,2,32,16.00,0,0,0,,0,0,0
32,1964,1964-10-16,6,26.223,BOS,,OAK,T 43-43,4,87,21.75,0,0,0,,0,0,0
33,1964,1964-10-23,7,26.230,BOS,,KAN,W 24-7,2,7,3.50,0,0,0,,0,0,0
34,1964,1964-11-06,9,26.244,BOS,,HOU,W 25-24,2,31,15.50,0,0,0,,0,0,0
35,1964,1964-11-15,10,26.253,BOS,@,BUF,W 36-28,3,36,12.00,1,0,0,,0,1,6
36,1964,1964-11-20,11,26.258,BOS,,DEN,W 12-7,2,55,27.50,0,0,0,,0,0,0
37,1964,1964-11-29,12,26.267,BOS,@,HOU,W 34-17,2,41,20.50,0,0,0,,0,0,0
38,1964,1964-12-06,13,26.274,BOS,@,KAN,W 31-24,2,31,15.50,0,0,0,,0,0,0
39,1964,1964-12-20,14,26.288,BOS,,BUF,L 14-24,3,60,20.00,2,0,0,,0,2,12
40,1965,1965-09-11,1,27.188,BOS,@,BUF,L 7-24,1,9,9.00,0,0,0,,0,0,0
41,1965,1965-09-19,2,27.196,BOS,@,HOU,L 10-31,1,8,8.00,0,0,0,,0,0,0
42,1965,1965-09-24,3,27.201,BOS,,DEN,L 10-27,2,24,12.00,1,0,0,,0,1,6
43,1965,1965-10-08,5,27.215,BOS,,OAK,L 10-24,2,27,13.50,0,0,0,,0,0,0
44,1965,1965-10-17,6,27.224,BOS,,SDG,T 13-13,2,20,10.00,0,0,0,,0,0,0
