ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1974,1974-09-15,1,22.084,NOR,,SFO,L 13-17,4,28,7.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6
2,1974,1974-09-22,2,22.091,NOR,@,RAM,L 0-24,3,66,22.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
3,1974,1974-09-29,3,22.098,NOR,,ATL,W 14-13,1,13,13.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6
4,1974,1974-10-06,4,22.105,NOR,@,CHI,L 10-24,5,40,8.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
5,1974,1974-10-13,5,22.112,NOR,@,DEN,L 17-33,4,83,20.75,0,1,-4,-4.00,0,0,0,,0,0,0,,0,0,,,0,0
6,1974,1974-10-20,6,22.119,NOR,@,ATL,W 13-3,1,15,15.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
7,1974,1974-10-27,7,22.126,NOR,,PHI,W 14-10,4,33,8.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
8,1974,1974-11-03,8,22.133,NOR,@,DET,L 14-19,4,54,13.50,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6
9,1974,1974-11-10,9,22.140,NOR,,MIA,L 0-21,2,3,1.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
10,1974,1974-11-17,10,22.147,NOR,,RAM,W 20-7,2,19,9.50,1,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,6
11,1974,1974-11-25,11,22.155,NOR,,PIT,L 7-28,3,30,10.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
12,1974,1974-12-01,12,22.161,NOR,@,MIN,L 9-29,3,12,4.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
13,1974,1974-12-08,13,22.168,NOR,,STL,W 14-0,,,,,,,,,,,,,,,,,,,,,
14,1974,1974-12-15,14,22.175,NOR,@,SFO,L 21-35,5,59,11.80,0,1,6,6.00,0,0,0,,0,0,0,,0,0,,,0,0
15,1975,1975-09-21,1,23.090,NOR,@,WAS,L 3-41,3,43,14.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
16,1975,1975-09-28,2,23.097,NOR,,CIN,L 0-21,,,,,,,,,,,,,,,,,,,,,
17,1975,1975-10-05,3,23.104,NOR,@,ATL,L 7-14,,,,,,,,,,,,,,,,,,,,,
18,1975,1975-10-12,4,23.111,NOR,,GNB,W 20-19,3,27,9.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6
19,1975,1975-11-09,8,23.139,NOR,@,OAK,L 10-48,2,48,24.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6
20,1975,1975-11-16,9,23.146,NOR,,MIN,L 7-20,1,5,5.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
21,1975,1975-11-23,10,23.153,NOR,,SFO,L 6-16,,,,,,,,,,,,,,,,,,,,,
22,1977,1977-09-25,2,25.094,NOR,@,DET,L 19-23,1,7,7.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
