ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,def_int,def_int_yds,def_int_td
1,1970,1970-09-20,1,22.057,OAK,@,CIN,L 21-31,,,,,,,
2,1970,1970-09-27,2,22.064,OAK,@,SDG,T 27-27,,,,,,,
3,1970,1970-10-03,3,22.070,OAK,@,MIA,L 13-20,,,,,,,
4,1970,1970-10-11,4,22.078,OAK,,DEN,W 35-23,,,,,,,
5,1970,1970-10-19,5,22.086,OAK,,WAS,W 34-20,,,,,,,
6,1970,1970-10-25,6,22.092,OAK,,PIT,W 31-14,,,,,,,
7,1970,1970-11-01,7,22.099,OAK,@,KAN,T 17-17,,,,,,,
8,1970,1970-11-08,8,22.106,OAK,,CLE,W 23-20,0,0,,0,1,0,0
9,1970,1970-11-15,9,22.113,OAK,@,DEN,W 24-19,,,,,,,
10,1970,1970-11-22,10,22.120,OAK,,SDG,W 20-17,,,,,,,
11,1970,1970-11-26,11,22.124,OAK,@,DET,L 14-28,,,,,,,
12,1970,1970-12-06,12,22.134,OAK,@,NYJ,W 14-13,,,,,,,
13,1970,1970-12-12,13,22.140,OAK,,KAN,W 20-6,,,,,,,
14,1970,1970-12-20,14,22.148,OAK,,SFO,L 7-38,,,,,,,
15,1971,1971-09-19,1,23.056,OAK,@,NWE,L 6-20,,,,,,,
16,1971,1971-09-26,2,23.063,OAK,@,SDG,W 34-0,0,0,,0,1,0,0
17,1971,1971-10-04,3,23.071,OAK,@,CLE,W 34-20,,,,,,,
18,1971,1971-10-10,4,23.077,OAK,@,DEN,W 27-16,,,,,,,
19,1971,1971-10-17,5,23.084,OAK,,PHI,W 34-10,,,,,,,
20,1971,1971-10-24,6,23.091,OAK,,CIN,W 31-27,,,,,,,
21,1971,1971-10-31,7,23.098,OAK,,KAN,T 20-20,,,,,,,
22,1971,1971-11-07,8,23.105,OAK,@,NOR,T 21-21,,,,,,,
23,1971,1971-11-14,9,23.112,OAK,,HOU,W 41-21,,,,,,,
24,1971,1971-11-21,10,23.119,OAK,,SDG,W 34-33,,,,,,,
25,1971,1971-11-28,11,23.126,OAK,,BAL,L 14-37,,,,,,,
26,1971,1971-12-05,12,23.133,OAK,@,ATL,L 13-24,,,,,,,
27,1971,1971-12-12,13,23.140,OAK,@,KAN,L 14-16,,,,,,,
28,1972,1972-09-17,1,24.054,OAK,@,PIT,L 28-34,0,0,,0,1,11,0
29,1972,1972-09-24,2,24.061,OAK,@,GNB,W 20-14,,,,,,,
30,1972,1972-10-01,3,24.068,OAK,,SDG,T 17-17,,,,,,,
31,1972,1972-10-09,4,24.076,OAK,@,HOU,W 34-0,,,,,,,
32,1972,1972-10-15,5,24.082,OAK,,BUF,W 28-16,,,,,,,
33,1972,1972-10-22,6,24.089,OAK,,DEN,L 23-30,,,,,,,
34,1972,1972-10-29,7,24.096,OAK,,RAM,W 45-17,,,,,,,
35,1972,1972-11-05,8,24.103,OAK,@,KAN,L 14-27,,,,,,,
36,1972,1972-11-12,9,24.110,OAK,@,CIN,W 20-14,,,,,,,
37,1972,1972-11-19,10,24.117,OAK,@,DEN,W 37-20,,,,,,,
38,1972,1972-11-26,11,24.124,OAK,,KAN,W 26-3,,,,,,,
39,1972,1972-12-03,12,24.131,OAK,@,SDG,W 21-19,,,,,,,
40,1972,1972-12-11,13,24.139,OAK,,NYJ,W 24-16,,,,,,,
41,1972,1972-12-17,14,24.145,OAK,,CHI,W 28-21,,,,,,,
42,1973,1973-09-16,1,25.053,OAK,@,MIN,L 16-24,,,,,,,
43,1973,1973-09-23,2,25.060,OAK,,MIA,W 12-7,,,,,,,
