ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring
1,2014,2014-09-07,1,23.352,SFO,@,DAL,W 28-17,,7,50,7.14,1,0,0,0,,0,0.0%,,0,0,,0,,1,6
2,2014,2014-09-14,2,23.359,SFO,,CHI,L 20-28,,4,0,0.00,0,2,1,5,5.00,0,50.0%,2.50,0,0,,0,,0,0
3,2014,2014-09-21,3,24.001,SFO,@,ARI,L 14-23,,3,13,4.33,1,2,2,-2,-1.00,0,100.0%,-1.00,0,0,,0,,1,6
4,2014,2014-09-28,4,24.008,SFO,,PHI,W 26-21,,10,26,2.60,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0
5,2014,2014-10-05,5,24.015,SFO,,KAN,W 22-17,,10,43,4.30,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0
6,2014,2014-10-13,6,24.023,SFO,@,STL,W 31-17,,11,14,1.27,0,1,1,1,1.00,0,100.0%,1.00,0,0,,0,,0,0
7,2014,2014-10-19,7,24.029,SFO,@,DEN,L 17-42,,3,15,5.00,0,2,2,8,4.00,0,100.0%,4.00,0,0,,0,,0,0
8,2014,2014-11-02,8,24.043,SFO,,STL,L 10-13,,2,17,8.50,0,2,1,5,5.00,0,50.0%,2.50,0,0,,0,,0,0
9,2014,2014-11-09,9,24.050,SFO,@,NOR,W 27-24,,4,36,9.00,1,0,0,0,,0,0.0%,,3,82,27.33,0,,1,6
10,2014,2014-11-16,10,24.057,SFO,@,NYG,W 16-10,,9,25,2.78,0,1,1,5,5.00,0,100.0%,5.00,1,26,26.00,0,,0,0
11,2014,2014-11-23,11,24.064,SFO,,WAS,W 17-13,,7,16,2.29,1,0,0,0,,0,0.0%,,4,98,24.50,0,,1,6
12,2014,2014-11-27,12,24.068,SFO,,SEA,L 3-19,,5,19,3.80,0,3,3,38,12.67,0,100.0%,12.67,3,62,20.67,0,,0,0
13,2014,2014-12-07,13,24.078,SFO,@,OAK,L 13-24,,2,4,2.00,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,,0,0
