ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1987,1987-10-04,3,22.336,MIN,,GNB,L 16-23,2,2,100.0,,1,0.0,0,2
2,1987,1987-10-11,4,22.343,MIN,@,CHI,L 7-27,1,1,100.0,,1,0.0,0,1
3,1987,1987-10-18,5,22.350,MIN,@,TAM,L 10-20,1,1,100.0,1,3,33.3,0,4
4,1988,1988-09-25,4,23.328,PHI,@,MIN,L 21-23,3,3,100.0,,1,0.0,0,3
5,1988,1988-10-30,9,23.363,GNB,@,BUF,L 0-28,,,,,,,,
6,1988,1988-11-06,10,24.004,GNB,@,ATL,L 0-20,,,,,1,0.0,0,0
7,1988,1988-11-13,11,24.011,GNB,,IND,L 13-20,1,1,100.0,2,2,100.0,0,7
8,1988,1988-11-20,12,24.018,GNB,,DET,L 9-19,,1,0.0,1,2,50.0,0,3
