ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1979,1979-09-02,1,22.315,NYJ,,CLE,L 22-25,,,,,,,,,,,,,,,,,,
2,1979,1979-09-09,2,22.322,NYJ,@,NWE,L 3-56,,,,,,,,,,,,,,,,,,
3,1979,1979-09-16,3,22.329,NYJ,,DET,W 31-10,,,,,,,,,,,,,,,,,,
4,1979,1979-09-23,4,22.336,NYJ,@,BUF,L 31-46,,,,,,,,,,,,,,,,,,
5,1979,1979-09-30,5,22.343,NYJ,,MIA,W 33-27,,,,,,,,,,,,,,,,,,
6,1979,1979-10-07,6,22.350,NYJ,@,BAL,L 8-10,,,,,,,,,,,,,,,,,,
7,1979,1979-10-15,7,22.358,NYJ,,MIN,W 14-7,,,,,,,,,,,,,,,,,,
8,1979,1979-10-21,8,22.364,NYJ,,OAK,W 28-19,,,,,,,,,,,,,,,,,,
9,1979,1979-10-28,9,23.006,NYJ,@,HOU,L 24-27,0,0,,0,0,0,,0,0,0,,0,1,0,0.00,0,0,0
10,1979,1979-11-04,10,23.013,NYJ,@,GNB,W 27-22,,,,,,,,,,,,,,,,,,
11,1979,1979-11-11,11,23.020,NYJ,,BUF,L 12-14,,,,,,,,,,,,,,,,,,
12,1979,1979-11-26,13,23.035,NYJ,@,SEA,L 7-30,,,,,,,,,,,,,,,,,,
13,1979,1979-12-02,14,23.041,NYJ,,BAL,W 30-17,,,,,,,,,,,,,,,,,,
14,1979,1979-12-09,15,23.048,NYJ,,NWE,W 27-26,,,,,,,,,,,,,,,,,,
15,1979,1979-12-15,16,23.054,NYJ,@,MIA,W 27-24,,,,,,,,,,,,,,,,,,
16,1980,1980-09-07,1,23.321,NYJ,,BAL,L 14-17,0,0,,0,0,0,,0,1,20,20.00,0,0,0,,0,0,0
17,1980,1980-09-14,2,23.328,NYJ,@,BUF,L 10-20,0,0,,0,0,0,,0,1,30,30.00,0,0,0,,0,0,0
18,1980,1980-09-21,3,23.335,NYJ,,SFO,L 27-37,1,13,13.00,1,0,0,,0,1,26,26.00,0,0,0,,0,1,6
19,1980,1980-09-28,4,23.342,NYJ,@,BAL,L 21-35,0,0,,0,0,0,,0,1,25,25.00,0,0,0,,0,0,0
20,1980,1980-10-05,5,23.349,NYJ,,NWE,L 11-21,1,20,20.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
21,1980,1980-10-12,6,23.356,NYJ,@,ATL,W 14-7,1,15,15.00,0,1,15,15.00,0,0,0,,0,0,0,,0,0,0
22,1980,1980-11-23,12,24.032,NYJ,,HOU,W 31-28,0,0,,0,0,0,,0,2,35,17.50,0,0,0,,0,0,0
23,1980,1980-11-30,13,24.039,NYJ,@,RAM,L 13-38,0,0,,0,0,0,,0,1,3,3.00,0,0,0,,0,0,0
