ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2001,2001-09-30,3,22.158,DAL,@,PHI,L 18-40,,,,,,,,
2,2001,2001-10-28,6,22.186,DAL,,ARI,W 17-3,,,,,,,,
3,2001,2001-11-11,8,22.200,DAL,@,ATL,L 13-20,,,,,,,,
4,2001,2001-11-18,9,22.207,DAL,,PHI,L 3-36,,,,,,,,
5,2001,2001-11-22,10,22.211,DAL,,DEN,L 24-26,,,,,,,,
6,2001,2001-12-09,12,22.228,DAL,,NYG,W 20-13,,,,,,,,
7,2001,2001-12-23,14,22.242,DAL,@,ARI,L 10-17,,,,,,,,
8,2001,2002-01-06,16,22.256,DAL,@,DET,L 10-15,,,,,,,,
9,2002,2002-09-08,1,23.136,DAL,@,HOU,L 10-19,,,,,,,,
10,2002,2002-09-15,2,23.143,DAL,,TEN,W 21-13,,,,,,,,
11,2002,2002-09-22,3,23.150,DAL,@,PHI,L 13-44,*,,,,,,,
12,2002,2002-09-29,4,23.157,DAL,@,STL,W 13-10,,,,,,,,
13,2002,2002-10-06,5,23.164,DAL,,NYG,L 17-21,*,,,,,,,
14,2002,2002-10-13,6,23.171,DAL,,CAR,W 14-13,*,,,,,,,
15,2002,2002-10-20,7,23.178,DAL,@,ARI,L 6-9,*,,,,,,,
16,2002,2002-11-17,10,23.206,DAL,@,IND,L 3-20,,,,,,,,
17,2002,2002-11-28,12,23.217,DAL,,WAS,W 27-20,,,,,,,,
18,2002,2002-12-08,13,23.227,DAL,,SFO,L 27-31,,,,,,,,
19,2002,2002-12-15,14,23.234,DAL,@,NYG,L 7-37,,,,,,,,
20,2002,2002-12-29,16,23.248,DAL,@,WAS,L 14-20,,,,,,,,
21,2003,2003-09-07,1,24.135,DAL,,ATL,L 13-27,*,,,,,,,
22,2003,2003-09-15,2,24.143,DAL,@,NYG,W 35-32,*,,,,,,,
23,2003,2003-09-28,3,24.156,DAL,@,NYJ,W 17-6,*,,,,,,,
24,2003,2003-10-05,4,24.163,DAL,,ARI,W 24-7,*,,,,,,,
25,2003,2003-10-12,5,24.170,DAL,,PHI,W 23-21,*,,,,,,,
26,2003,2003-10-19,6,24.177,DAL,@,DET,W 38-7,*,,,,,,,
