ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1998,1998-09-07,1,23.336,NWE,@,DEN,L 21-27,,,,,,,,,
2,1998,1998-09-13,2,23.342,NWE,,IND,W 29-6,,,,,,,,,
3,1998,1998-09-20,3,23.349,NWE,,TEN,W 27-16,,,,,,,,,
4,1998,1998-10-04,4,23.363,NWE,@,NOR,W 30-27,,,,,,,,,
5,1998,1998-10-11,5,24.005,NWE,,KAN,W 40-10,,,,,,,,,
6,1998,1998-10-19,6,24.013,NWE,,NYJ,L 14-24,,,,,,,,,
7,1998,1998-10-25,7,24.019,NWE,@,MIA,L 9-12,,,,,,,,,
8,1998,1998-11-01,8,24.026,NWE,@,IND,W 21-16,,,,,,,,,
9,1998,1998-11-08,9,24.033,NWE,,ATL,L 10-41,,,,,,,,,
10,1998,1998-11-15,10,24.040,NWE,@,BUF,L 10-13,,,,,,,,,
11,1998,1998-11-23,11,24.048,NWE,,MIA,W 26-23,,,,,,,,,
12,1998,1998-11-29,12,24.054,NWE,,BUF,W 25-21,,,,,,,,,
13,1998,1998-12-06,13,24.061,NWE,@,PIT,W 23-9,,,,,,,,,
14,1998,1998-12-13,14,24.068,NWE,@,STL,L 18-32,,,,,,,,,
15,1998,1998-12-20,15,24.075,NWE,,SFO,W 24-21,,,,,,,,,
16,1998,1998-12-27,16,24.082,NWE,@,NYJ,L 10-31,,,,,,,,,
17,1999,1999-09-12,1,24.341,NWE,@,NYJ,W 30-28,,,,,,,,,
18,1999,1999-09-19,2,24.348,NWE,,IND,W 31-28,,1,18,18.00,0,0.0,0,0,0
19,1999,1999-09-26,3,24.355,NWE,,NYG,W 16-14,,2,43,21.50,0,0.0,0,0,0
20,1999,1999-10-31,8,25.025,NWE,@,ARI,W 27-3,,,,,,,,,
21,1999,1999-11-15,9,25.040,NWE,,NYJ,L 17-24,,1,28,28.00,0,0.0,0,0,0
22,1999,1999-11-21,10,25.046,NWE,@,MIA,L 17-27,,,,,,,,,
23,1999,1999-11-28,11,25.053,NWE,@,BUF,L 7-17,,,,,,,,,
24,1999,1999-12-05,12,25.060,NWE,,DAL,W 13-6,,,,,,,,,
25,1999,1999-12-12,13,25.067,NWE,@,IND,L 15-20,,1,24,24.00,0,0.0,0,0,0
26,1999,1999-12-19,14,25.074,NWE,@,PHI,L 9-24,*,,,,,,,,
27,1999,1999-12-26,15,25.081,NWE,,BUF,L 10-13,*,,,,,,,,
28,2000,2000-09-03,1,25.333,NWE,,TAM,L 16-21,*,,,,,,,,
29,2000,2000-09-11,2,25.341,NWE,@,NYJ,L 19-20,,,,,,,,,
30,2000,2000-09-17,3,25.347,NWE,,MIN,L 13-21,,,,,,,,,
31,2000,2000-09-24,4,25.354,NWE,@,MIA,L 3-10,,,,,,,,,
32,2000,2000-10-01,5,25.361,NWE,@,DEN,W 28-19,,0,0,,0,0.0,1,0,0
