ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,2014,2014-09-08,1,21.151,DET,,NYG,W 35-14,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0
2,2014,2014-09-14,2,21.157,DET,@,CAR,L 7-24,,5,3,38,12.67,0,60.0%,7.60,0,0,,0,0,0
3,2014,2014-09-21,3,21.164,DET,,GNB,W 19-7,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
4,2014,2014-09-28,4,21.171,DET,@,NYJ,W 24-17,,4,3,34,11.33,1,75.0%,8.50,0,0,,0,1,6
5,2014,2014-10-05,5,21.178,DET,,BUF,L 14-17,,4,2,8,4.00,0,50.0%,2.00,0,0,,0,0,0
6,2014,2014-10-12,6,21.185,DET,@,MIN,W 17-3,*,4,2,23,11.50,0,50.0%,5.75,0,0,,0,0,0
7,2014,2014-11-16,10,21.220,DET,@,ARI,L 6-14,*,4,4,22,5.50,0,100.0%,5.50,0,0,,0,0,0
8,2014,2014-11-23,11,21.227,DET,@,NWE,L 9-34,,7,2,23,11.50,0,28.6%,3.29,0,0,,0,0,0
9,2014,2014-11-27,12,21.231,DET,,CHI,W 34-17,*,4,3,23,7.67,0,75.0%,5.75,0,0,,0,0,0
10,2014,2014-12-07,13,21.241,DET,,TAM,W 34-17,*,4,3,28,9.33,0,75.0%,7.00,0,0,,0,0,0
11,2014,2014-12-14,14,21.248,DET,,MIN,W 16-14,*,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0
12,2014,2014-12-21,15,21.255,DET,@,CHI,W 20-14,*,,,,,,0.0%,,,,,,,
13,2014,2014-12-28,16,21.262,DET,@,GNB,L 20-30,*,6,2,38,19.00,0,33.3%,6.33,0,0,,0,0,0
14,2015,2015-09-13,1,22.156,DET,@,SDG,L 28-33,,5,4,53,13.25,1,80.0%,10.60,0,0,,0,1,6
15,2015,2015-09-20,2,22.163,DET,@,MIN,L 16-26,*,10,5,43,8.60,1,50.0%,4.30,0,0,,0,1,6
16,2015,2015-09-27,3,22.170,DET,,DEN,L 12-24,*,5,4,61,15.25,0,80.0%,12.20,0,0,,0,0,0
17,2015,2015-10-05,4,22.178,DET,@,SEA,L 10-13,,3,2,22,11.00,0,66.7%,7.33,0,0,,0,0,0
18,2015,2015-10-25,7,22.198,DET,,MIN,L 19-28,*,5,5,89,17.80,1,100.0%,17.80,0,0,,0,1,6
19,2015,2015-11-01,8,22.205,DET,@,KAN,L 10-45,*,5,3,24,8.00,0,60.0%,4.80,0,0,,0,0,0
20,2015,2015-11-15,9,22.219,DET,@,GNB,W 18-16,,8,4,28,7.00,0,50.0%,3.50,0,0,,0,0,0
21,2015,2015-11-22,10,22.226,DET,,OAK,W 18-13,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0
22,2015,2015-11-26,11,22.230,DET,,PHI,W 45-14,,3,2,28,14.00,0,66.7%,9.33,0,0,,0,0,0
23,2015,2015-12-03,12,22.237,DET,,GNB,L 23-27,*,2,2,9,4.50,1,100.0%,4.50,0,0,,0,1,6
