ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,1950,1950-09-17,1,23.224,PIT,,NYG,L 7-18,,3,7,42.86,39,0,1,21.4,0,0,5.57,-0.86
2,1950,1950-09-24,2,23.231,PIT,@,DET,L 7-10,,1,2,50.00,7,0,0,58.3,0,0,3.50,3.50
3,1950,1950-10-22,6,23.259,PIT,,PHI,L 10-17,,0,3,0.00,0,0,0,39.6,0,0,0.00,0.00
4,1950,1950-10-29,7,23.266,PIT,@,CLE,L 7-45,,7,15,46.67,118,1,0,96.0,0,0,7.87,9.20
5,1950,1950-11-05,8,23.273,PIT,@,PHI,W 9-7,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00
6,1950,1950-11-12,9,23.280,PIT,,BAL,W 17-7,,2,4,50.00,48,0,0,93.7,0,0,12.00,12.00
7,1950,1950-11-23,10,23.291,PIT,@,CRD,W 28-17,,3,4,75.00,52,0,0,116.7,0,0,13.00,13.00
8,1950,1950-12-03,11,23.301,PIT,,WAS,L 7-24,,1,8,12.50,8,0,3,0.0,0,0,1.00,-15.88
9,1950,1950-12-10,12,23.308,PIT,,CRD,W 28-7,,6,10,60.00,111,2,1,98.3,0,0,11.10,10.60
10,1951,1951-10-01,1,24.238,PIT,,NYG,T 13-13,,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00
11,1951,1951-10-21,4,24.258,PIT,@,CLE,L 0-17,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00
