ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,def_int,def_int_yds,def_int_td
1,1963,1963-11-10,9,23.227,NYG,,PHI,W 42-14,0,0,,0,,,,,,,0,0,1,8,0
2,1963,1963-11-17,10,23.234,NYG,,SFO,W 48-14,0,0,,0,,,,,,,0,0,1,8,0
3,1963,1963-12-01,12,23.248,NYG,@,DAL,W 34-27,0,0,,0,,,,,,,1,6,2,34,1
4,1963,1963-12-08,13,23.255,NYG,,WAS,W 44-14,0,0,,0,,,,,,,0,0,1,4,0
5,1964,1964-11-15,10,24.232,NYG,@,STL,T 10-10,0,0,,0,,,,,,,0,0,1,9,0
6,1965,1965-12-19,14,25.266,NYG,,DAL,L 20-38,0,0,,0,,,,,1,0.0,0,0,0,0,0
7,1966,1966-11-06,8,26.223,NYG,,STL,L 17-20,0,0,,0,,,,,,,1,6,1,31,1
8,1968,1968-10-20,6,28.206,PIT,,NOR,L 12-16,1,27,27.00,0,,,,,,,0,0,0,0,0
9,1968,1968-11-10,9,28.227,PIT,@,STL,T 28-28,0,0,,0,,,,,,,0,0,1,0,0
10,1968,1968-12-01,12,28.248,PIT,,STL,L 10-20,0,0,,0,,,,,,,0,0,1,32,0
11,1969,1969-09-21,1,29.177,PIT,,DET,W 16-13,0,0,,0,,,,,,,0,0,1,14,0
12,1970,1970-09-20,1,30.176,PIT,,HOU,L 7-19,,,,,,,,,,,,,,,
13,1970,1970-09-27,2,30.183,PIT,@,DEN,L 13-16,,,,,,,,,,,,,,,
14,1970,1970-10-03,3,30.189,PIT,@,CLE,L 7-15,,,,,,,,,,,,,,,
15,1970,1970-10-11,4,30.197,PIT,,BUF,W 23-10,0,0,,0,,,,,,,0,0,1,14,0
16,1970,1970-10-18,5,30.204,PIT,@,HOU,W 7-3,,,,,,,,,,,,,,,
17,1970,1970-10-25,6,30.211,PIT,@,OAK,L 14-31,,,,,,,,,,,,,,,
18,1970,1970-11-15,9,30.232,PIT,,KAN,L 14-31,,,,,,,,,,,,,,,
19,1970,1970-11-22,10,30.239,PIT,@,CIN,L 7-34,,,,,,,,,,,,,,,
20,1970,1970-11-29,11,30.246,PIT,,CLE,W 28-9,,,,,,,,,,,,,,,
21,1970,1970-12-06,12,30.253,PIT,,GNB,L 12-20,0,0,,0,,,,,,,0,0,1,0,0
22,1970,1970-12-13,13,30.260,PIT,@,ATL,L 16-27,,,,,,,,,,,,,,,
23,1970,1970-12-20,14,30.267,PIT,@,PHI,L 20-30,,,,,,,,,,,,,,,
