ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,2004,2004-09-19,2,25.040,ATL,,STL,W 34-17,,,,,,,0.0%,,,
2,2004,2004-09-26,3,25.047,ATL,,ARI,W 6-3,,,,,,,0.0%,,,
3,2004,2004-10-03,4,25.054,ATL,@,CAR,W 27-10,,,,,,,0.0%,,,
4,2004,2004-10-10,5,25.061,ATL,,DET,L 10-17,,1,1,13,13.00,0,100.0%,13.00,0,0
5,2004,2004-10-17,6,25.068,ATL,,SDG,W 21-20,*,1,1,4,4.00,0,100.0%,4.00,0,0
6,2004,2004-10-24,7,25.075,ATL,@,KAN,L 10-56,,0,,,,,0.0%,,,
7,2004,2004-10-31,8,25.082,ATL,@,DEN,W 41-28,,,,,,,0.0%,,,
8,2004,2004-11-14,9,25.096,ATL,,TAM,W 24-14,,1,,,,,0.0%,,,
9,2004,2004-11-21,10,25.103,ATL,@,NYG,W 14-10,,,,,,,0.0%,,,
10,2004,2004-11-28,11,25.110,ATL,,NOR,W 24-21,,,,,,,0.0%,,,
11,2004,2004-12-05,12,25.117,ATL,@,TAM,L 0-27,,1,1,6,6.00,0,100.0%,6.00,0,0
12,2004,2004-12-12,13,25.124,ATL,,OAK,W 35-10,,,,,,,0.0%,,,
13,2004,2004-12-18,14,25.130,ATL,,CAR,W 34-31,,1,,,,,0.0%,,,
14,2004,2004-12-26,15,25.138,ATL,@,NOR,L 13-26,,3,1,12,12.00,0,33.3%,4.00,0,0
15,2004,2005-01-02,16,25.145,ATL,@,SEA,L 26-28,,,,,,,0.0%,,,
16,2005,2005-09-12,1,26.033,ATL,,PHI,W 14-10,,1,1,9,9.00,0,100.0%,9.00,0,0
17,2005,2005-09-18,2,26.039,ATL,@,SEA,L 18-21,,,0,0,,0,0.0%,,0,0
18,2005,2005-09-25,3,26.046,ATL,@,BUF,W 24-16,,3,2,11,5.50,1,66.7%,3.67,1,6
19,2005,2005-10-02,4,26.053,ATL,,MIN,W 30-10,,1,1,10,10.00,0,100.0%,10.00,0,0
20,2005,2005-10-09,5,26.060,ATL,,NWE,L 28-31,*,,0,0,,0,0.0%,,0,0
21,2005,2005-10-16,6,26.067,ATL,@,NOR,W 34-31,,1,0,0,,0,0.0%,0.00,0,0
22,2005,2005-10-24,7,26.075,ATL,,NYJ,W 27-14,,,,,,,0.0%,,,
23,2005,2005-11-06,8,26.088,ATL,@,MIA,W 17-10,,1,0,0,,0,0.0%,0.00,0,0
24,2005,2005-11-13,9,26.095,ATL,,GNB,L 25-33,,,0,0,,0,0.0%,,0,0
25,2005,2005-11-20,10,26.102,ATL,,TAM,L 27-30,,,0,0,,0,0.0%,,0,0
26,2005,2005-11-24,11,26.106,ATL,@,DET,W 27-7,,,0,0,,0,0.0%,,0,0
27,2005,2005-12-04,12,26.116,ATL,@,CAR,L 6-24,,,0,0,,0,0.0%,,0,0
28,2005,2005-12-12,13,26.124,ATL,,NOR,W 36-17,,,0,0,,0,0.0%,,0,0
29,2005,2005-12-18,14,26.130,ATL,@,CHI,L 3-16,,,0,0,,0,0.0%,,0,0
30,2005,2005-12-24,15,26.136,ATL,@,TAM,L 24-27,,,0,0,,0,0.0%,,0,0
31,2005,2006-01-01,16,26.144,ATL,,CAR,L 11-44,,,0,0,,0,0.0%,,0,0
32,2006,2006-09-10,1,27.031,ATL,@,CAR,W 20-6,,1,0,0,,0,0.0%,0.00,0,0
