ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2007,2007-09-09,1,23.358,SDG,,CHI,W 14-3,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
2,2007,2007-09-16,2,24.000,SDG,@,NWE,L 14-38,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
3,2007,2007-09-30,4,24.014,SDG,,KAN,L 16-30,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
4,2007,2007-10-28,7,24.042,SDG,,HOU,W 35-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
5,2007,2007-11-04,8,24.049,SDG,@,MIN,L 17-35,,2,2,39,19.50,0,100.0%,19.50,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
6,2007,2007-11-11,9,24.056,SDG,,IND,W 23-21,,3,2,12,6.00,0,66.7%,4.00,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
7,2007,2007-11-18,10,24.063,SDG,@,JAX,L 17-24,,6,3,10,3.33,0,50.0%,1.67,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
8,2007,2007-11-25,11,24.070,SDG,,BAL,W 32-14,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
9,2007,2007-12-02,12,24.077,SDG,@,KAN,W 24-10,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
10,2007,2007-12-09,13,24.084,SDG,@,TEN,W 23-17,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
11,2007,2007-12-16,14,24.091,SDG,,DET,W 51-14,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
12,2007,2007-12-24,15,24.099,SDG,,DEN,W 23-3,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
13,2007,2007-12-30,16,24.105,SDG,@,OAK,W 30-17,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
14,2008,2008-09-07,1,24.357,SDG,,CAR,L 24-26,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
