ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1979,1979-09-02,1,23.159,DAL,@,STL,W 22-21,2,12,6.00,0,0,0,,0,0,0,,0,0,0
2,1979,1979-09-09,2,23.166,DAL,@,SFO,W 21-13,1,10,10.00,0,0,0,,0,0,0,,0,0,0
3,1979,1979-09-16,3,23.173,DAL,,CHI,W 24-20,,,,,,,,,,,,,,
4,1979,1979-09-24,4,23.181,DAL,@,CLE,L 7-26,1,7,7.00,0,0,0,,0,0,0,,0,0,0
5,1979,1979-09-30,5,23.187,DAL,,CIN,W 38-13,,,,,,,,,,,,,,
6,1979,1979-10-07,6,23.194,DAL,@,MIN,W 36-20,,,,,,,,,,,,,,
7,1979,1979-10-14,7,23.201,DAL,,RAM,W 30-6,,,,,,,,,,,,,,
8,1979,1979-10-21,8,23.208,DAL,,STL,W 22-13,,,,,,,,,,,,,,
9,1979,1979-10-28,9,23.215,DAL,@,PIT,L 3-14,,,,,,,,,,,,,,
10,1979,1979-11-04,10,23.222,DAL,@,NYG,W 16-14,,,,,,,,,,,,,,
11,1979,1979-11-12,11,23.230,DAL,,PHI,L 21-31,,,,,,,,,,,,,,
12,1979,1979-11-18,12,23.236,DAL,@,WAS,L 20-34,,,,,,,,,,,,,,
13,1979,1979-11-22,13,23.240,DAL,,HOU,L 24-30,1,7,7.00,0,0,0,,0,0,0,,0,0,0
14,1979,1979-12-02,14,23.250,DAL,,NYG,W 28-7,,,,,,,,,,,,,,
15,1979,1979-12-08,15,23.256,DAL,@,PHI,W 24-17,,,,,,,,,,,,,,
16,1979,1979-12-16,16,23.264,DAL,,WAS,W 35-34,,,,,,,,,,,,,,
17,1980,1980-09-08,1,24.165,DAL,@,WAS,W 17-3,,,,,,,,,,,,,,
18,1980,1980-09-14,2,24.171,DAL,@,DEN,L 20-41,,,,,,,,,,,,,,
19,1980,1980-09-21,3,24.178,DAL,,TAM,W 28-17,,,,,,,,,,,,,,
20,1980,1980-09-28,4,24.185,DAL,@,GNB,W 28-7,1,5,5.00,1,0,0,,0,0,0,,0,1,6
