ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2011,2011-09-11,1,22.342,CLE,,CIN,L 17-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
2,2011,2011-09-18,2,22.349,CLE,@,IND,W 27-19,*,3,2,13,6.50,0,66.7%,4.33,1,1,1.00,0,0,0,,0,0.0,0,0
3,2011,2011-09-25,3,22.356,CLE,,MIA,W 17-16,*,0,0,0,,0,0.0%,,1,3,3.00,0,0,0,,0,0.0,0,0
4,2011,2011-10-02,4,22.363,CLE,,TEN,L 13-31,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,1,8,8.00,0,0.0,0,1
5,2011,2011-10-16,5,23.012,CLE,@,OAK,L 17-24,,,,,,,0.0%,,,,,,,,,,,,
6,2011,2011-10-23,6,23.019,CLE,,SEA,W 6-3,,,,,,,0.0%,,,,,,,,,,,,
7,2011,2011-10-30,7,23.026,CLE,@,SFO,L 10-20,,0,0,0,,0,0.0%,,1,1,1.00,0,0,0,,0,0.0,0,0
8,2011,2011-11-06,8,23.033,CLE,@,HOU,L 12-30,*,0,0,0,,0,0.0%,,0,0,,0,3,38,12.67,0,0.0,0,0
9,2011,2011-11-13,9,23.040,CLE,,STL,L 12-13,,1,0,0,,0,0.0%,0.00,1,3,3.00,0,0,0,,0,0.0,0,0
10,2011,2011-11-20,10,23.047,CLE,,JAX,W 14-10,,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,,0,0.0,0,0
11,2011,2011-12-04,12,23.061,CLE,,BAL,L 10-24,,,,,,,0.0%,,,,,,,,,,,,
12,2011,2011-12-08,13,23.065,CLE,@,PIT,L 3-14,,,,,,,0.0%,,,,,,,,,,,,
13,2011,2011-12-24,15,23.081,CLE,@,BAL,L 14-20,,,,,,,0.0%,,,,,,,,,,,,
14,2011,2012-01-01,16,23.089,CLE,,PIT,L 9-13,,,,,,,0.0%,,,,,,,,,,,,
15,2012,2012-09-09,1,23.341,CLE,,PHI,L 16-17,*,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0.0,0,0
16,2012,2012-09-16,2,23.348,CLE,@,CIN,L 27-34,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0.0,0,0
17,2012,2012-09-23,3,23.355,CLE,,BUF,L 14-24,,,,,,,0.0%,,,,,,,,,,,,
18,2012,2012-09-27,4,23.359,CLE,@,BAL,L 16-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
19,2012,2012-10-07,5,24.003,CLE,@,NYG,L 27-41,*,,,,,,0.0%,,,,,,,,,,,,
20,2012,2012-10-14,6,24.010,CLE,,CIN,W 34-24,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0.0,0,0
21,2012,2012-10-21,7,24.017,CLE,@,IND,L 13-17,,,,,,,0.0%,,,,,,,,,,,,
22,2012,2012-12-02,12,24.059,CLE,@,OAK,W 20-17,,,,,,,0.0%,,,,,,,,,,,,
23,2012,2012-12-23,15,24.080,CLE,@,DEN,L 12-34,,,,,,,0.0%,,,,,,,,,,,,
24,2012,2012-12-30,16,24.087,CLE,@,PIT,L 10-24,,,,,,,0.0%,,,,,,,,,,,,
