ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2006,2006-10-15,5,22.033,DAL,,HOU,W 34-6,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,5,1.67,0
2,2006,2006-11-05,8,22.054,DAL,@,WAS,L 19-22,,0,0,0,,0,0.0%,,0,0,,0,3,59,19.67,0,2,21,10.50,0
3,2007,2007-09-10,1,22.363,CIN,,BAL,W 27-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,9,9.00,0
4,2007,2007-09-16,2,23.004,CIN,@,CLE,L 45-51,,2,1,18,18.00,0,50.0%,9.00,0,0,,0,0,0,,0,1,7,7.00,0
5,2007,2007-09-23,3,23.011,CIN,@,SEA,L 21-24,,2,2,15,7.50,0,100.0%,7.50,1,1,1.00,0,0,0,,0,2,6,3.00,0
6,2007,2007-10-01,4,23.019,CIN,,NWE,L 13-34,,0,,,,,0.0%,,,,,,,,,,,,,
7,2007,2007-10-14,5,23.032,CIN,@,KAN,L 20-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,4,14,3.50,0
8,2007,2007-10-21,6,23.039,CIN,,NYJ,W 38-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,2,2.00,0
9,2007,2007-10-28,7,23.046,CIN,,PIT,L 13-24,,0,,,,,0.0%,,,,,,,,,,,,,
10,2008,2008-12-21,15,24.100,NOR,@,DET,W 42-7,,0,0,0,,0,0.0%,,0,0,,0,1,60,60.00,0,0,0,,0
11,2008,2008-12-28,16,24.107,NOR,,CAR,L 31-33,,0,0,0,,0,0.0%,,0,0,,0,3,73,24.33,0,0,0,,0
