ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1967,1967-09-17,1,27.203,CHI,@,PIT,L 13-41,0,0,,0,1,2,50.0,,,,0,1
2,1967,1967-09-24,2,27.210,CHI,@,GNB,L 10-13,0,0,,0,1,1,100.0,1,2,50.0,0,4
3,1967,1967-10-01,3,27.217,CHI,@,MIN,W 17-7,0,0,,0,2,2,100.0,1,1,100.0,0,5
4,1967,1967-10-08,4,27.224,CHI,,BAL,L 3-24,0,0,,0,,,,1,1,100.0,0,3
5,1967,1967-10-15,5,27.231,CHI,,DET,W 14-3,0,0,,0,2,2,100.0,,1,0.0,0,2
6,1967,1967-10-22,6,27.238,CHI,@,CLE,L 0-24,0,0,,0,,,,,1,0.0,0,0
7,1967,1967-10-29,7,27.245,CHI,,RAM,L 17-28,0,0,,0,2,2,100.0,1,2,50.0,0,5
8,1967,1967-11-05,8,27.252,CHI,@,DET,W 27-13,0,0,,0,3,3,100.0,2,4,50.0,0,9
9,1967,1967-11-12,9,27.259,CHI,,NYG,W 34-7,0,0,,0,4,5,80.0,,2,0.0,0,4
10,1967,1967-11-19,10,27.266,CHI,,STL,W 30-3,0,0,,0,3,4,75.0,1,1,100.0,0,6
11,1967,1967-11-26,11,27.273,CHI,,GNB,L 13-17,0,0,,0,1,1,100.0,2,2,100.0,0,7
12,1967,1967-12-03,12,27.280,CHI,@,SFO,W 28-14,0,0,,0,4,4,100.0,,2,0.0,0,4
13,1967,1967-12-10,13,27.287,CHI,,MIN,T 10-10,0,0,,0,1,1,100.0,1,3,33.3,0,4
14,1967,1967-12-17,14,27.294,CHI,@,ATL,W 23-14,0,0,,0,2,2,100.0,3,4,75.0,0,11
15,1968,1968-09-15,1,28.202,CHI,,WAS,L 28-38,0,0,,0,4,4,100.0,,,,0,4
16,1968,1968-09-29,3,28.216,CHI,@,MIN,W 27-17,0,0,,0,3,3,100.0,2,3,66.7,0,9
17,1968,1968-10-06,4,28.223,CHI,@,BAL,L 7-28,0,0,,0,1,1,100.0,,,,0,1
18,1968,1968-10-13,5,28.230,CHI,,DET,L 10-28,0,0,,0,1,1,100.0,1,3,33.3,0,4
19,1968,1968-10-20,6,28.237,CHI,@,PHI,W 29-16,0,0,,0,2,2,100.0,5,5,100.0,0,17
20,1968,1968-10-27,7,28.244,CHI,,MIN,W 26-24,0,0,,0,2,2,100.0,4,4,100.0,0,14
21,1968,1968-11-03,8,28.251,CHI,@,GNB,W 13-10,0,0,,0,1,1,100.0,2,3,66.7,0,7
