ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,2003,2003-09-07,1,22.107,DET,,ARI,W 42-24,*,7,4,38,9.50,2,57.1%,5.43,1,12,12.00,0,2,12
2,2003,2003-09-14,2,22.114,DET,@,GNB,L 6-31,*,10,4,38,9.50,0,40.0%,3.80,1,5,5.00,0,0,0
3,2003,2003-09-21,3,22.121,DET,,MIN,L 13-23,*,11,6,54,9.00,0,54.5%,4.91,0,0,,0,0,0
4,2003,2003-09-28,4,22.128,DET,@,DEN,L 16-20,*,14,4,62,15.50,1,28.6%,4.43,0,0,,0,1,6
5,2003,2003-10-05,5,22.135,DET,@,SFO,L 17-24,*,10,4,51,12.75,0,40.0%,5.10,0,0,,0,0,0
6,2004,2004-09-12,1,23.112,DET,@,CHI,W 20-16,*,1,,,,,0.0%,,,,,,,
7,2005,2005-09-11,1,24.111,DET,,GNB,W 17-3,*,3,1,31,31.00,0,33.3%,10.33,0,0,,0,0,0
8,2005,2005-09-18,2,24.118,DET,@,CHI,L 6-38,*,9,3,31,10.33,0,33.3%,3.44,0,0,,0,0,0
9,2005,2005-10-02,3,24.132,DET,@,TAM,L 13-17,*,2,1,15,15.00,0,50.0%,7.50,0,0,,0,0,0
10,2005,2005-11-13,9,24.174,DET,,ARI,W 29-21,,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0
11,2005,2005-11-20,10,24.181,DET,@,DAL,L 7-20,,4,4,41,10.25,0,100.0%,10.25,0,0,,0,0,0
12,2005,2005-11-24,11,24.185,DET,,ATL,L 7-27,,7,1,4,4.00,0,14.3%,0.57,0,0,,0,0,0
13,2005,2005-12-11,13,24.202,DET,@,GNB,L 13-16,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
14,2005,2005-12-18,14,24.209,DET,,CIN,L 17-41,,3,3,71,23.67,1,100.0%,23.67,0,0,,0,1,6
15,2005,2005-12-24,15,24.215,DET,@,NOR,W 13-12,,0,0,0,,0,0.0%,,0,0,,0,0,0
