ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1975,1975-09-22,1,22.255,MIA,,OAK,L 21-31,,,,,,,,
2,1975,1975-09-28,2,22.261,MIA,@,NWE,W 22-14,,,,,,,,
3,1975,1975-10-05,3,22.268,MIA,@,GNB,W 31-7,,,,,,,,
4,1975,1975-10-12,4,22.275,MIA,,PHI,W 24-16,,,,,,,,
5,1975,1975-10-19,5,22.282,MIA,@,NYJ,W 43-0,,,,,,,,
6,1975,1975-10-26,6,22.289,MIA,@,BUF,W 35-30,,,,,,,,
7,1975,1975-11-02,7,22.296,MIA,@,CHI,W 46-13,,,,,,,,
8,1975,1975-11-09,8,22.303,MIA,,NYJ,W 27-7,,,,,,,,
9,1975,1975-11-16,9,22.310,MIA,@,HOU,L 19-20,,,,,,,,
10,1975,1975-11-23,10,22.317,MIA,,BAL,L 17-33,,,,,,,,
11,1975,1975-12-01,11,22.325,MIA,,NWE,W 20-7,,,,,,,,
12,1975,1975-12-07,12,22.331,MIA,,BUF,W 31-21,,,,,,,,
13,1975,1975-12-14,13,22.338,MIA,@,BAL,L 7-10,,,,,,,,
14,1975,1975-12-20,14,22.344,MIA,,DEN,W 14-13,,,,,,,,
15,1976,1976-09-12,1,23.246,SFO,@,GNB,W 26-14,,,,,,,,
16,1976,1976-09-19,2,23.253,SFO,,CHI,L 12-19,,,,,,,,
17,1976,1976-09-26,3,23.260,SFO,@,SEA,W 37-21,,,,,,,,
18,1976,1976-10-03,4,23.267,SFO,,NYJ,W 17-6,,,,,,,,
19,1976,1976-10-11,5,23.275,SFO,@,RAM,W 16-0,,,,,,,,
20,1976,1976-10-17,6,23.281,SFO,,NOR,W 33-3,,,,,,,,
21,1976,1976-10-23,7,23.287,SFO,,ATL,W 15-0,,,,,,,,
22,1976,1976-10-31,8,23.295,SFO,@,STL,L 20-23,,,,,,,,
23,1976,1976-11-07,9,23.302,SFO,,WAS,L 21-24,,,,,,,,
24,1976,1976-11-14,10,23.309,SFO,@,ATL,L 16-21,,,,,,,,
25,1976,1976-11-21,11,23.316,SFO,,RAM,L 3-23,,,,,,,,
26,1976,1976-11-29,12,23.324,SFO,,MIN,W 20-16,,,,,,,,
27,1977,1977-09-19,1,24.252,SFO,@,PIT,L 0-27,,,,,,,,
28,1977,1977-09-25,2,24.258,SFO,,MIA,L 15-19,,,,,,,,
29,1977,1977-10-02,3,24.265,SFO,@,RAM,L 14-34,,,,,,,,
30,1977,1977-10-09,4,24.272,SFO,,ATL,L 0-7,,,,,,,,
31,1977,1977-10-16,5,24.279,SFO,@,NYG,L 17-20,0,0,,0,1,1,1.00,0
32,1977,1977-10-23,6,24.286,SFO,,DET,W 28-7,,,,,,,,
33,1977,1977-10-30,7,24.293,SFO,,TAM,W 20-10,,,,,,,,
34,1977,1977-11-06,8,24.300,SFO,@,ATL,W 10-3,,,,,,,,
35,1977,1977-11-13,9,24.307,SFO,@,NOR,W 10-7,,,,,,,,
36,1977,1977-11-20,10,24.314,SFO,,RAM,L 10-23,,,,,,,,
37,1977,1977-11-27,11,24.321,SFO,,NOR,W 20-17,,,,,,,,
38,1977,1977-12-12,13,24.336,SFO,,DAL,L 35-42,,,,,,,,
39,1977,1977-12-18,14,24.342,SFO,@,GNB,L 14-16,,,,,,,,
40,1978,1978-09-03,1,25.236,SFO,@,CLE,L 7-24,,,,,,,,
41,1978,1978-09-10,2,25.243,SFO,,CHI,L 13-16,,,,,,,,
42,1978,1978-09-17,3,25.250,SFO,@,HOU,L 19-20,,,,,,,,
43,1978,1978-09-24,4,25.257,SFO,@,NYG,L 10-27,,,,,,,,
44,1978,1978-10-01,5,25.264,SFO,,CIN,W 28-12,,,,,,,,
45,1978,1978-10-08,6,25.271,SFO,@,RAM,L 10-27,,,,,,,,
46,1978,1978-10-15,7,25.278,SFO,,NOR,L 7-14,,,,,,,,
47,1978,1978-10-22,8,25.285,SFO,,ATL,L 17-20,,,,,,,,
48,1978,1978-10-29,9,25.292,SFO,@,WAS,L 20-38,1,0,0.00,0,0,0,,0
49,1978,1978-11-05,10,25.299,SFO,@,ATL,L 10-21,,,,,,,,
50,1978,1978-11-12,11,25.306,SFO,,STL,L 10-16,,,,,,,,
51,1978,1978-11-19,12,25.313,SFO,,RAM,L 28-31,,,,,,,,
52,1978,1978-11-27,13,25.321,SFO,,PIT,L 7-24,,,,,,,,
53,1978,1978-12-03,14,25.327,SFO,@,NOR,L 13-24,,,,,,,,
54,1978,1978-12-10,15,25.334,SFO,,TAM,W 6-3,,,,,,,,
55,1978,1978-12-17,16,25.341,SFO,@,DET,L 14-33,,,,,,,,
