ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2004,2004-09-12,1,22.162,KAN,@,DEN,L 24-34,,0,,,,,0.0%,,,,,,,,,,
2,2004,2004-09-19,2,22.169,KAN,,CAR,L 17-28,,0,,,,,0.0%,,,,,,,,,,
3,2004,2004-09-26,3,22.176,KAN,,HOU,L 21-24,,0,0,0,,0,0.0%,,,0,0,1.0,,,0,0,0
4,2004,2004-10-17,5,22.197,KAN,@,JAX,L 16-22,,0,0,0,,0,0.0%,,,0,0,1.0,,,0,0,0
5,2004,2004-10-24,6,22.204,KAN,,ATL,W 56-10,,,0,0,,0,0.0%,,,0,0,2.0,,,0,0,0
6,2004,2004-10-31,7,22.211,KAN,,IND,W 45-35,*,0,,,,,0.0%,,,,,,,,,,
7,2004,2004-11-07,8,22.218,KAN,@,TAM,L 31-34,*,0,,,,,0.0%,,,,,,,,,,
8,2004,2004-11-14,9,22.225,KAN,@,NOR,L 20-27,*,0,,,,,0.0%,,,,,,,,,,
9,2004,2004-11-22,10,22.233,KAN,,NWE,L 19-27,*,0,0,0,,0,0.0%,,,0,0,1.0,,,0,0,0
10,2004,2004-11-28,11,22.239,KAN,,SDG,L 31-34,*,0,,,,,0.0%,,,,,,,,,,
11,2004,2004-12-05,12,22.246,KAN,@,OAK,W 34-27,*,,0,0,,0,0.0%,,,0,0,2.0,,,0,0,0
12,2004,2004-12-13,13,22.254,KAN,@,TEN,W 49-38,*,0,0,0,,0,0.0%,,,0,0,1.0,,,0,0,0
13,2004,2004-12-19,14,22.260,KAN,,DEN,W 45-17,*,0,,,,,0.0%,,,,,,,,,,
14,2004,2004-12-25,15,22.266,KAN,,OAK,W 31-30,*,0,0,0,,0,0.0%,,,0,0,1.0,,,0,0,0
15,2004,2005-01-02,16,22.274,KAN,@,SDG,L 17-24,*,0,,,,,0.0%,,,,,,,,,,
16,2005,2005-09-11,1,23.161,KAN,,NYJ,W 27-7,,0,0,0,,0,0.0%,,,0,0,1.0,,,0,0,0
17,2005,2005-09-18,2,23.168,KAN,@,OAK,W 23-17,*,0,,,,,0.0%,,,,,,,,,,
18,2005,2005-09-26,3,23.176,KAN,@,DEN,L 10-30,*,0,,,,,0.0%,,,,,,,,,,
19,2005,2005-10-02,4,23.182,KAN,,PHI,L 31-37,*,0,0,0,,0,0.0%,,,0,0,1.0,,,0,0,0
20,2005,2005-10-16,5,23.196,KAN,,WAS,W 28-21,*,0,0,0,,0,0.0%,,,0,0,3.0,,,0,0,0
21,2005,2005-10-21,6,23.201,KAN,@,MIA,W 30-20,*,0,,,,,0.0%,,,,,,,,,,
