ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1961,1961-09-17,1,24.351,CHI,@,MIN,L 13-37,,,,,1,2,50.0,,,,0,1
2,1961,1961-09-23,2,24.357,CHI,@,RAM,W 21-17,0,0,,0,3,3,100.0,,1,0.0,0,3
3,1961,1961-10-08,4,25.007,CHI,@,DET,W 31-17,0,0,,0,4,4,100.0,1,3,33.3,0,7
4,1961,1961-10-15,5,25.014,CHI,,BAL,W 24-10,0,0,,0,3,3,100.0,1,1,100.0,0,6
5,1961,1961-10-22,6,25.021,CHI,,SFO,W 31-0,,,,,3,3,100.0,,,,0,3
6,1961,1961-10-29,7,25.028,CHI,@,BAL,W 21-20,0,0,,0,3,3,100.0,,2,0.0,0,3
7,1961,1961-11-05,8,25.035,CHI,@,PHI,L 14-16,0,0,,0,2,2,100.0,,1,0.0,0,2
8,1961,1961-11-12,9,25.042,CHI,,GNB,L 28-31,0,0,,0,4,4,100.0,,1,0.0,0,4
9,1961,1961-11-19,10,25.049,CHI,@,SFO,L 31-41,0,0,,0,4,4,100.0,1,4,25.0,0,7
10,1961,1961-11-26,11,25.056,CHI,,RAM,W 28-24,,,,,4,4,100.0,,,,0,4
11,1961,1961-12-03,12,25.063,CHI,,DET,L 15-16,0,0,,0,,,,5,5,100.0,0,15
12,1961,1961-12-10,13,25.070,CHI,,CLE,W 17-14,0,0,,0,2,2,100.0,1,3,33.3,0,5
13,1961,1961-12-17,14,25.077,CHI,,MIN,W 52-35,0,0,,0,7,7,100.0,1,3,33.3,0,10
14,1962,1962-09-16,1,25.350,CHI,@,SFO,W 30-14,0,0,,0,3,3,100.0,1,1,100.0,0,6
15,1962,1962-09-23,2,25.357,CHI,@,RAM,W 27-23,0,0,,0,3,4,75.0,,2,0.0,0,3
16,1962,1962-09-30,3,25.364,CHI,@,GNB,L 0-49,0,0,,0,,,,,1,0.0,0,0
17,1962,1962-10-07,4,26.006,CHI,@,MIN,W 13-0,0,0,,0,1,1,100.0,2,3,66.7,0,7
18,1962,1962-10-14,5,26.013,CHI,,SFO,L 27-34,0,0,,0,3,3,100.0,2,2,100.0,0,9
19,1962,1962-10-21,6,26.020,CHI,,BAL,W 35-15,0,0,,0,5,5,100.0,,2,0.0,0,5
20,1962,1962-10-28,7,26.027,CHI,@,DET,L 3-11,0,0,,0,,,,1,2,50.0,0,3
21,1962,1962-11-04,8,26.034,CHI,,GNB,L 7-38,,,,,1,1,100.0,,,,0,1
22,1962,1962-11-11,9,26.041,CHI,,MIN,W 31-30,0,0,,0,4,4,100.0,1,1,100.0,0,7
23,1962,1962-11-18,10,26.048,CHI,@,DAL,W 34-33,0,0,,0,4,4,100.0,2,3,66.7,0,10
24,1962,1962-11-25,11,26.055,CHI,@,BAL,W 57-0,0,0,,0,6,8,75.0,1,2,50.0,0,9
25,1962,1962-12-02,12,26.062,CHI,,NYG,L 24-26,0,0,,0,3,3,100.0,1,2,50.0,0,6
26,1962,1962-12-09,13,26.069,CHI,,RAM,W 30-14,0,0,,0,3,4,75.0,1,3,33.3,0,6
27,1962,1962-12-16,14,26.076,CHI,,DET,W 3-0,0,0,,0,,,,1,3,33.3,0,3
28,1963,1963-10-06,4,27.005,CHI,,BAL,W 10-3,0,0,,0,,,,1,1,100.0,0,3
29,1963,1963-10-13,5,27.012,CHI,@,RAM,W 52-14,0,0,,0,,,,1,1,100.0,0,3
30,1963,1963-10-27,7,27.026,CHI,,PHI,W 16-7,0,0,,0,,,,1,4,25.0,0,3
31,1963,1963-11-03,8,27.033,CHI,@,BAL,W 17-7,0,0,,0,,,,1,2,50.0,0,3
32,1963,1963-11-10,9,27.040,CHI,,RAM,W 6-0,0,0,,0,,,,2,3,66.7,0,6
33,1963,1963-11-17,10,27.047,CHI,,GNB,W 26-7,0,0,,0,,,,4,7,57.1,0,12
34,1963,1963-11-24,11,27.054,CHI,@,PIT,T 17-17,0,0,,0,,,,1,1,100.0,0,3
35,1963,1963-12-01,12,27.061,CHI,,MIN,T 17-17,0,0,,0,,,,1,2,50.0,0,3
