ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,1950,1950-09-17,1,29.098,CHI,@,RAM,W 24-20,26,121,4.65,1,1,8,8.00,0,0,0,,0,0,,,,,,
2,1950,1950-09-24,2,29.105,CHI,@,SFO,W 32-20,19,99,5.21,0,1,16,16.00,0,1,1,100.00,16,0,0,118.7,0,0,16.00,16.00
3,1950,1950-10-01,3,29.112,CHI,@,GNB,L 21-31,4,17,4.25,0,1,5,5.00,0,0,0,,0,0,,,,,,
4,1950,1950-10-08,4,29.119,CHI,,CRD,W 27-6,12,50,4.17,0,0,0,,0,0,0,,0,0,,,,,,
5,1950,1950-10-15,5,29.126,CHI,,GNB,W 28-14,4,3,0.75,0,0,0,,0,0,0,,0,0,,,,,,
6,1950,1950-10-29,6,29.140,CHI,@,NYY,L 27-38,2,9,4.50,1,0,0,,0,0,0,,0,0,,,,,,
7,1950,1950-11-05,7,29.147,CHI,@,DET,W 35-21,23,63,2.74,0,0,0,,0,0,0,,0,0,,,,,,
8,1950,1950-11-12,8,29.154,CHI,,NYY,W 28-20,7,30,4.29,0,0,0,,0,0,0,,0,0,,,,,,
9,1950,1950-11-19,9,29.161,CHI,,SFO,W 17-0,14,65,4.64,0,1,42,42.00,0,0,0,,0,0,,,,,,
10,1950,1950-11-26,10,29.168,CHI,,RAM,W 24-14,16,46,2.88,0,1,17,17.00,0,0,0,,0,0,,,,,,
11,1950,1950-12-03,11,29.175,CHI,@,CRD,L 10-20,11,47,4.27,0,0,0,,0,0,0,,0,0,,,,,,
12,1950,1950-12-10,12,29.182,CHI,,DET,W 6-3,8,21,2.63,0,2,18,9.00,0,0,0,,0,0,,,,,,
13,1951,1951-09-30,1,30.111,CHI,@,GNB,W 31-20,4,14,3.50,0,1,8,8.00,0,0,0,,0,0,,,,,,
14,1951,1951-10-07,2,30.118,CHI,@,CRD,L 14-28,6,19,3.17,0,0,0,,0,0,0,,0,0,,,,,,
15,1951,1951-10-14,3,30.125,CHI,,NYY,W 24-21,1,12,12.00,0,0,0,,0,0,0,,0,0,,,,,,
16,1951,1951-10-21,4,30.132,CHI,,SFO,W 13-7,9,28,3.11,0,0,0,,0,0,0,,0,0,,,,,,
17,1951,1951-10-28,5,30.139,CHI,@,DET,W 28-23,12,31,2.58,1,0,0,,0,0,0,,0,0,,,,,,
18,1951,1951-11-04,6,30.146,CHI,@,WAS,W 27-0,12,46,3.83,0,2,45,22.50,0,0,0,,0,0,,,,,,
19,1951,1951-11-11,7,30.153,CHI,,DET,L 28-41,7,22,3.14,1,2,33,16.50,0,0,0,,0,0,,,,,,
20,1951,1951-11-18,8,30.160,CHI,,GNB,W 24-13,13,73,5.62,1,1,9,9.00,0,0,0,,0,0,,,,,,
21,1951,1951-11-25,9,30.167,CHI,@,CLE,L 21-42,7,9,1.29,1,2,16,8.00,0,0,0,,0,0,,,,,,
22,1951,1951-12-02,10,30.174,CHI,,RAM,L 17-42,11,31,2.82,0,2,21,10.50,0,0,0,,0,0,,,,,,
23,1951,1951-12-09,11,30.181,CHI,@,NYY,W 45-21,12,44,3.67,0,0,0,,0,0,0,,0,0,,,,,,
24,1951,1951-12-16,12,30.188,CHI,,CRD,L 14-24,11,74,6.73,0,0,0,,0,0,0,,0,0,,,,,,
25,1952,1952-09-28,1,31.109,CHI,@,GNB,W 24-14,2,4,2.00,0,0,0,,0,0,0,,0,0,,,,,,
