ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1974,1974-09-15,1,22.193,BAL,@,PIT,L 0-30,,,,,,,,
2,1974,1974-09-22,2,22.200,BAL,,GNB,L 13-20,,,,,,,,
3,1974,1974-09-29,3,22.207,BAL,@,PHI,L 10-30,,,,,,,,
4,1974,1974-10-06,4,22.214,BAL,@,NWE,L 3-42,,,,,,,,
5,1974,1974-10-13,5,22.221,BAL,,BUF,L 14-27,0,0,,0,2,23,11.50,0
6,1974,1974-10-20,6,22.228,BAL,@,NYJ,W 35-20,1,5,5.00,0,0,0,,0
7,1974,1974-10-27,7,22.235,BAL,@,MIA,L 7-17,,,,,,,,
8,1974,1974-11-03,8,22.242,BAL,,CIN,L 14-24,,,,,,,,
9,1974,1974-11-10,9,22.249,BAL,,DEN,L 6-17,,,,,,,,
10,1974,1974-11-17,10,22.256,BAL,@,ATL,W 17-7,,,,,,,,
11,1974,1974-11-24,11,22.263,BAL,,NWE,L 17-27,,,,,,,,
12,1974,1974-12-01,12,22.270,BAL,@,BUF,L 0-6,,,,,,,,
13,1974,1974-12-08,13,22.277,BAL,,MIA,L 16-17,,,,,,,,
14,1974,1974-12-15,14,22.284,BAL,,NYJ,L 38-45,,,,,,,,
