ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks,tackles_solo,tackles_assists
1,2004,2004-12-19,14,23.073,TAM,,NOR,L 17-21,,,,,,,0.0%,,,,
2,2004,2005-01-02,16,23.087,TAM,@,ARI,L 7-12,,1,1,15,15.00,0,100.0%,15.00,0.0,,
3,2005,2005-09-18,2,23.346,TAM,,BUF,W 19-3,,,0,0,,0,0.0%,,0.0,,
4,2005,2005-09-25,3,23.353,TAM,@,GNB,W 17-16,,,0,0,,0,0.0%,,0.0,,
5,2005,2005-10-02,4,23.360,TAM,,DET,W 17-13,,,,,,,0.0%,,,,
6,2005,2005-10-09,5,24.002,TAM,@,NYJ,L 12-14,,0,0,0,,0,0.0%,,0.0,,
7,2005,2005-10-16,6,24.009,TAM,,MIA,W 27-13,,,0,0,,0,0.0%,,0.0,,
8,2005,2005-11-13,9,24.037,TAM,,WAS,W 36-35,,,0,0,,0,0.0%,,0.0,,
9,2006,2006-09-10,1,24.338,NOR,@,CLE,W 19-14,,,,,,,0.0%,,,,
10,2006,2006-09-17,2,24.345,NOR,@,GNB,W 34-27,,1,0,0,,0,0.0%,0.00,0.0,,
11,2006,2006-09-25,3,24.353,NOR,,ATL,W 23-3,,,0,0,,0,0.0%,,0.0,,
12,2006,2006-10-01,4,24.359,NOR,@,CAR,L 18-21,,,0,0,,0,0.0%,,0.0,,
13,2006,2006-10-08,5,25.001,NOR,,TAM,W 24-21,,,0,0,,0,0.0%,,0.0,,
14,2006,2006-10-15,6,25.008,NOR,,PHI,W 27-24,,1,1,17,17.00,0,100.0%,17.00,0.0,,
15,2006,2006-10-29,7,25.022,NOR,,BAL,L 22-35,,0,0,0,,0,0.0%,,0.0,,
16,2007,2007-09-10,1,25.338,CIN,,BAL,W 27-20,,0,0,0,,0,0.0%,,0.0,,
17,2007,2007-11-11,9,26.035,CIN,@,BAL,W 21-7,*,0,0,0,,0,0.0%,,0.0,,
18,2007,2007-12-02,12,26.056,CIN,@,PIT,L 10-24,*,,0,0,,0,0.0%,,0.0,,
19,2008,2008-10-19,7,27.012,CIN,,PIT,L 10-38,,,,,,,0.0%,,,,
20,2008,2008-10-26,8,27.019,CIN,@,HOU,L 6-35,,,,,,,0.0%,,,,
21,2008,2008-11-20,11,27.044,CIN,@,PIT,L 10-27,,,,,,,0.0%,,,,
22,2008,2008-11-30,12,27.054,CIN,,BAL,L 3-34,,0,,,,,0.0%,,,,
23,2008,2008-12-07,13,27.061,CIN,@,IND,L 3-35,,,,,,,0.0%,,,,
24,2008,2008-12-14,14,27.068,CIN,,WAS,W 20-13,*,,,,,,0.0%,,,,
25,2008,2008-12-21,15,27.075,CIN,@,CLE,W 14-0,*,1,,,,,0.0%,,,,
26,2008,2008-12-28,16,27.082,CIN,,KAN,W 16-6,*,3,2,11,5.50,0,66.7%,3.67,0.0,0,1
