ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1992,1992-09-13,2,22.053,DEN,,SDG,W 21-13,1,0,0,,0,0.0%,0.00,,,,,,
2,1992,1992-09-20,3,22.060,DEN,@,PHI,L 0-30,,0,0,,0,0.0%,,,,,,,
3,1992,1992-09-27,4,22.067,DEN,@,CLE,W 12-0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0
4,1992,1992-10-04,5,22.074,DEN,,KAN,W 20-19,,0,0,,0,0.0%,,,,,,,
5,1992,1992-10-25,8,22.095,DEN,@,SDG,L 21-24,,0,0,,0,0.0%,,,,,,,
6,1992,1992-12-06,13,22.137,DEN,,DAL,L 27-31,1,1,81,81.00,1,100.0%,81.00,0,0,,0,1,6
7,1992,1992-12-12,14,22.143,DEN,@,BUF,L 17-27,7,5,32,6.40,0,71.4%,4.57,0,0,,0,0,0
8,1992,1992-12-20,15,22.151,DEN,,SEA,W 10-6,6,3,53,17.67,0,50.0%,8.83,0,0,,0,0,0
9,1992,1992-12-27,16,22.158,DEN,@,KAN,L 20-42,2,2,36,18.00,0,100.0%,18.00,0,0,,0,0,0
10,1993,1993-09-05,1,23.045,DEN,@,NYJ,W 26-20,1,1,3,3.00,1,100.0%,3.00,0,0,,0,1,6
11,1993,1993-09-12,2,23.052,DEN,,SDG,W 34-17,3,0,0,,0,0.0%,0.00,,,,,,
12,1993,1993-09-20,3,23.060,DEN,@,KAN,L 7-15,,0,0,,0,0.0%,,,,,,,
13,1993,1993-10-03,4,23.073,DEN,,IND,W 35-13,,0,0,,0,0.0%,,,,,,,
14,1993,1993-10-10,5,23.080,DEN,@,GNB,L 27-30,,0,0,,0,0.0%,,,,,,,
15,1993,1993-10-18,6,23.088,DEN,,RAI,L 20-23,2,2,9,4.50,0,100.0%,4.50,0,0,,0,0,0
16,1993,1993-11-07,8,23.108,DEN,@,CLE,W 29-14,,0,0,,0,0.0%,,,,,,,
17,1993,1993-11-14,9,23.115,DEN,,MIN,L 23-26,,0,0,,0,0.0%,,,,,,,
18,1993,1993-11-21,10,23.122,DEN,,PIT,W 37-13,,0,0,,0,0.0%,,,,,,,
19,1993,1993-11-28,11,23.129,DEN,@,SEA,W 17-9,5,0,0,,0,0.0%,0.00,,,,,,
20,1993,1993-12-12,13,23.143,DEN,,KAN,W 27-21,2,1,21,21.00,0,50.0%,10.50,0,0,,0,0,0
21,1993,1993-12-18,14,23.149,DEN,@,CHI,W 13-3,4,3,27,9.00,0,75.0%,6.75,0,0,,0,0,0
22,1993,1993-12-26,15,23.157,DEN,,TAM,L 10-17,7,5,42,8.40,0,71.4%,6.00,0,0,,0,0,0
23,1993,1994-01-02,16,23.164,DEN,@,RAI,L 30-33,6,5,91,18.20,1,83.3%,15.17,0,0,,0,1,6
24,1994,1994-09-04,1,24.044,DEN,,SDG,L 34-37,,0,0,,0,0.0%,,,,,,,
25,1994,1994-09-11,2,24.051,DEN,@,NYJ,L 22-25,2,2,26,13.00,0,100.0%,13.00,0,0,,0,0,0
26,1994,1994-09-18,3,24.058,DEN,,RAI,L 16-48,5,2,22,11.00,0,40.0%,4.40,0,0,,0,0,0
27,1994,1994-09-26,4,24.066,DEN,@,BUF,L 20-27,3,2,38,19.00,0,66.7%,12.67,0,0,,0,0,0
28,1994,1994-10-09,5,24.079,DEN,@,SEA,W 16-9,4,0,0,,0,0.0%,0.00,,,,,,
29,1994,1994-10-17,6,24.087,DEN,,KAN,L 28-31,3,1,14,14.00,0,33.3%,4.67,0,0,,0,0,0
30,1994,1994-10-23,7,24.093,DEN,@,SDG,W 20-15,,0,0,,0,0.0%,,,,,,,
31,1994,1994-10-30,8,24.100,DEN,,CLE,W 26-14,,0,0,,0,0.0%,,,,,,,
32,1994,1994-11-06,9,24.107,DEN,@,RAM,L 21-27,3,3,40,13.33,0,100.0%,13.33,0,0,,0,0,0
33,1994,1994-11-13,10,24.114,DEN,,SEA,W 17-10,,0,0,,0,0.0%,,,,,,,
34,1994,1994-11-20,11,24.121,DEN,,ATL,W 32-28,10,8,175,21.88,0,80.0%,17.50,0,0,,0,0,0
35,1994,1994-11-27,12,24.128,DEN,,CIN,W 15-13,4,1,26,26.00,0,25.0%,6.50,0,0,,0,0,0
36,1994,1994-12-04,13,24.135,DEN,@,KAN,W 20-17,,0,0,,0,0.0%,,,,,,,
37,1994,1994-12-11,14,24.142,DEN,@,RAI,L 13-23,5,4,37,9.25,1,80.0%,7.40,0,0,,0,1,6
38,1994,1994-12-17,15,24.148,DEN,@,SFO,L 19-42,4,4,52,13.00,0,100.0%,13.00,0,0,,0,0,0
39,1994,1994-12-24,16,24.155,DEN,,NOR,L 28-30,2,1,25,25.00,0,50.0%,12.50,0,0,,0,0,0
40,1995,1995-09-03,1,25.043,JAX,,HOU,L 3-10,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0
41,1995,1995-09-10,2,25.050,JAX,@,CIN,L 17-24,4,2,20,10.00,0,50.0%,5.00,0,0,,0,0,0
42,1995,1995-09-17,3,25.057,JAX,@,NYJ,L 10-27,7,5,51,10.20,0,71.4%,7.29,0,0,,0,0,0
43,1995,1995-09-24,4,25.064,JAX,,GNB,L 14-24,5,3,21,7.00,0,60.0%,4.20,0,0,,0,0,0
44,1995,1995-10-01,5,25.071,JAX,@,HOU,W 17-16,1,0,0,,0,0.0%,0.00,0,0,,0,,
45,1995,1995-10-08,6,25.078,JAX,,PIT,W 20-16,5,2,20,10.00,1,40.0%,4.00,0,0,,0,1,6
46,1995,1995-10-15,7,25.085,JAX,,CHI,L 27-30,6,5,71,14.20,1,83.3%,11.83,0,0,,0,1,6
47,1995,1995-10-22,8,25.092,JAX,@,CLE,W 23-15,7,4,61,15.25,1,57.1%,8.71,0,0,,0,1,6
48,1995,1995-10-29,9,25.099,JAX,@,PIT,L 7-24,4,1,16,16.00,0,25.0%,4.00,1,9,9.00,0,0,0
49,1995,1995-12-03,13,25.134,JAX,@,DEN,L 23-31,4,4,55,13.75,0,100.0%,13.75,0,0,,0,0,0
50,1995,1995-12-10,14,25.141,JAX,,IND,L 31-41,3,2,18,9.00,0,66.7%,6.00,1,-3,-3.00,0,0,0
51,1995,1995-12-17,15,25.148,JAX,@,DET,L 0-44,1,1,27,27.00,0,100.0%,27.00,0,0,,0,0,0
52,1995,1995-12-24,16,25.155,JAX,,CLE,W 24-21,,0,0,,0,0.0%,,0,0,,0,,
