ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1960,1960-10-02,2,22.304,BAL,,CHI,W 42-7,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,2,24,0
2,1960,1960-10-16,4,22.318,BAL,,RAM,W 31-17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,10,0
3,1960,1960-11-06,7,22.339,BAL,,GNB,W 38-24,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,14,0
4,1960,1960-11-13,8,22.346,BAL,@,CHI,W 24-20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,0,0
5,1960,1960-12-04,10,23.001,BAL,,DET,L 15-20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,2,84,0
6,1961,1961-09-24,2,23.295,BAL,,DET,L 15-16,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,18,18.00,0,0,0,1,0,0
7,1961,1961-10-01,3,23.302,BAL,,MIN,W 34-33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,7,7.00,0,0,0,0,0,0
8,1961,1961-10-08,4,23.309,BAL,@,GNB,L 7-45,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,0,0,0,0,0
9,1961,1961-10-15,5,23.316,BAL,@,CHI,L 10-24,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,0,0,0,0,0
10,1961,1961-10-29,7,23.330,BAL,,CHI,L 20-21,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,2,6,3.00,0,0,0,0,0,0
11,1961,1961-11-05,8,23.337,BAL,,GNB,W 45-21,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,65,21.67,0,0,0,0,0,0
12,1961,1961-11-12,9,23.344,BAL,@,MIN,L 20-28,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,3,1.50,0,0,0,0,0,0
13,1961,1961-11-19,10,23.351,BAL,,STL,W 16-0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,26,6.50,0,0,0,0,0,0
14,1961,1961-12-03,12,24.000,BAL,,SFO,W 20-17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,10,5.00,0,0,0,0,0,0
15,1961,1961-12-16,14,24.013,BAL,@,SFO,W 27-24,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,38,38.00,0,0,0,1,0,0
16,1962,1962-09-16,1,24.287,BAL,,RAM,W 30-27,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,0,0,1,33,0
17,1962,1962-09-23,2,24.294,BAL,@,MIN,W 34-7,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,0,0,0,0,0
18,1962,1962-09-30,3,24.301,BAL,,DET,L 20-29,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,38,0
19,1962,1962-10-14,5,24.315,BAL,@,CLE,W 36-14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,5,0
20,1962,1962-10-28,7,24.329,BAL,,GNB,L 6-17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,35,0
21,1962,1962-11-04,8,24.336,BAL,@,SFO,W 22-3,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,13,0
22,1962,1962-11-18,10,24.350,BAL,@,GNB,L 13-17,1,15,15.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0
23,1962,1962-12-02,12,24.364,BAL,@,DET,L 14-21,1,-2,-2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,25,0
24,1962,1962-12-08,13,25.005,BAL,,WAS,W 34-21,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,14,0
25,1962,1962-12-16,14,25.013,BAL,,MIN,W 42-17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,23,23.00,0,0,0,0,0,0
26,1963,1963-09-29,3,25.300,BAL,@,GNB,L 20-31,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,0,0
27,1963,1963-12-01,12,25.363,BAL,@,WAS,W 36-20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,9,0
28,1963,1963-12-08,13,26.005,BAL,,MIN,W 41-10,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,8,0
29,1964,1964-09-27,3,26.299,BAL,,CHI,W 52-0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,8,0
30,1964,1964-10-04,4,26.306,BAL,,RAM,W 35-20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,47,0
31,1964,1964-10-12,5,26.314,BAL,,STL,W 47-27,1,25,25.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,25,0
32,1964,1964-10-25,7,26.327,BAL,@,DET,W 34-0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,14,0
33,1964,1964-11-01,8,26.334,BAL,,SFO,W 37-7,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,47,0
34,1964,1964-11-08,9,26.341,BAL,@,CHI,W 40-24,0,0,,0,0,0,,0,0,0,,0,0,,,1,0,0.00,0,0,0,,0,0,0,0,0,0
35,1964,1964-11-15,10,26.348,BAL,,MIN,W 17-14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,0,0
36,1964,1964-11-29,12,26.362,BAL,@,SFO,W 14-3,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,2,28,0
37,1964,1964-12-06,13,27.003,BAL,,DET,L 14-31,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,16,0
38,1965,1965-09-19,1,27.290,BAL,,MIN,W 35-16,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,23,0
39,1965,1965-10-03,3,27.304,BAL,,SFO,W 27-24,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,2,25,1
40,1965,1965-10-10,4,27.311,BAL,,DET,W 31-7,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,24,0
41,1965,1965-11-21,10,27.353,BAL,,PHI,W 34-24,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,0,0
42,1965,1965-11-25,11,27.357,BAL,@,DET,T 24-24,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,0,0
