ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2007,2007-09-09,1,21.008,MIN,,ATL,W 24-3,*,4,2,10,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
2,2007,2007-09-16,2,21.015,MIN,@,DET,L 17-20,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
3,2007,2007-09-23,3,21.022,MIN,@,KAN,L 10-13,,5,2,21,10.50,0,40.0%,4.20,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
4,2007,2007-09-30,4,21.029,MIN,,GNB,L 16-23,,9,6,75,12.50,1,66.7%,8.33,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,,
5,2007,2007-10-14,5,21.043,MIN,@,CHI,W 34-31,,3,1,13,13.00,0,33.3%,4.33,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
6,2007,2007-10-21,6,21.050,MIN,@,DAL,L 14-24,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
7,2007,2007-10-28,7,21.057,MIN,,PHI,L 16-23,,4,3,27,9.00,0,75.0%,6.75,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
8,2007,2007-11-04,8,21.064,MIN,,SDG,W 35-17,*,6,4,66,16.50,1,66.7%,11.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,,
9,2007,2007-11-18,10,21.078,MIN,,OAK,W 29-22,*,5,2,18,9.00,0,40.0%,3.60,0,0,,0,2,2,100.00,94,0,0,118.7,0,0,47.00,47.00,0,0,,0,0,0,0.0,,
10,2007,2007-11-25,11,21.085,MIN,@,NYG,W 41-17,*,4,3,82,27.33,1,75.0%,20.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,,
11,2007,2007-12-02,12,21.092,MIN,,DET,W 42-10,,6,5,53,10.60,1,83.3%,8.83,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,,
12,2007,2007-12-09,13,21.099,MIN,@,SFO,W 27-7,,4,2,21,10.50,0,50.0%,5.25,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
13,2007,2007-12-17,14,21.107,MIN,,CHI,W 20-13,,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
14,2008,2008-09-08,1,22.007,MIN,@,GNB,L 19-24,*,4,2,31,15.50,1,50.0%,7.75,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,0,0
15,2008,2008-09-14,2,22.013,MIN,,IND,L 15-18,*,1,,,,,0.0%,,,,,,,,,,,,,0,,,,,,,,,,,,
16,2008,2008-09-28,4,22.027,MIN,@,TEN,L 17-30,,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,0,0
17,2008,2008-10-19,7,22.048,MIN,@,CHI,L 41-48,,,,,,,0.0%,,,,,,,,,,,,,0,,,,,,,,,,,,
18,2008,2008-11-02,8,22.062,MIN,,HOU,W 28-21,,1,1,8,8.00,1,100.0%,8.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,0,0
19,2008,2008-11-09,9,22.069,MIN,,GNB,W 28-27,,2,1,3,3.00,1,50.0%,1.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,0,0
20,2008,2008-11-16,10,22.076,MIN,@,TAM,L 13-19,,3,2,22,11.00,0,66.7%,7.33,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,0.0,0,0
21,2008,2008-11-23,11,22.083,MIN,@,JAX,W 30-12,,5,3,27,9.00,0,60.0%,5.40,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,0,0
22,2008,2008-11-30,12,22.090,MIN,,CHI,W 34-14,,4,1,8,8.00,0,25.0%,2.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,0,0
23,2008,2008-12-07,13,22.097,MIN,@,DET,W 20-16,*,2,2,21,10.50,0,100.0%,10.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,0,0
