ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring
1,2015,2015-09-14,1,22.113,PHI,@,ATL,L 24-26,*,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0
2,2015,2015-09-20,2,22.119,PHI,,DAL,L 10-20,*,6,3,31,10.33,0,50.0%,5.17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0
3,2015,2015-09-27,3,22.126,PHI,@,NYJ,W 24-17,*,4,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0
4,2015,2015-10-04,4,22.133,PHI,@,WAS,L 20-23,*,4,3,64,21.33,0,75.0%,16.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0
5,2015,2015-10-11,5,22.140,PHI,,NOR,W 39-17,*,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0
6,2015,2015-11-15,9,22.175,PHI,,MIA,L 19-20,,4,3,32,10.67,0,75.0%,8.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0
7,2015,2015-11-22,10,22.182,PHI,,TAM,L 17-45,*,4,3,11,3.67,0,75.0%,2.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0
8,2015,2015-11-26,11,22.186,PHI,@,DET,L 14-45,*,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0
9,2015,2015-12-06,12,22.196,PHI,@,NWE,W 35-28,*,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0
10,2015,2015-12-13,13,22.203,PHI,,BUF,W 23-20,*,6,3,62,20.67,1,50.0%,10.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6
