ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1971,1971-09-19,1,23.275,GNB,,NYG,L 40-42,,,,,,,,
2,1971,1971-09-26,2,23.282,GNB,,DEN,W 34-13,,,,,,,,
3,1971,1971-10-03,3,23.289,GNB,,CIN,W 20-17,,,,,,,,
4,1971,1971-10-10,4,23.296,GNB,@,DET,L 28-31,,,,,,,,
5,1971,1971-10-17,5,23.303,GNB,,MIN,L 13-24,,,,,,,,
6,1971,1971-10-24,6,23.310,GNB,@,RAM,L 13-30,,,,,,,,
7,1971,1971-11-01,7,23.318,GNB,,DET,T 14-14,,,,,,,,
8,1971,1971-11-07,8,23.324,GNB,@,CHI,W 17-14,,,,,,,,
9,1971,1971-11-14,9,23.331,GNB,@,MIN,L 0-3,,,,,,,,
10,1971,1971-11-22,10,23.339,GNB,@,ATL,L 21-28,,,,,,,,
11,1971,1971-11-28,11,23.345,GNB,,NOR,L 21-29,,,,,,,,
12,1971,1971-12-05,12,23.352,GNB,@,STL,T 16-16,,,,,,,,
13,1971,1971-12-12,13,23.359,GNB,,CHI,W 31-10,,,,,,,,
14,1971,1971-12-19,14,24.001,GNB,@,MIA,L 6-27,,,,,,,,
15,1972,1972-09-17,1,24.274,GNB,@,CLE,W 26-10,,,,,,,,
16,1972,1972-09-24,2,24.281,GNB,,OAK,L 14-20,,,,,,,,
17,1972,1972-10-01,3,24.288,GNB,,DAL,W 16-13,0,0,,0,1,0,0.00,0
18,1972,1972-10-08,4,24.295,GNB,,CHI,W 20-17,2,32,16.00,0,0,0,,0
19,1972,1972-10-16,5,24.303,GNB,@,DET,W 24-23,,,,,,,,
20,1972,1972-10-22,6,24.309,GNB,,ATL,L 9-10,1,21,21.00,0,0,0,,0
21,1972,1972-10-29,7,24.316,GNB,,MIN,L 13-27,,,,,,,,
22,1972,1972-11-05,8,24.323,GNB,,SFO,W 34-24,,,,,,,,
23,1972,1972-11-12,9,24.330,GNB,@,CHI,W 23-17,,,,,,,,
24,1972,1972-11-19,10,24.337,GNB,@,HOU,W 23-10,,,,,,,,
25,1972,1972-11-26,11,24.344,GNB,@,WAS,L 16-21,,,,,,,,
26,1972,1972-12-03,12,24.351,GNB,,DET,W 33-7,,,,,,,,
27,1972,1972-12-10,13,24.358,GNB,@,MIN,W 23-7,,,,,,,,
28,1972,1972-12-17,14,24.365,GNB,@,NOR,W 30-20,1,13,13.00,0,0,0,,0
29,1973,1973-09-17,1,25.273,GNB,,NYJ,W 23-7,,,,,,,,
30,1973,1973-09-23,2,25.279,GNB,,DET,T 13-13,,,,,,,,
31,1973,1973-09-30,3,25.286,NOR,@,BAL,L 10-14,,,,,,,,
32,1973,1973-10-07,4,25.293,NOR,,CHI,W 21-16,,,,,,,,
33,1973,1973-10-14,5,25.300,NOR,,DET,W 20-13,,,,,,,,
34,1973,1973-10-21,6,25.307,NOR,@,SFO,L 0-40,,,,,,,,
35,1973,1973-10-28,7,25.314,NOR,,WAS,W 19-3,1,8,8.00,0,0,0,,0
36,1973,1973-11-04,8,25.321,NOR,,BUF,W 13-0,,,,,,,,
37,1973,1973-11-11,9,25.328,NOR,@,RAM,L 7-29,,,,,,,,
38,1973,1973-11-18,10,25.335,NOR,@,SDG,L 14-17,1,22,22.00,0,0,0,,0
39,1973,1973-11-25,11,25.342,NOR,,RAM,L 13-24,,,,,,,,
40,1973,1973-12-02,12,25.349,NOR,@,GNB,L 10-30,,,,,,,,
41,1973,1973-12-09,13,25.356,NOR,,SFO,W 16-10,,,,,,,,
42,1973,1973-12-16,14,25.363,NOR,@,ATL,L 10-14,,,,,,,,
43,1974,1974-09-15,1,26.271,NOR,,SFO,L 13-17,,,,,,,,
44,1974,1974-09-22,2,26.278,NOR,@,RAM,L 0-24,,,,,,,,
45,1974,1974-09-29,3,26.285,NOR,,ATL,W 14-13,,,,,,,,
46,1974,1974-10-06,4,26.292,NOR,@,CHI,L 10-24,,,,,,,,
47,1974,1974-10-13,5,26.299,NOR,@,DEN,L 17-33,,,,,,,,
48,1974,1974-10-20,6,26.306,NOR,@,ATL,W 13-3,,,,,,,,
49,1974,1974-11-10,9,26.327,NOR,,MIA,L 0-21,,,,,,,,
50,1974,1974-11-17,10,26.334,NOR,,RAM,W 20-7,,,,,,,,
51,1974,1974-11-25,11,26.342,NOR,,PIT,L 7-28,,,,,,,,
52,1974,1974-12-01,12,26.348,NOR,@,MIN,L 9-29,,,,,,,,
53,1975,1975-09-21,1,27.277,NOR,@,WAS,L 3-41,,,,,,,,
54,1975,1975-12-14,13,27.361,SFO,@,ATL,L 9-31,,,,,,,,
55,1975,1975-12-21,14,28.003,SFO,,NYG,L 23-26,,,,,,,,
