ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1987,1987-11-01,7,22.346,MIA,,PIT,W 35-24,3,3,1.00,0,1,6,6.00,0
2,1989,1989-09-10,1,24.294,MIA,,BUF,L 24-27,2,2,1.00,0,5,57,11.40,0
3,1989,1989-09-17,2,24.301,MIA,@,NWE,W 24-10,3,4,1.33,0,1,10,10.00,0
4,1989,1989-09-24,3,24.308,MIA,,NYJ,L 33-40,0,0,,0,1,14,14.00,0
5,1989,1989-11-19,11,24.364,MIA,@,DAL,W 17-14,4,15,3.75,0,3,21,7.00,0
6,1989,1989-11-26,12,25.006,MIA,,PIT,L 14-34,3,7,2.33,0,1,3,3.00,0
7,1989,1989-12-03,13,25.013,MIA,@,KAN,L 21-26,0,0,,0,0,0,,0
8,1989,1989-12-10,14,25.020,MIA,,NWE,W 31-10,1,-2,-2.00,0,0,0,,0
9,1989,1989-12-17,15,25.027,MIA,@,IND,L 13-42,0,0,,0,2,12,6.00,0
10,1989,1989-12-24,16,25.034,MIA,,KAN,L 24-27,0,0,,0,0,0,,0
