ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1985,1985-09-08,1,22.154,CLE,,STL,L 24-27,,0,0,,0,,,,,,,0,0,,0,,
2,1985,1985-09-16,2,22.162,CLE,,PIT,W 17-7,,0,0,,0,,,,,,,0,0,,0,,
3,1985,1985-09-22,3,22.168,CLE,@,DAL,L 7-20,,0,0,,0,,,,,,,0,0,,0,,
4,1985,1985-09-29,4,22.175,CLE,@,SDG,W 21-7,,0,0,,0,,,,,,,0,0,,0,,
5,1985,1985-10-06,5,22.182,CLE,,NWE,W 24-20,,0,0,,0,,,,,,,0,0,,0,,
6,1985,1985-10-13,6,22.189,CLE,@,HOU,W 21-6,,0,0,,0,,,,,,,0,0,,0,,
7,1985,1985-10-20,7,22.196,CLE,,RAI,L 20-21,,0,0,,0,,,,,,,0,0,,0,,
8,1985,1985-10-27,8,22.203,CLE,,WAS,L 7-14,,0,0,,0,,,,,,,0,0,,0,,
9,1985,1985-11-03,9,22.210,CLE,@,PIT,L 9-10,,0,0,,0,,,,,,,0,0,,0,,
10,1985,1985-11-10,10,22.217,CLE,@,CIN,L 10-27,,1,12,12.00,0,,,0,0,,0,0,0,,0,0,0
11,1985,1985-11-17,11,22.224,CLE,,BUF,W 17-7,,0,0,,0,,,,,,,0,0,,0,,
12,1985,1985-11-24,12,22.231,CLE,,CIN,W 24-6,,0,0,,0,,,0,0,,0,1,19,19.00,0,0,0
13,1985,1985-12-01,13,22.238,CLE,@,NYG,W 35-33,,0,0,,0,,,,,,,0,0,,0,,
14,1985,1985-12-08,14,22.245,CLE,@,SEA,L 13-31,,0,0,,0,,,,,,,0,0,,0,,
15,1985,1985-12-15,15,22.252,CLE,,HOU,W 28-21,,0,0,,0,,,,,,,0,0,,0,,
16,1985,1985-12-22,16,22.259,CLE,@,NYJ,L 10-37,,0,0,,0,,,0,0,,0,2,27,13.50,0,0,0
17,1986,1986-09-07,1,23.153,CLE,@,CHI,L 31-41,,0,0,,0,,,0,0,,0,1,12,12.00,0,0,0
18,1986,1986-09-14,2,23.160,CLE,@,HOU,W 23-20,,3,115,38.33,1,,,0,0,,0,1,20,20.00,0,1,6
19,1986,1986-09-18,3,23.164,CLE,,CIN,L 13-30,,4,61,15.25,0,,,0,0,,0,1,13,13.00,0,0,0
20,1986,1986-09-28,4,23.174,CLE,,DET,W 24-21,,3,20,6.67,0,,,0,0,,0,0,0,,0,0,0
21,1986,1986-10-05,5,23.181,CLE,@,PIT,W 27-24,,4,108,27.00,0,,,0,0,,0,0,0,,0,0,0
22,1986,1986-10-12,6,23.188,CLE,,KAN,W 20-7,,3,59,19.67,0,,,0,0,,0,0,0,,0,0,0
23,1986,1986-10-19,7,23.195,CLE,,GNB,L 14-17,,6,62,10.33,0,,,1,-11,-11.00,0,0,0,,0,0,0
24,1986,1986-10-26,8,23.202,CLE,@,MIN,W 23-20,,2,37,18.50,0,,,0,0,,0,1,12,12.00,0,0,0
25,1986,1986-11-02,9,23.209,CLE,@,IND,W 24-9,,1,12,12.00,0,,,0,0,,0,0,0,,0,0,0
26,1986,1986-11-10,10,23.217,CLE,,MIA,W 26-16,,4,47,11.75,0,,,0,0,,0,0,0,,0,0,0
27,1986,1986-11-16,11,23.223,CLE,@,RAI,L 14-27,,1,8,8.00,0,,,0,0,,0,0,0,,0,0,0
28,1986,1986-11-23,12,23.230,CLE,,PIT,W 37-31,,4,54,13.50,0,,,0,0,,0,0,0,,0,0,0
29,1986,1986-11-30,13,23.237,CLE,,HOU,W 13-10,,1,18,18.00,0,,,0,0,,0,0,0,,0,0,0
30,1986,1986-12-07,14,23.244,CLE,@,BUF,W 21-17,,1,4,4.00,0,,,0,0,,0,0,0,,0,0,0
31,1986,1986-12-14,15,23.251,CLE,@,CIN,W 34-3,,1,66,66.00,0,,,0,0,,0,0,0,,0,0,0
