ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2010,2010-09-26,3,23.313,STL,,WAS,W 30-16,,4,2,15,7.50,0,50.0%,3.75
2,2010,2010-10-03,4,23.320,STL,,SEA,W 20-3,,,,,,,0.0%,
3,2010,2010-10-10,5,23.327,STL,@,DET,L 6-44,,0,0,0,,0,0.0%,
4,2011,2011-12-05,12,25.018,JAX,,SDG,L 14-38,,1,0,0,,0,0.0%,0.00
