ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1994,1994-09-18,3,23.089,SFO,@,RAM,W 34-19,,,,,,,,,,,
2,1994,1994-10-02,5,23.103,SFO,,PHI,L 8-40,,,,,,,,,,,
3,1994,1994-10-09,6,23.110,SFO,@,DET,W 27-21,,,,,,,,,,,
4,1994,1994-10-16,7,23.117,SFO,@,ATL,W 42-3,,,,,,,,,,,
5,1994,1994-10-23,8,23.124,SFO,,TAM,W 41-16,,,,,,,,,,,
6,1994,1994-11-06,9,23.138,SFO,@,WAS,W 37-22,,,,,,,,,,,
7,1994,1994-11-13,10,23.145,SFO,,DAL,W 21-14,,,,,,,,,,,
8,1994,1994-11-20,11,23.152,SFO,,RAM,W 31-27,,,,,,,,,,,
9,1994,1994-11-28,12,23.160,SFO,@,NOR,W 35-14,,,,,,,,,,,
10,1994,1994-12-04,13,23.166,SFO,,ATL,W 50-14,,0,0,,0,0,0,0.0,1,6,0
11,1994,1994-12-11,14,23.173,SFO,@,SDG,W 38-15,,,,,,,,,,,
12,1994,1994-12-17,15,23.179,SFO,,DEN,W 42-19,,,,,,,,,,,
13,1994,1994-12-26,16,23.188,SFO,@,MIN,L 14-21,,,,,,,,,,,
14,1995,1995-09-03,1,24.074,SFO,@,NOR,W 24-22,,0,0,,0,0,0,1.0,0,0,0
15,1995,1995-09-10,2,24.081,SFO,,ATL,W 41-10,,0,0,,0,0,0,0.0,2,4,0
16,1995,1995-09-17,3,24.088,SFO,,NWE,W 28-3,,,,,,,,,,,
17,1995,1995-09-25,4,24.096,SFO,@,DET,L 24-27,,,,,,,,,,,
18,1995,1995-10-01,5,24.102,SFO,,NYG,W 20-6,,,,,,,,,,,
19,1995,1995-10-15,6,24.116,SFO,@,IND,L 17-18,,,,,,,,,,,
20,1995,1995-10-22,7,24.123,SFO,@,STL,W 44-10,,,,,,,,,,,
21,1995,1995-10-29,8,24.130,SFO,,NOR,L 7-11,,,,,,,,,,,
22,1995,1995-11-05,9,24.137,SFO,,CAR,L 7-13,,0,0,,0,0,0,0.0,1,0,0
23,1995,1995-11-12,10,24.144,SFO,@,DAL,W 38-20,,,,,,,,,,,
24,1995,1995-11-20,11,24.152,SFO,@,MIA,W 44-20,,,,,,,,,,,
25,1995,1995-11-26,12,24.158,SFO,,STL,W 41-13,,0,0,,0,0,0,0.0,2,50,0
26,1995,1995-12-03,13,24.165,SFO,,BUF,W 27-17,,,,,,,,,,,
27,1995,1995-12-10,14,24.172,SFO,@,CAR,W 31-10,,,,,,,,,,,
28,1995,1995-12-18,15,24.180,SFO,,MIN,W 37-30,,,,,,,,,,,
29,1995,1995-12-24,16,24.186,SFO,@,ATL,L 27-28,,,,,,,,,,,
30,1996,1996-09-01,1,25.072,SFO,,NOR,W 27-11,,,,,,,,,,,
31,1996,1996-09-08,2,25.079,SFO,,STL,W 34-0,,0,0,,0,0,0,1.0,0,0,0
32,1996,1996-09-22,3,25.093,SFO,@,CAR,L 7-23,,,,,,,,,,,
33,1996,1996-09-29,4,25.100,SFO,,ATL,W 39-17,,,,,,,,,,,
34,1996,1996-10-06,5,25.107,SFO,@,STL,W 28-11,,,,,,,,,,,
35,1996,1996-10-14,6,25.115,SFO,@,GNB,L 20-23,,,,,,,,,,,
36,1996,1996-10-20,7,25.121,SFO,,CIN,W 28-21,,,,,,,,,,,
37,1996,1996-10-27,8,25.128,SFO,@,HOU,W 10-9,,,,,,,,,,,
38,1996,1996-11-03,9,25.135,SFO,@,NOR,W 24-17,,,,,,,,,,,
39,1996,1996-11-10,10,25.142,SFO,,DAL,L 17-20,,,,,,,,,,,
40,1996,1996-11-17,11,25.149,NYJ,@,IND,L 29-34,,,,,,,,,,,
41,1996,1996-11-24,12,25.156,SFO,@,WAS,W 19-16,,0,0,,0,0,0,1.0,0,0,0
42,1996,1996-12-02,13,25.164,SFO,@,ATL,W 34-10,,,,,,,,,,,
43,1996,1996-12-08,14,25.170,SFO,,CAR,L 24-30,,,,,,,,,,,
44,1996,1996-12-15,15,25.177,SFO,@,PIT,W 25-15,,0,0,,0,0,0,0.0,1,11,0
45,1996,1996-12-23,16,25.185,SFO,,DET,W 24-14,,,,,,,,,,,
46,1997,1997-08-31,1,26.071,SFO,@,TAM,L 6-13,,0,0,,0,,,,,,
47,1997,1997-09-07,2,26.078,SFO,@,STL,W 15-12,,1,24,24.00,0,0,0,0.0,0,0,0
48,1997,1997-09-14,3,26.085,SFO,,NOR,W 33-7,,0,0,,0,0,0,0.0,2,15,0
49,1997,1997-09-21,4,26.092,SFO,,ATL,W 34-7,,0,0,,0,,,,,,
