ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2009,2009-09-13,1,22.359,KAN,@,BAL,L 24-38,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,,0
2,2009,2009-09-20,2,23.001,KAN,,OAK,L 10-13,,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,,0
3,2009,2009-09-27,3,23.008,KAN,@,PHI,L 14-34,,2,2,100.0,,,,0,2,0.0,0,0,0,0,,0
4,2009,2009-10-04,4,23.015,KAN,,NYG,L 16-27,,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,,0
5,2009,2009-10-11,5,23.022,KAN,,DAL,L 20-26,,2,2,100.0,2,3,66.7,0,8,0.0,0,0,0,0,,0
6,2009,2009-10-18,6,23.029,KAN,@,WAS,W 14-6,,,,,4,4,100.0,0,12,0.0,0,0,0,0,,0
7,2009,2009-10-25,7,23.036,KAN,,SDG,L 7-37,,1,1,100.0,,1,0.0,0,1,0.0,0,0,0,0,,0
8,2009,2009-11-08,8,23.050,KAN,@,JAX,L 21-24,,1,1,100.0,2,3,66.7,0,7,0.0,0,0,0,0,,0
9,2009,2009-11-15,9,23.057,KAN,@,OAK,W 16-10,,1,1,100.0,3,4,75.0,0,10,0.0,0,0,0,0,,0
10,2009,2009-11-22,10,23.064,KAN,,PIT,W 27-24,,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,0,,0
11,2009,2009-11-29,11,23.071,KAN,@,SDG,L 14-43,,2,2,100.0,,,,0,2,0.0,0,0,0,0,,0
12,2009,2009-12-06,12,23.078,KAN,,DEN,L 13-44,,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,0,,0
13,2009,2009-12-13,13,23.085,KAN,,BUF,L 10-16,,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,,0
14,2009,2009-12-20,14,23.092,KAN,,CLE,L 34-41,,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,0,,0
15,2009,2009-12-27,15,23.099,KAN,@,CIN,L 10-17,,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,,0
16,2009,2010-01-03,16,23.106,KAN,@,DEN,W 44-24,,5,5,100.0,3,3,100.0,0,14,0.0,0,0,0,0,,0
17,2010,2010-09-13,1,23.359,KAN,,SDG,W 21-14,,3,3,100.0,,,,0,3,0.0,0,0,0,0,,0
18,2010,2010-09-19,2,24.000,KAN,@,CLE,W 16-14,,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,0,,0
19,2010,2010-09-26,3,24.007,KAN,,SFO,W 31-10,,4,4,100.0,1,2,50.0,0,7,0.0,0,0,0,0,,0
20,2010,2010-10-10,4,24.021,KAN,@,IND,L 9-19,,,,,3,4,75.0,0,9,0.0,0,0,0,0,,0
21,2010,2010-10-17,5,24.028,KAN,@,HOU,L 31-35,,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,0,,0
22,2010,2010-10-24,6,24.035,KAN,,JAX,W 42-20,,6,6,100.0,,,,0,6,0.0,0,0,0,0,,0
23,2010,2010-10-31,7,24.042,KAN,,BUF,W 13-10,,1,1,100.0,2,3,66.7,0,7,0.0,0,0,0,0,,0
24,2010,2010-11-07,8,24.049,KAN,@,OAK,L 20-23,,2,2,100.0,2,2,100.0,0,8,0.0,0,0,1,33,33.00,0
25,2010,2010-11-14,9,24.056,KAN,@,DEN,L 29-49,,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,0,,0
26,2010,2010-11-21,10,24.063,KAN,,ARI,W 31-13,,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,0,,0
27,2010,2010-11-28,11,24.070,KAN,@,SEA,W 42-24,,6,6,100.0,,1,0.0,0,6,0.0,0,0,0,0,,0
28,2010,2010-12-05,12,24.077,KAN,,DEN,W 10-6,,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,,0
29,2010,2010-12-12,13,24.084,KAN,@,SDG,L 0-31,,,,,,,,,,,,,,,,
30,2010,2010-12-19,14,24.091,KAN,@,STL,W 27-13,,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,0,,0
31,2010,2010-12-26,15,24.098,KAN,,TEN,W 34-14,,4,4,100.0,2,3,66.7,0,10,0.0,0,0,0,0,,0
32,2010,2011-01-02,16,24.105,KAN,,OAK,L 10-31,,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,,0
33,2011,2011-09-11,1,24.357,KAN,,BUF,L 7-41,,1,1,100.0,,1,0.0,0,1,0.0,0,0,0,0,,0
34,2011,2011-09-18,2,24.364,KAN,@,DET,L 3-48,,,,,1,2,50.0,0,3,0.0,0,0,0,0,,0
35,2011,2011-09-25,3,25.006,KAN,@,SDG,L 17-20,,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,0,,0
