ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1996,1996-12-22,16,23.217,IND,@,CIN,L 24-31,,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
2,1997,1997-12-14,15,24.209,IND,,MIA,W 41-0,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,,
3,1997,1997-12-21,16,24.216,IND,@,MIN,L 28-39,,2,2,12,6.00,0,100.0%,6.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
4,1999,1999-09-13,1,26.117,DEN,,MIA,L 21-38,,3,3,22,7.33,0,100.0%,7.33,0,0,,0,0,0,,,,,,0,0,,0,0,0
5,1999,1999-09-19,2,26.123,DEN,@,KAN,L 10-26,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,
6,1999,1999-09-26,3,26.130,DEN,@,TAM,L 10-13,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,
7,2002,2002-09-08,1,29.112,WAS,,ARI,W 31-23,,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0
8,2002,2002-09-16,2,29.120,WAS,,PHI,L 7-37,,2,,,,,0.0%,,,,,,,,,0,,,,,,,,,
9,2002,2002-10-06,4,29.140,WAS,@,TEN,W 31-14,*,6,4,34,8.50,0,66.7%,5.67,0,0,,0,0,0,,0,,,,0,0,,0,0,0
10,2002,2002-10-13,5,29.147,WAS,,NOR,L 27-43,*,5,2,31,15.50,0,40.0%,6.20,0,0,,0,0,0,,0,,,,0,0,,0,0,0
11,2002,2002-10-20,6,29.154,WAS,@,GNB,L 9-30,*,5,1,2,2.00,0,20.0%,0.40,0,0,,0,0,0,,0,,,,0,0,,0,0,0
12,2002,2002-10-27,7,29.161,WAS,,IND,W 26-21,,3,1,33,33.00,1,33.3%,11.00,0,0,,0,0,0,,0,,,,0,0,,0,1,6
13,2002,2002-11-03,8,29.168,WAS,@,SEA,W 14-3,,1,,,,,0.0%,,,,,,,,,0,,,,,,,,,
14,2002,2002-11-10,9,29.175,WAS,@,JAX,L 7-26,,6,2,22,11.00,0,33.3%,3.67,0,0,,0,0,0,,0,,,,0,0,,0,0,0
15,2002,2002-11-17,10,29.182,WAS,@,NYG,L 17-19,,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0
16,2002,2002-11-24,11,29.189,WAS,,STL,W 20-17,,3,2,15,7.50,0,66.7%,5.00,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
17,2002,2002-11-28,12,29.193,WAS,@,DAL,L 20-27,,4,2,15,7.50,0,50.0%,3.75,0,0,,0,0,0,,0,,,,0,0,,0,0,0
18,2002,2002-12-08,13,29.203,WAS,,NYG,L 21-27,,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0
