ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1985,1985-09-08,1,26.071,ATL,,DET,L 27-28,0,0,,0,2,32,16.00,0,0,0,,0,0,0
2,1985,1985-09-15,2,26.078,ATL,@,SFO,L 16-35,3,36,12.00,1,1,22,22.00,0,0,0,,0,1,6
3,1985,1985-09-22,3,26.085,ATL,,DEN,L 28-44,1,5,5.00,0,0,0,,0,0,0,,0,0,0
4,1985,1985-09-29,4,26.092,ATL,@,RAM,L 6-17,2,27,13.50,0,0,0,,0,4,19,4.75,0,0,0
5,1985,1985-10-06,5,26.099,ATL,,SFO,L 17-38,2,26,13.00,0,0,0,,0,1,6,6.00,0,0,0
6,1985,1985-10-13,6,26.106,ATL,@,SEA,L 26-30,3,81,27.00,1,0,0,,0,1,19,19.00,0,1,6
7,1985,1985-10-20,7,26.113,ATL,,NOR,W 31-24,1,9,9.00,0,0,0,,0,2,4,2.00,0,0,0
8,1985,1985-10-27,8,26.120,ATL,@,DAL,L 10-24,0,0,,0,0,0,,0,1,14,14.00,0,0,0
9,1985,1985-11-03,9,26.127,ATL,,WAS,L 10-44,0,0,,0,0,0,,0,0,0,,0,,
10,1985,1985-11-10,10,26.134,ATL,@,PHI,L 17-23,0,0,,0,0,0,,0,3,12,4.00,0,0,0
11,1985,1985-11-17,11,26.141,ATL,,RAM,W 30-14,2,23,11.50,0,0,0,,0,3,36,12.00,0,0,0
12,1985,1985-11-24,12,26.148,ATL,@,CHI,L 0-36,0,0,,0,0,0,,0,0,0,,0,,
13,1985,1985-12-01,13,26.155,ATL,,RAI,L 24-34,0,0,,0,0,0,,0,0,0,,0,,
14,1985,1985-12-08,14,26.162,ATL,@,KAN,L 10-38,0,0,,0,5,86,17.20,0,1,7,7.00,0,0,0
15,1985,1985-12-15,15,26.169,ATL,,MIN,W 14-13,0,0,,0,0,0,,0,2,7,3.50,0,0,0
16,1985,1985-12-22,16,26.176,ATL,@,NOR,W 16-10,0,0,,0,0,0,,0,3,17,5.67,0,0,0
17,1986,1986-09-07,1,27.070,ATL,@,NOR,W 31-10,3,62,20.67,1,0,0,,0,2,10,5.00,0,1,6
18,1986,1986-09-14,2,27.077,ATL,,STL,W 33-13,2,46,23.00,1,0,0,,0,0,0,,0,1,6
19,1986,1986-09-21,3,27.084,ATL,@,DAL,W 37-35,2,24,12.00,0,0,0,,0,0,0,,0,0,0
20,1986,1986-09-28,4,27.091,ATL,@,TAM,W 23-20,3,24,8.00,0,0,0,,0,0,0,,0,0,0
21,1986,1986-10-05,5,27.098,ATL,,PHI,L 0-16,0,0,,0,,,,,0,0,,0,,
22,1987,1987-10-04,3,28.097,WAS,,STL,W 28-21,7,255,36.43,3,0,0,,0,0,0,,0,3,18
23,1987,1987-10-11,4,28.104,WAS,@,NYG,W 38-12,4,51,12.75,0,0,0,,0,0,0,,0,0,0
24,1987,1987-10-19,5,28.112,WAS,@,DAL,W 13-7,2,31,15.50,0,0,0,,0,0,0,,0,0,0
25,1988,1988-09-05,1,29.068,WAS,@,NYG,L 20-27,0,0,,0,,,,,0,0,,0,,
26,1988,1988-09-11,2,29.074,WAS,,PIT,W 30-29,0,0,,0,,,,,0,0,,0,,
27,1988,1988-09-18,3,29.081,WAS,,PHI,W 17-10,0,0,,0,,,,,0,0,,0,,
28,1988,1988-09-25,4,29.088,WAS,@,PHO,L 21-30,3,28,9.33,1,0,0,,0,0,0,,0,1,6
29,1988,1988-10-02,5,29.095,WAS,,NYG,L 23-24,0,0,,0,0,0,,0,2,21,10.50,0,0,0
30,1988,1988-10-16,7,29.109,WAS,,PHO,W 33-17,0,0,,0,,,,,0,0,,0,,
31,1988,1988-10-30,9,29.123,WAS,@,HOU,L 17-41,2,20,10.00,0,0,0,,0,2,7,3.50,0,0,0
