ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2008,2008-09-08,1,21.012,OAK,,DEN,L 14-41,*,9,46,5.11,0,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
2,2008,2008-09-14,2,21.018,OAK,@,KAN,W 23-8,*,21,164,7.81,1,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,1,0
3,2008,2008-09-21,3,21.025,OAK,@,BUF,L 23-24,*,14,42,3.00,0,3,3,6,2.00,0,100.0%,2.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
4,2008,2008-09-28,4,21.032,OAK,,SDG,L 18-28,*,7,20,2.86,0,3,2,17,8.50,0,66.7%,5.67,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,1,0
5,2008,2008-10-12,5,21.046,OAK,@,NOR,L 3-34,,8,30,3.75,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
6,2008,2008-10-19,6,21.053,OAK,,NYJ,W 16-13,,8,39,4.88,0,4,3,50,16.67,0,75.0%,12.50,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
7,2008,2008-11-16,10,21.081,OAK,@,MIA,L 15-17,,3,13,4.33,0,2,2,1,0.50,0,100.0%,0.50,0,0,,0,0,0,,1,5,,,0,0,,0,,0,0,0.0,0,0
8,2008,2008-11-23,11,21.088,OAK,@,DEN,W 31-10,,10,38,3.80,2,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,,,,,,0,0,,0,,2,12,0.0,0,0
9,2008,2008-11-30,12,21.095,OAK,,KAN,L 13-20,,7,13,1.86,0,6,3,50,16.67,0,50.0%,8.33,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
10,2008,2008-12-04,13,21.099,OAK,@,SDG,L 7-34,,1,0,0.00,0,4,2,8,4.00,0,50.0%,2.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,3,0
11,2008,2008-12-14,14,21.109,OAK,,NWE,L 26-49,,12,46,3.83,1,3,3,68,22.67,0,100.0%,22.67,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0
12,2008,2008-12-21,15,21.116,OAK,,HOU,W 27-16,,12,46,3.83,0,6,5,41,8.20,0,83.3%,6.83,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
13,2008,2008-12-28,16,21.123,OAK,@,TAM,W 31-24,*,1,2,2.00,0,3,2,10,5.00,0,66.7%,3.33,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
14,2009,2009-09-14,1,22.018,OAK,,SDG,L 20-24,*,17,68,4.00,0,4,2,25,12.50,0,50.0%,6.25,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
15,2009,2009-09-20,2,22.024,OAK,@,KAN,W 13-10,*,12,35,2.92,1,5,2,20,10.00,0,40.0%,4.00,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0
16,2009,2009-09-27,3,22.031,OAK,,DEN,L 3-23,*,12,45,3.75,0,2,2,3,1.50,0,100.0%,1.50,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,1,0
17,2009,2009-10-04,4,22.038,OAK,@,HOU,L 6-29,*,6,-2,-0.33,0,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
18,2009,2009-11-15,9,22.080,OAK,,KAN,L 10-16,,4,11,2.75,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
19,2009,2009-11-22,10,22.087,OAK,,CIN,W 20-17,,6,25,4.17,0,4,3,10,3.33,0,75.0%,2.50,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
