ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1999,1999-12-26,15,24.099,MIN,@,NYG,W 34-17,,,,,,,,,
2,1999,2000-01-02,16,24.106,MIN,,DET,W 24-17,,,,,,,,,
3,2000,2000-12-10,14,25.083,MIN,@,STL,L 29-40,,,,,,,,,
4,2000,2000-12-17,15,25.090,MIN,,GNB,L 28-33,,,,,,,,,
5,2001,2001-09-09,1,25.356,MIN,,CAR,L 13-24,,,,,,,,,
6,2001,2001-09-23,2,26.005,MIN,@,CHI,L 10-17,*,1,16,16.00,0,0,0,,0
7,2001,2001-09-30,3,26.012,MIN,,TAM,W 20-16,,,,,,,,,
8,2001,2001-10-07,4,26.019,MIN,@,NOR,L 15-28,,,,,,,,,
9,2001,2001-10-14,5,26.026,MIN,,DET,W 31-26,,,,,,,,,
10,2001,2001-10-21,6,26.033,MIN,,GNB,W 35-13,,,,,,,,,
11,2001,2001-10-28,7,26.040,MIN,@,TAM,L 14-41,,2,41,20.50,0,0,0,,0
12,2001,2001-11-11,8,26.054,MIN,@,PHI,L 17-48,*,,,,,,,,
13,2001,2001-11-19,9,26.062,MIN,,NYG,W 28-16,,0,0,,0,1,6,6.00,0
14,2001,2001-11-25,10,26.068,MIN,,CHI,L 6-13,,,,,,,,,
15,2001,2001-12-02,11,26.075,MIN,@,PIT,L 16-21,,,,,,,,,
16,2001,2001-12-09,12,26.082,MIN,,TEN,W 42-24,,,,,,,,,
17,2001,2001-12-16,13,26.089,MIN,@,DET,L 24-27,,,,,,,,,
18,2001,2001-12-23,14,26.096,MIN,,JAX,L 3-33,,,,,,,,,
19,2001,2001-12-30,15,26.103,MIN,@,GNB,L 13-24,,0,0,,0,3,11,3.67,0
20,2001,2002-01-07,16,26.111,MIN,@,BAL,L 3-19,,1,21,21.00,0,0,0,,0
21,2002,2002-09-08,1,26.355,ARI,@,WAS,L 23-31,,,,,,,,,
22,2002,2002-09-15,2,26.362,ARI,@,SEA,W 24-13,,,,,,,,,
23,2002,2002-09-29,4,27.011,ARI,,NYG,W 21-7,,,,,,,,,
24,2002,2002-10-06,5,27.018,ARI,@,CAR,W 16-13,,,,,,,,,
25,2002,2002-10-20,6,27.032,ARI,,DAL,W 9-6,,,,,,,,,
26,2002,2002-10-27,7,27.039,ARI,@,SFO,L 28-38,,1,15,15.00,0,0,0,,0
27,2002,2002-11-03,8,27.046,ARI,,STL,L 14-27,,,,,,,,,
