ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1978,1978-09-03,1,22.172,SFO,@,CLE,L 7-24,0,0,,0,6,196,32.67,0
2,1978,1978-09-10,2,22.179,SFO,,CHI,L 13-16,0,0,,0,6,216,36.00,0
3,1978,1978-09-17,3,22.186,SFO,@,HOU,L 19-20,0,0,,0,4,153,38.25,0
4,1978,1978-09-24,4,22.193,SFO,@,NYG,L 10-27,0,0,,0,8,312,39.00,0
5,1978,1978-10-01,5,22.200,SFO,,CIN,W 28-12,0,0,,0,9,415,46.11,0
6,1978,1978-10-08,6,22.207,SFO,@,RAM,L 10-27,0,0,,0,8,284,35.50,0
7,1978,1978-10-15,7,22.214,SFO,,NOR,L 7-14,0,0,,0,5,177,35.40,0
8,1978,1978-10-22,8,22.221,SFO,,ATL,L 17-20,0,0,,0,6,220,36.67,1
9,1978,1978-10-29,9,22.228,SFO,@,WAS,L 20-38,0,0,,0,3,62,20.67,0
10,1978,1978-11-05,10,22.235,SFO,@,ATL,L 10-21,0,0,,0,10,389,38.90,0
11,1978,1978-11-12,11,22.242,SFO,,STL,L 10-16,0,0,,0,6,203,33.83,0
12,1978,1978-11-19,12,22.249,SFO,,RAM,L 28-31,0,0,,0,5,208,41.60,0
13,1978,1978-11-27,13,22.257,SFO,,PIT,L 7-24,0,0,,0,5,199,39.80,0
14,1978,1978-12-03,14,22.263,SFO,@,NOR,L 13-24,0,0,,0,6,210,35.00,0
15,1978,1978-12-10,15,22.270,SFO,,TAM,W 6-3,0,0,,0,5,176,35.20,0
16,1978,1978-12-17,16,22.277,SFO,@,DET,L 14-33,0,0,,0,4,163,40.75,0
17,1980,1980-09-08,1,24.177,WAS,,DAL,L 3-17,0,0,,0,4,104,26.00,0
18,1980,1980-09-14,2,24.183,WAS,@,NYG,W 23-21,0,0,,0,7,270,38.57,0
19,1980,1980-09-21,3,24.190,WAS,@,OAK,L 21-24,0,0,,0,7,261,37.29,0
20,1980,1980-09-28,4,24.197,WAS,,SEA,L 0-14,0,0,,0,3,127,42.33,0
21,1980,1980-10-05,5,24.204,WAS,@,PHI,L 14-24,0,0,,0,7,244,34.86,0
22,1980,1980-10-13,6,24.212,WAS,@,DEN,L 17-20,0,0,,0,5,198,39.60,0
23,1980,1980-10-19,7,24.218,WAS,,STL,W 23-0,0,0,,0,4,146,36.50,0
24,1980,1980-10-26,8,24.225,WAS,,NOR,W 22-14,0,0,,0,2,74,37.00,0
25,1980,1980-11-02,9,24.232,WAS,,MIN,L 14-39,0,0,,0,6,220,36.67,0
26,1980,1980-11-09,10,24.239,WAS,@,CHI,L 21-35,0,0,,0,4,172,43.00,0
27,1980,1980-11-16,11,24.246,WAS,,PHI,L 0-24,0,0,,0,6,254,42.33,0
28,1980,1980-11-23,12,24.253,WAS,@,DAL,L 10-14,0,0,,0,10,449,44.90,0
29,1980,1980-11-30,13,24.260,WAS,@,ATL,L 6-10,0,0,,0,4,165,41.25,0
30,1980,1980-12-07,14,24.267,WAS,,SDG,W 40-17,0,0,,0,3,130,43.33,0
31,1980,1980-12-13,15,24.273,WAS,,NYG,W 16-13,0,0,,0,6,267,44.50,0
32,1980,1980-12-21,16,24.281,WAS,@,STL,W 31-7,0,0,,0,7,250,35.71,0
33,1981,1981-09-06,1,25.175,WAS,,DAL,L 10-26,0,0,,0,5,205,41.00,0
34,1981,1981-09-13,2,25.182,WAS,,NYG,L 7-17,0,0,,0,10,396,39.60,0
35,1981,1981-09-20,3,25.189,WAS,@,STL,L 30-40,1,0,0.00,0,4,171,42.75,0
36,1981,1981-09-27,4,25.196,WAS,@,PHI,L 13-36,0,0,,0,3,153,51.00,0
37,1981,1981-10-04,5,25.203,WAS,,SFO,L 17-30,0,0,,0,5,202,40.40,0
38,1981,1981-10-11,6,25.210,WAS,@,CHI,W 24-7,0,0,,0,8,275,34.38,0
39,1981,1981-10-18,7,25.217,WAS,@,MIA,L 10-13,0,0,,0,5,211,42.20,0
40,1981,1981-10-25,8,25.224,WAS,,NWE,W 24-22,0,0,,0,6,231,38.50,0
41,1981,1981-11-01,9,25.231,WAS,,STL,W 42-21,0,0,,0,3,119,39.67,0
42,1981,1981-11-08,10,25.238,WAS,,DET,W 33-31,0,0,,0,3,110,36.67,0
43,1981,1981-11-15,11,25.245,WAS,@,NYG,W 30-27,0,0,,0,4,156,39.00,0
44,1981,1981-11-22,12,25.252,WAS,@,DAL,L 10-24,0,0,,0,5,207,41.40,0
45,1981,1981-11-29,13,25.259,WAS,@,BUF,L 14-21,0,0,,0,3,123,41.00,0
46,1981,1981-12-06,14,25.266,WAS,,PHI,W 15-13,0,0,,0,5,226,45.20,0
47,1981,1981-12-13,15,25.273,WAS,,BAL,W 38-14,0,0,,0,2,67,33.50,0
48,1981,1981-12-20,16,25.280,WAS,@,RAM,W 30-7,0,0,,0,2,71,35.50,0
