ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,2011,2011-09-11,1,23.132,NYG,@,WAS,L 14-28,,,,,,,,,,,0.0%,,,,,,,
2,2011,2011-10-09,5,23.160,NYG,,SEA,L 25-36,,,,,,,,,,,0.0%,,,,,,,
3,2011,2011-10-16,6,23.167,NYG,,BUF,W 27-24,,0,0,,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0
4,2011,2011-11-06,8,23.188,NYG,@,NWE,W 24-20,,1,5,5.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
5,2011,2011-11-13,9,23.195,NYG,@,SFO,L 20-27,,0,0,,0,0,0,0,,0,0.0%,,2,53,26.50,0,0,0
6,2011,2011-11-20,10,23.202,NYG,,PHI,L 10-17,,2,11,5.50,0,1,1,9,9.00,0,100.0%,9.00,3,61,20.33,0,0,0
7,2011,2011-11-28,11,23.210,NYG,@,NOR,L 24-49,,2,0,0.00,0,0,0,0,,0,0.0%,,4,115,28.75,0,0,0
8,2011,2011-12-11,13,23.223,NYG,@,DAL,W 37-34,,0,0,,0,0,0,0,,0,0.0%,,3,63,21.00,0,0,0
9,2011,2011-12-18,14,23.230,NYG,,WAS,L 10-23,,0,0,,0,0,0,0,,0,0.0%,,2,49,24.50,0,0,0
10,2011,2011-12-24,15,23.236,NYG,@,NYJ,W 29-14,,,,,,,,,,,0.0%,,,,,,,
11,2011,2012-01-01,16,23.244,NYG,,DAL,W 31-14,,,,,,,,,,,0.0%,,,,,,,
12,2012,2012-09-20,3,24.141,NYG,@,CAR,W 36-7,,6,9,1.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0
13,2012,2012-09-30,4,24.151,NYG,@,PHI,L 17-19,,,,,,,,,,,0.0%,,,,,,,
14,2012,2012-10-07,5,24.158,NYG,,CLE,W 41-27,,,,,,,,,,,0.0%,,,,,,,
15,2012,2012-10-14,6,24.165,NYG,@,SFO,W 26-3,,,,,,,,,,,0.0%,,,,,,,
16,2013,2013-09-08,1,25.129,NYG,@,DAL,L 31-36,,5,23,4.60,0,8,5,51,10.20,0,62.5%,6.38,0,0,,0,0,0
17,2013,2013-09-15,2,25.136,NYG,,DEN,L 23-41,,5,2,0.40,0,4,2,30,15.00,1,50.0%,7.50,0,0,,0,1,6
18,2013,2013-09-22,3,25.143,NYG,@,CAR,L 0-38,,1,5,5.00,0,3,2,17,8.50,0,66.7%,5.67,0,0,,0,0,0
19,2013,2013-09-29,4,25.150,NYG,@,KAN,L 7-31,*,5,26,5.20,0,2,1,0,0.00,0,50.0%,0.00,0,0,,0,0,0
20,2013,2013-10-10,6,25.161,NYG,@,CHI,L 21-27,,4,17,4.25,0,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0
