ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1991,1991-09-01,1,21.173,NWE,@,IND,W 16-7,4,9,2.25,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,1,23,23.00,0,0,0
2,1991,1991-09-08,2,21.180,NWE,,CLE,L 0-20,1,3,3.00,0,,2,37,18.50,0,,,0,0,,0,0,0,,0,,,,2,50,25.00,0,0,0
3,1991,1991-09-15,3,21.187,NWE,@,PIT,L 6-20,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,
4,1991,1991-09-22,4,21.194,NWE,,HOU,W 24-20,1,2,2.00,0,,1,15,15.00,0,,,1,1,100.00,13,1,0,158.3,0,0,13.00,33.00,2,33,16.50,0,0,0
5,1991,1991-09-29,5,21.201,NWE,@,PHO,L 10-24,7,61,8.71,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,2,134,67.00,1,1,6
6,1991,1991-10-06,6,21.208,NWE,,MIA,L 10-20,4,9,2.25,0,,1,3,3.00,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0
7,1991,1991-10-20,7,21.222,NWE,,MIN,W 26-23,1,6,6.00,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,1,17,17.00,0,0,0
8,1991,1991-10-27,8,21.229,NWE,,DEN,L 6-9,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,3,54,18.00,0,0,0
9,1991,1991-11-03,9,21.236,NWE,@,BUF,L 17-22,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,2,14,7.00,0,0,0
10,1991,1991-11-10,10,21.243,NWE,@,MIA,L 20-30,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,5,100,20.00,0,0,0
11,1991,1991-11-17,11,21.250,NWE,,NYJ,L 21-28,10,43,4.30,2,,3,2,0.67,0,,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,3,40,13.33,0,2,12
12,1991,1991-11-24,12,21.257,NWE,,BUF,W 16-13,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,2,80,40.00,0,0,0
13,1991,1991-12-01,13,21.264,NWE,@,DEN,L 3-20,0,0,,0,,1,24,24.00,0,,,0,0,,0,0,0,,0,,,,3,37,12.33,0,0,0
14,1991,1991-12-08,14,21.271,NWE,,IND,W 23-17,3,13,4.33,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,2,51,25.50,0,0,0
15,1991,1991-12-15,15,21.278,NWE,@,NYJ,W 6-3,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,
16,1991,1991-12-22,16,21.285,NWE,@,CIN,L 7-29,0,0,,0,,1,8,8.00,0,,,0,0,,0,0,0,,0,,,,6,84,14.00,0,0,0
17,1992,1992-09-13,1,22.185,NWE,@,RAM,L 0-14,1,3,3.00,0,1,1,-1,-1.00,0,100.0%,-1.00,0,0,,0,0,0,,,,,,2,47,23.50,0,0,0
18,1992,1992-09-20,2,22.192,NWE,,SEA,L 6-10,1,6,6.00,0,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,2,54,27.00,0,0,0
19,1992,1992-09-27,3,22.199,NWE,,BUF,L 7-41,1,0,0.00,0,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,4,111,27.75,0,0,0
20,1992,1992-10-04,4,22.206,NWE,@,NYJ,L 21-30,2,15,7.50,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,1,22,22.00,0,0,0
21,1992,1992-10-11,5,22.213,NWE,,SFO,L 12-24,9,11,1.22,0,4,3,2,0.67,0,75.0%,0.50,0,0,,0,0,0,,,,,,1,25,25.00,0,0,0
22,1992,1992-10-18,6,22.220,NWE,@,MIA,L 17-38,7,7,1.00,0,3,1,2,2.00,0,33.3%,0.67,0,0,,0,0,0,,,,,,1,28,28.00,0,0,0
23,1992,1992-10-25,7,22.227,NWE,,CLE,L 17-19,3,34,11.33,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,2,31,15.50,0,0,0
24,1992,1992-11-01,8,22.234,NWE,@,BUF,L 7-16,5,15,3.00,0,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0
25,1992,1992-11-08,9,22.241,NWE,,NOR,L 14-31,2,8,4.00,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,,,,,2,72,36.00,0,0,0
26,1992,1992-11-15,10,22.248,NWE,@,IND,W 37-34,16,88,5.50,0,2,2,32,16.00,0,100.0%,16.00,0,0,,0,0,0,,,,,,3,54,18.00,0,0,0
27,1992,1992-11-22,11,22.255,NWE,,NYJ,W 24-3,20,110,5.50,1,3,1,28,28.00,0,33.3%,9.33,0,0,,0,0,0,,,,,,0,0,,0,1,6
